#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.89705  0.005852  0.003579  0.001492     1.635
   0.00395  0.99609  0.00181  0.90127  0.005712  0.003516  0.001539     1.625
   0.01050  0.98960  0.00271  0.91043  0.005419  0.003384  0.001648     1.601
   0.01781  0.98236  0.00371  0.91970  0.005145  0.003257  0.001758     1.580
   0.02589  0.97436  0.00480  0.92881  0.004897  0.003136  0.001866     1.561
   0.03465  0.96568  0.00598  0.93781  0.004668  0.003022  0.001973     1.544
   0.04398  0.95642  0.00721  0.94630  0.004465  0.002917  0.002073     1.530
   0.05377  0.94672  0.00850  0.95437  0.004282  0.002821  0.002169     1.518
   0.06388  0.93670  0.00981  0.96179  0.004122  0.002734  0.002256     1.508
   0.07421  0.92645  0.01113  0.96881  0.003977  0.002653  0.002338     1.499
   0.08469  0.91606  0.01246  0.97525  0.003849  0.002579  0.002413     1.492
   0.09526  0.90556  0.01378  0.98125  0.003732  0.002512  0.002482     1.486
   0.10590  0.89501  0.01510  0.98686  0.003626  0.002449  0.002547     1.481
   0.11658  0.88441  0.01640  0.99206  0.003530  0.002391  0.002607     1.476
   0.12728  0.87378  0.01769  0.99701  0.003440  0.002336  0.002664     1.472
   0.13800  0.86314  0.01897  1.00162  0.003358  0.002285  0.002716     1.469
   0.14873  0.85249  0.02023  1.00607  0.003279  0.002236  0.002767     1.466
   0.15947  0.84182  0.02148  1.01032  0.003205  0.002189  0.002816     1.464
   0.17021  0.83115  0.02272  1.01434  0.003135  0.002145  0.002862     1.462
   0.18095  0.82048  0.02394  1.01815  0.003070  0.002103  0.002905     1.460
   0.19170  0.80980  0.02514  1.02194  0.003005  0.002061  0.002948     1.458
   0.20245  0.79912  0.02633  1.02546  0.002945  0.002022  0.002988     1.457
   0.21320  0.78843  0.02750  1.02901  0.002886  0.001983  0.003029     1.456
   0.22395  0.77775  0.02866  1.03240  0.002829  0.001945  0.003068     1.455
   0.23470  0.76706  0.02981  1.03566  0.002775  0.001909  0.003105     1.454
   0.24544  0.75637  0.03094  1.03893  0.002721  0.001873  0.003143     1.453
   0.25619  0.74568  0.03205  1.04213  0.002668  0.001837  0.003181     1.452
   0.26694  0.73499  0.03315  1.04516  0.002618  0.001804  0.003215     1.452
   0.27768  0.72430  0.03423  1.04826  0.002568  0.001770  0.003252     1.451
   0.28843  0.71361  0.03530  1.05123  0.002520  0.001737  0.003287     1.451
   0.29917  0.70292  0.03635  1.05419  0.002472  0.001704  0.003322     1.451
   0.30991  0.69223  0.03739  1.05708  0.002425  0.001672  0.003356     1.450
   0.32064  0.68154  0.03841  1.06008  0.002378  0.001640  0.003393     1.450
   0.33138  0.67086  0.03941  1.06283  0.002334  0.001609  0.003426     1.450
   0.34210  0.66017  0.04040  1.06575  0.002288  0.001578  0.003462     1.450
   0.35283  0.64949  0.04137  1.06850  0.002245  0.001548  0.003496     1.450
   0.36355  0.63881  0.04232  1.07129  0.002201  0.001518  0.003531     1.450
   0.37427  0.62814  0.04326  1.07416  0.002157  0.001487  0.003567     1.450
   0.38498  0.61746  0.04417  1.07692  0.002114  0.001458  0.003603     1.450
   0.39569  0.60679  0.04507  1.07966  0.002072  0.001429  0.003638     1.451
   0.40639  0.59613  0.04595  1.08244  0.002030  0.001399  0.003674     1.451
   0.41708  0.58547  0.04681  1.08519  0.001989  0.001371  0.003711     1.451
   0.42777  0.57481  0.04765  1.08790  0.001948  0.001342  0.003747     1.451
   0.43845  0.56416  0.04847  1.09071  0.001906  0.001313  0.003785     1.452
   0.44913  0.55352  0.04927  1.09335  0.001867  0.001285  0.003821     1.452
   0.45980  0.54288  0.05004  1.09622  0.001826  0.001257  0.003862     1.452
   0.47045  0.53225  0.05079  1.09886  0.001786  0.001230  0.003899     1.453
   0.48111  0.52162  0.05153  1.10169  0.001746  0.001202  0.003940     1.453
   0.49175  0.51100  0.05223  1.10431  0.001708  0.001175  0.003978     1.454
   0.50238  0.50039  0.05292  1.10713  0.001668  0.001147  0.004020     1.454
   0.51300  0.48979  0.05357  1.10995  0.001629  0.001120  0.004064     1.455
   0.52361  0.47920  0.05420  1.11257  0.001591  0.001093  0.004103     1.456
   0.53421  0.46862  0.05481  1.11542  0.001552  0.001066  0.004149     1.456
   0.54480  0.45804  0.05539  1.11810  0.001514  0.001040  0.004191     1.457
   0.55538  0.44748  0.05594  1.12087  0.001476  0.001013  0.004237     1.457
   0.56594  0.43693  0.05645  1.12355  0.001439  0.000987  0.004281     1.458
   0.57649  0.42639  0.05694  1.12635  0.001401  0.000961  0.004329     1.459
   0.58703  0.41587  0.05740  1.12896  0.001365  0.000935  0.004374     1.460
   0.59755  0.40535  0.05783  1.13192  0.001327  0.000909  0.004428     1.460
   0.60805  0.39486  0.05822  1.13450  0.001291  0.000883  0.004475     1.461
   0.61854  0.38437  0.05857  1.13727  0.001254  0.000858  0.004527     1.462
   0.62901  0.37391  0.05889  1.13996  0.001218  0.000832  0.004579     1.463
   0.63947  0.36346  0.05918  1.14257  0.001182  0.000807  0.004631     1.464
   0.64990  0.35303  0.05942  1.14537  0.001146  0.000782  0.004689     1.465
   0.66032  0.34261  0.05963  1.14795  0.001111  0.000757  0.004743     1.467
   0.67071  0.33222  0.05979  1.15065  0.001075  0.000732  0.004802     1.468
   0.68108  0.32185  0.05991  1.15318  0.001040  0.000708  0.004859     1.469
   0.69143  0.31150  0.05999  1.15584  0.001005  0.000683  0.004922     1.470
   0.70175  0.30118  0.06002  1.15831  0.000971  0.000659  0.004982     1.472
   0.71204  0.29089  0.06000  1.16098  0.000935  0.000635  0.005050     1.473
   0.72231  0.28062  0.05993  1.16338  0.000901  0.000611  0.005114     1.475
   0.73254  0.27039  0.05981  1.16579  0.000867  0.000587  0.005182     1.477
   0.74275  0.26019  0.05964  1.16823  0.000833  0.000564  0.005254     1.478
   0.75291  0.25002  0.05941  1.17050  0.000800  0.000540  0.005326     1.480
   0.76304  0.23990  0.05913  1.17279  0.000766  0.000517  0.005403     1.482
   0.77313  0.22981  0.05878  1.17492  0.000733  0.000493  0.005481     1.485
   0.78318  0.21978  0.05838  1.17706  0.000699  0.000470  0.005564     1.487
   0.79317  0.20979  0.05791  1.17896  0.000666  0.000447  0.005648     1.489
   0.80311  0.19987  0.05737  1.18091  0.000633  0.000425  0.005740     1.492
   0.81299  0.19001  0.05676  1.18269  0.000600  0.000402  0.005838     1.494
   0.82281  0.18022  0.05608  1.18435  0.000567  0.000379  0.005943     1.497
   0.83254  0.17051  0.05533  1.18569  0.000535  0.000357  0.006050     1.499
   0.84219  0.16089  0.05450  1.18701  0.000502  0.000334  0.006173     1.502
   0.85174  0.15139  0.05359  1.18789  0.000470  0.000312  0.006299     1.505
   0.86117  0.14201  0.05260  1.18891  0.000437  0.000290  0.006451     1.507
   0.87047  0.13278  0.05153  1.18912  0.000405  0.000268  0.006590     1.511
   0.87960  0.12372  0.05039  1.18933  0.000374  0.000247  0.006728     1.517
   0.88853  0.11487  0.04916  1.18896  0.000345  0.000225  0.006790     1.532
   0.89723  0.10627  0.04785  1.18844  0.000318  0.000205  0.006799     1.552
   0.90566  0.09795  0.04648  1.18722  0.000294  0.000185  0.007003     1.593
   0.91377  0.08997  0.04504  1.18525  0.000274  0.000165  0.007246     1.657
   0.92152  0.08237  0.04356  1.18270  0.000263  0.000147  0.006890     1.794
   0.92886  0.07518  0.04204  1.18357  0.000274  0.000130  0.005281     2.100
   0.93576  0.06846  0.04050  1.18605  0.000291  0.000118  0.003598     2.457
   0.94220  0.06221  0.03895  1.18099  0.000282  0.000112  0.003495     2.510
   0.94818  0.05643  0.03741  1.17598  0.000267  0.000107  0.003695     2.504
   0.95369  0.05113  0.03589  1.17036  0.000254  0.000101  0.003878     2.503
   0.95877  0.04628  0.03439  1.16484  0.000238  0.000096  0.004172     2.487
   0.96344  0.04185  0.03292  1.15773  0.000226  0.000091  0.004372     2.487
   0.96773  0.03781  0.03149  1.15068  0.000213  0.000086  0.004705     2.470
   0.97167  0.03412  0.03009  1.14186  0.000201  0.000082  0.004934     2.468
   0.97530  0.03075  0.02872  1.13285  0.000189  0.000077  0.005297     2.451
   0.97866  0.02767  0.02738  1.12198  0.000179  0.000073  0.005583     2.445
   0.98177  0.02485  0.02608  1.11017  0.000169  0.000069  0.005889     2.438
   0.98466  0.02226  0.02479  1.09731  0.000159  0.000066  0.006301     2.421
   0.98735  0.01988  0.02353  1.08213  0.000150  0.000062  0.006639     2.412
   0.98987  0.01769  0.02229  1.06532  0.000141  0.000059  0.006989     2.403
   0.99223  0.01568  0.02107  1.04667  0.000133  0.000056  0.007313     2.397
   0.99445  0.01382  0.01986  1.02622  0.000125  0.000052  0.007846     2.374
   0.99654  0.01210  0.01865  1.00162  0.000118  0.000050  0.008128     2.370
   0.99853  0.01052  0.01745  0.97487  0.000110  0.000047  0.008535     2.356
   1.00041  0.00907  0.01626  0.94434  0.000104  0.000044  0.008845     2.348
   1.00220  0.00773  0.01506  0.90986  0.000097  0.000042  0.009338     2.324
   1.00391  0.00651  0.01387  0.86940  0.000092  0.000040  0.009400     2.324
   1.00555  0.00539  0.01267  0.82601  0.000086  0.000037  0.009536     2.318
   1.00712  0.00439  0.01147  0.77607  0.000080  0.000035  0.009987     2.282
   1.00862  0.00349  0.01026  0.71698  0.000077  0.000034  0.009546     2.289
   1.01007  0.00270  0.00904  0.65449  0.000072  0.000032  0.009370     2.275
   1.01148  0.00200  0.00782  0.58378  0.000068  0.000030  0.008919     2.262
   1.01283  0.00142  0.00660  0.50498  0.000065  0.000029  0.008175     2.247
   1.01415  0.00094  0.00538  0.42083  0.000063  0.000028  0.006988     2.252
   1.01542  0.00056  0.00416  0.33210  0.000061  0.000027  0.005840     2.235
   1.01666  0.00028  0.00295  0.23789  0.000060  0.000027  0.004248     2.233
   1.01787  0.00010  0.00175  0.14301  0.000059  0.000026  0.002595     2.232
   1.01905  0.00001  0.00058  0.04773  0.000058  0.000026  0.000878     2.230
   1.02021  0.00001 -0.00058 -0.04735  0.000058  0.000026  0.000871     2.230
   1.02139  0.00010 -0.00175 -0.14190  0.000059  0.000027  0.002558     2.233
