#  goe368                                          
#  alpha =  17.2500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           rt
   0.494180E-01   12.2490    
   0.379508E-01   43.1626    
   0.282861E-01   73.2221    
   0.171522E-01   106.254    
   0.892734E-02   128.161    
   0.544728E-02   133.411    
   0.325035E-02   140.518    
   0.173864E-02   143.804    
   0.710141E-03   148.646    
   0.823883E-04   159.825    
  -0.175533E-03   200.905    
  -0.101625E-03   263.589    
   0.279911E-03   433.687    
   0.973417E-03   885.494    
   0.201363E-02   1301.44    
   0.348271E-02   1815.50    
   0.556737E-02   2477.46    
   0.880591E-02   3467.54    
   0.159904E-01   4835.57    
   0.242559E-01   4714.02    
   0.313851E-01   5162.92    
   0.386628E-01   5763.48    
   0.481609E-01   6484.12    
   0.607811E-01   7166.87    
   0.735985E-01   7774.00    
   0.855830E-01   8340.81    
   0.977520E-01   8987.89    
   0.110510       9926.52    
   0.123795       11107.5    
   0.137473       12442.2    
   0.151402       13796.6    
   0.165461       15025.4    
   0.179581       16220.6    
   0.193720       17413.2    
   0.207865       18619.7    
   0.222023       19854.1    
   0.236202       21129.2    
   0.250408       22454.7    
   0.264647       23839.3    
   0.278922       25290.1    
   0.293234       26813.5    
   0.307584       28414.2    
   0.321971       30095.4    
   0.336395       31857.8    
   0.350852       33698.3    
   0.365336       35610.1    
   0.379838       37581.2    
   0.394349       39595.1    
   0.408853       41629.2    
   0.423336       43683.8    
   0.437786       45752.9    
   0.452197       47802.5    
   0.466566       49770.4    
   0.480896       51561.6    
   0.495197       52988.7    
   0.509480       52966.2    
   0.523761       53365.8    
   0.538054       54126.2    
   0.552369       55089.9    
   0.566709       56197.0    
   0.581075       57421.8    
   0.595460       58752.2    
   0.609854       60181.0    
   0.624242       61698.1    
   0.638614       63294.2    
   0.652964       64961.7    
   0.667293       66694.1    
   0.681609       68486.1    
   0.695922       70333.9    
   0.710252       72234.7    
   0.724618       74190.6    
   0.739031       76203.1    
   0.753482       78271.1    
   0.767928       80388.4    
   0.782381       82556.0    
   0.796779       84763.7    
   0.811053       86999.3    
   0.825151       89248.7    
   0.839066       91503.9    
   0.852834       93764.7    
   0.866527       96037.8    
   0.880250       98336.7    
   0.894155       100683.    
   0.908419       103104.    
   0.922463       105501.    
   0.936218       107862.    
   0.950278       110290.    
   0.963587       112602.    
   0.975071       114604.    
   0.984914       116322.    
   0.993441       117802.    
    1.00000       118850.    
    1.00010       119863.    
    1.00672       122780.    
    1.01438       125975.    
    1.02326       129704.    
    1.03353       134082.    
    1.04542       139247.    
    1.05916       145371.    
    1.07506       152676.    
    1.09346       161475.    
    1.11472       172288.    
    1.13931       186325.    
    1.16774       209072.    
    1.20060       224944.    
    1.23858       235065.    
    1.28247       240817.    
    1.33318       242703.    
    1.39176       241675.    
    1.45944       238892.    
    1.53760       235386.    
    1.62786       231854.    
    1.73209       228639.    
    1.85243       225841.    
    1.99138       221325.    

   0.636045E-01   25.7369    
   0.765549E-01   61.4430    
   0.889517E-01   94.4329    
   0.102473       129.546    
   0.116702       160.958    
   0.130705       191.770    
   0.145006       222.023    
   0.159084       253.004    
   0.172949       283.446    
   0.186837       312.639    
   0.200871       339.415    
   0.215067       361.204    
   0.229379       381.463    
   0.243763       400.724    
   0.258180       419.107    
   0.272603       436.795    
   0.287014       453.976    
   0.301404       470.983    
   0.315775       488.199    
   0.330135       505.003    
   0.344490       521.276    
   0.358847       536.996    
   0.373211       552.121    
   0.387587       566.584    
   0.401981       580.135    
   0.416397       592.529    
   0.430837       604.550    
   0.445304       616.450    
   0.459799       628.364    
   0.474318       640.431    
   0.488861       652.818    
   0.503421       666.023    
   0.517992       680.317    
   0.532561       694.658    
   0.547130       708.800    
   0.561701       722.630    
   0.576263       736.038    
   0.590813       748.902    
   0.605346       760.821    
   0.619862       771.791    
   0.634360       782.528    
   0.648844       793.230    
   0.663321       804.029    
   0.677801       815.058    
   0.692296       826.488    
   0.706822       838.947    
   0.721380       852.268    
   0.735897       865.436    
   0.750369       878.179    
   0.764813       890.334    
   0.779261       901.758    
   0.793757       912.256    
   0.808286       921.182    
   0.822668       928.650    
   0.836876       935.320    
   0.850942       941.334    
   0.864932       946.728    
   0.878949       951.507    
   0.893139       955.669    
   0.907574       960.215    
   0.921641       963.551    
   0.935456       962.537    
   0.949613       954.248    
   0.963117       935.036    
   0.974762       905.526    
   0.984732       866.129    
   0.993364       778.039    
    1.00000       1013.87    
    1.00010       119863.    
    1.00672       122780.    
    1.01438       125975.    
    1.02326       129704.    
    1.03353       134082.    
    1.04542       139247.    
    1.05916       145371.    
    1.07506       152676.    
    1.09346       161475.    
    1.11472       172288.    
    1.13931       186325.    
    1.16774       209072.    
    1.20060       224944.    
    1.23858       235065.    
    1.28247       240817.    
    1.33318       242703.    
    1.39176       241675.    
    1.45944       238892.    
    1.53760       235386.    
    1.62786       231854.    
    1.73209       228639.    
    1.85243       225841.    
    1.99138       221325.    

