#  goe368                                          
#  alpha =  17.2500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           dB
   0.636045E-01  0.710475E-04
   0.765549E-01  0.840580E-04
   0.889517E-01  0.964828E-04
   0.102473      0.113521E-03
   0.116702      0.122375E-03
   0.130705      0.135571E-03
   0.145006      0.147329E-03
   0.159084      0.163057E-03
   0.172949      0.179245E-03
   0.186837      0.194494E-03
   0.200871      0.206654E-03
   0.215067      0.211624E-03
   0.229379      0.216604E-03
   0.243763      0.221441E-03
   0.258180      0.225873E-03
   0.272603      0.229996E-03
   0.287014      0.233968E-03
   0.301404      0.238167E-03
   0.315775      0.243007E-03
   0.330135      0.247425E-03
   0.344490      0.251314E-03
   0.358847      0.254693E-03
   0.373211      0.257537E-03
   0.387587      0.259782E-03
   0.401981      0.261123E-03
   0.416397      0.261326E-03
   0.430837      0.261489E-03
   0.445304      0.261826E-03
   0.459799      0.262396E-03
   0.474318      0.263280E-03
   0.488861      0.264601E-03
   0.503421      0.266874E-03
   0.517992      0.270312E-03
   0.532561      0.273616E-03
   0.547130      0.276570E-03
   0.561701      0.279117E-03
   0.576263      0.281209E-03
   0.590813      0.282771E-03
   0.605346      0.283419E-03
   0.619862      0.283251E-03
   0.634360      0.283108E-03
   0.648844      0.283151E-03
   0.663321      0.283450E-03
   0.677801      0.284078E-03
   0.692296      0.285149E-03
   0.706822      0.287234E-03
   0.721380      0.290073E-03
   0.735897      0.292653E-03
   0.750369      0.294752E-03
   0.764813      0.296256E-03
   0.779261      0.297068E-03
   0.793757      0.297037E-03
   0.808286      0.295642E-03
   0.822668      0.293262E-03
   0.836876      0.290601E-03
   0.850942      0.287754E-03
   0.864932      0.284697E-03
   0.878949      0.281372E-03
   0.893139      0.277712E-03
   0.907574      0.274503E-03
   0.921641      0.270682E-03
   0.935456      0.263868E-03
   0.949613      0.252238E-03
   0.963117      0.234775E-03
   0.974762      0.213700E-03
   0.984732      0.190276E-03
   0.993364      0.148443E-03
    1.00000      0.318893E-03
    1.00010      0.108817    
    1.00672      0.106154    
    1.01438      0.105059    
    1.02326      0.103972    
    1.03353      0.102782    
    1.04542      0.101377    
    1.05916      0.996582E-01
    1.07506      0.975235E-01
    1.09346      0.948576E-01
    1.11472      0.915365E-01
    1.13931      0.874669E-01
    1.16774      0.828365E-01
    1.20060      0.769712E-01
    1.23858      0.703893E-01
    1.28247      0.635814E-01
    1.33318      0.569887E-01
    1.39176      0.509987E-01
    1.45944      0.458571E-01
    1.53760      0.416352E-01
    1.62786      0.382680E-01
    1.73209      0.356232E-01
    1.85243      0.335594E-01
    1.99138      0.314699E-01

   0.636045E-01  0.318669E-04
   0.765549E-01  0.370067E-04
   0.889517E-01  0.425098E-04
   0.102473      0.490998E-04
   0.116702      0.537952E-04
   0.130705      0.586322E-04
   0.145006      0.635643E-04
   0.159084      0.692691E-04
   0.172949      0.753102E-04
   0.186837      0.812337E-04
   0.200871      0.864840E-04
   0.215067      0.900237E-04
   0.229379      0.929359E-04
   0.243763      0.954738E-04
   0.258180      0.977164E-04
   0.272603      0.997416E-04
   0.287014      0.101621E-03
   0.301404      0.103467E-03
   0.315775      0.105405E-03
   0.330135      0.107262E-03
   0.344490      0.108992E-03
   0.358847      0.110580E-03
   0.373211      0.112007E-03
   0.387587      0.113249E-03
   0.401981      0.114232E-03
   0.416397      0.114881E-03
   0.430837      0.115397E-03
   0.445304      0.115851E-03
   0.459799      0.116289E-03
   0.474318      0.116752E-03
   0.488861      0.117289E-03
   0.503421      0.118031E-03
   0.517992      0.119055E-03
   0.532561      0.120125E-03
   0.547130      0.121178E-03
   0.561701      0.122177E-03
   0.576263      0.123094E-03
   0.590813      0.123895E-03
   0.605346      0.124486E-03
   0.619862      0.124857E-03
   0.634360      0.125160E-03
   0.648844      0.125441E-03
   0.663321      0.125733E-03
   0.677801      0.126067E-03
   0.692296      0.126482E-03
   0.706822      0.127111E-03
   0.721380      0.127927E-03
   0.735897      0.128742E-03
   0.750369      0.129495E-03
   0.764813      0.130146E-03
   0.779261      0.130655E-03
   0.793757      0.130974E-03
   0.808286      0.130974E-03
   0.822668      0.130687E-03
   0.836876      0.130238E-03
   0.850942      0.129652E-03
   0.864932      0.128931E-03
   0.878949      0.128065E-03
   0.893139      0.127036E-03
   0.907574      0.126015E-03
   0.921641      0.124805E-03
   0.935456      0.122842E-03
   0.949613      0.119523E-03
   0.963117      0.114347E-03
   0.974762      0.107625E-03
   0.984732      0.994807E-04
   0.993364      0.839880E-04
    1.00000      0.117602E-03
    1.00010      0.139034E-01
    1.00672      0.142814E-01
    1.01438      0.146985E-01
    1.02326      0.151889E-01
    1.03353      0.157696E-01
    1.04542      0.164617E-01
    1.05916      0.172923E-01
    1.07506      0.182977E-01
    1.09346      0.195310E-01
    1.11472      0.210815E-01
    1.13931      0.231547E-01
    1.16774      0.266641E-01
    1.20060      0.292360E-01
    1.23858      0.309433E-01
    1.28247      0.319460E-01
    1.33318      0.322835E-01
    1.39176      0.320959E-01
    1.45944      0.315809E-01
    1.53760      0.309263E-01
    1.62786      0.302631E-01
    1.73209      0.296575E-01
    1.85243      0.291292E-01
    1.99138      0.282777E-01

