#  goe368                                          
#  alpha =  17.2500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           dT
   0.494180E-01  0.710475E-04
   0.379508E-01  0.569107E-04
   0.282861E-01  0.508370E-04
   0.171522E-01  0.381637E-04
   0.892734E-02  0.258647E-04
   0.544728E-02  0.186398E-04
   0.325035E-02  0.149674E-04
   0.173864E-02  0.116152E-04
   0.710141E-03  0.943512E-05
   0.823883E-04  0.840883E-05
  -0.175533E-03  0.113610E-04
  -0.101625E-03  0.311951E-04
   0.279911E-03  0.631156E-04
   0.973417E-03  0.595687E-04
   0.201363E-02  0.746770E-04
   0.348271E-02  0.109900E-03
   0.556737E-02  0.169575E-03
   0.880591E-02  0.282954E-03
   0.159904E-01  0.422485E-03
   0.242559E-01  0.336274E-03
   0.313851E-01  0.365004E-03
   0.386628E-01  0.419851E-03
   0.481609E-01  0.489041E-03
   0.607811E-01  0.548792E-03
   0.735985E-01  0.602068E-03
   0.855830E-01  0.654990E-03
   0.977520E-01  0.721908E-03
   0.110510      0.835453E-03
   0.123795      0.994378E-03
   0.137473      0.119082E-02
   0.151402      0.140373E-02
   0.165461      0.160139E-02
   0.179581      0.179938E-02
   0.193720      0.200360E-02
   0.207865      0.221772E-02
   0.222023      0.244556E-02
   0.236202      0.269119E-02
   0.250408      0.295854E-02
   0.264647      0.325178E-02
   0.278922      0.357546E-02
   0.293234      0.393456E-02
   0.307584      0.433456E-02
   0.321971      0.478142E-02
   0.336395      0.528144E-02
   0.350852      0.584100E-02
   0.365336      0.646618E-02
   0.379838      0.716234E-02
   0.394349      0.793383E-02
   0.408853      0.878217E-02
   0.423336      0.972760E-02
   0.437786      0.107993E-01
   0.452197      0.120236E-01
   0.466566      0.134250E-01
   0.480896      0.150239E-01
   0.495197      0.168305E-01
   0.509480      0.187876E-01
   0.523761      0.209189E-01
   0.538054      0.231723E-01
   0.552369      0.255070E-01
   0.566709      0.278917E-01
   0.581075      0.302986E-01
   0.595460      0.327018E-01
   0.609854      0.350765E-01
   0.624242      0.374307E-01
   0.638614      0.397840E-01
   0.652964      0.421534E-01
   0.667293      0.445562E-01
   0.681609      0.470099E-01
   0.695922      0.495318E-01
   0.710252      0.521393E-01
   0.724618      0.548177E-01
   0.739031      0.575410E-01
   0.753482      0.602828E-01
   0.767928      0.630110E-01
   0.782381      0.657052E-01
   0.796779      0.683326E-01
   0.811053      0.708638E-01
   0.825151      0.733140E-01
   0.839066      0.757136E-01
   0.852834      0.780941E-01
   0.866527      0.804915E-01
   0.880250      0.829469E-01
   0.894155      0.855103E-01
   0.908419      0.882431E-01
   0.922463      0.910289E-01
   0.936218      0.938228E-01
   0.950278      0.967273E-01
   0.963587      0.995132E-01
   0.975071      0.101962    
   0.984914      0.104129    
   0.993441      0.106126    
    1.00000      0.108498    
    1.00010      0.108817    
    1.00672      0.106154    
    1.01438      0.105059    
    1.02326      0.103972    
    1.03353      0.102782    
    1.04542      0.101377    
    1.05916      0.996582E-01
    1.07506      0.975235E-01
    1.09346      0.948576E-01
    1.11472      0.915365E-01
    1.13931      0.874669E-01
    1.16774      0.828365E-01
    1.20060      0.769712E-01
    1.23858      0.703893E-01
    1.28247      0.635814E-01
    1.33318      0.569887E-01
    1.39176      0.509987E-01
    1.45944      0.458571E-01
    1.53760      0.416352E-01
    1.62786      0.382680E-01
    1.73209      0.356232E-01
    1.85243      0.335594E-01
    1.99138      0.314699E-01

   0.494180E-01  0.318669E-04
   0.379508E-01  0.257669E-04
   0.282861E-01  0.229379E-04
   0.171522E-01  0.175768E-04
   0.892734E-02  0.120188E-04
   0.544728E-02  0.883305E-05
   0.325035E-02  0.701238E-05
   0.173864E-02  0.551418E-05
   0.710141E-03  0.444475E-05
   0.823883E-04  0.388961E-05
  -0.175533E-03  0.458067E-05
  -0.101625E-03  0.627217E-05
   0.279911E-03  0.111904E-04
   0.973417E-03  0.263708E-04
   0.201363E-02  0.435128E-04
   0.348271E-02  0.675508E-04
   0.556737E-02  0.102165E-03
   0.880591E-02  0.160038E-03
   0.159904E-01  0.248661E-03
   0.242559E-01  0.235639E-03
   0.313851E-01  0.262828E-03
   0.386628E-01  0.302025E-03
   0.481609E-01  0.350548E-03
   0.607811E-01  0.396028E-03
   0.735985E-01  0.436695E-03
   0.855830E-01  0.475580E-03
   0.977520E-01  0.521935E-03
   0.110510      0.593988E-03
   0.123795      0.689670E-03
   0.137473      0.802983E-03
   0.151402      0.922528E-03
   0.165461      0.103419E-02
   0.179581      0.114582E-02
   0.193720      0.126011E-02
   0.207865      0.137860E-02
   0.222023      0.150270E-02
   0.236202      0.163384E-02
   0.250408      0.177319E-02
   0.264647      0.192185E-02
   0.278922      0.208087E-02
   0.293234      0.225117E-02
   0.307584      0.243357E-02
   0.321971      0.262869E-02
   0.336395      0.283681E-02
   0.350852      0.305778E-02
   0.365336      0.329084E-02
   0.379838      0.353456E-02
   0.394349      0.378678E-02
   0.408853      0.404442E-02
   0.423336      0.430725E-02
   0.437786      0.457409E-02
   0.452197      0.484006E-02
   0.466566      0.509638E-02
   0.480896      0.532991E-02
   0.495197      0.551546E-02
   0.509480      0.551256E-02
   0.523761      0.556326E-02
   0.538054      0.565875E-02
   0.552369      0.577889E-02
   0.566709      0.591613E-02
   0.581075      0.606739E-02
   0.595460      0.623124E-02
   0.609854      0.640692E-02
   0.624242      0.659336E-02
   0.638614      0.678950E-02
   0.652964      0.699451E-02
   0.667293      0.720769E-02
   0.681609      0.742846E-02
   0.695922      0.765639E-02
   0.710252      0.789118E-02
   0.724618      0.813311E-02
   0.739031      0.838244E-02
   0.753482      0.863908E-02
   0.767928      0.890231E-02
   0.782381      0.917236E-02
   0.796779      0.944802E-02
   0.811053      0.972782E-02
   0.825151      0.100101E-01
   0.839066      0.102938E-01
   0.852834      0.105789E-01
   0.866527      0.108663E-01
   0.880250      0.111577E-01
   0.894155      0.114559E-01
   0.908419      0.117643E-01
   0.922463      0.120703E-01
   0.936218      0.123723E-01
   0.950278      0.126836E-01
   0.963587      0.129806E-01
   0.975071      0.132383E-01
   0.984914      0.134596E-01
   0.993441      0.136506E-01
    1.00000      0.137858E-01
    1.00010      0.139034E-01
    1.00672      0.142814E-01
    1.01438      0.146985E-01
    1.02326      0.151889E-01
    1.03353      0.157696E-01
    1.04542      0.164617E-01
    1.05916      0.172923E-01
    1.07506      0.182977E-01
    1.09346      0.195310E-01
    1.11472      0.210815E-01
    1.13931      0.231547E-01
    1.16774      0.266641E-01
    1.20060      0.292360E-01
    1.23858      0.309433E-01
    1.28247      0.319460E-01
    1.33318      0.322835E-01
    1.39176      0.320959E-01
    1.45944      0.315809E-01
    1.53760      0.309263E-01
    1.62786      0.302631E-01
    1.73209      0.296575E-01
    1.85243      0.291292E-01
    1.99138      0.282777E-01

