#  goe368                                          
#  alpha =  17.2500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           cd
   0.494180E-01  0.186630E-05
   0.379508E-01  0.444953E-04
   0.282861E-01  0.180562E-03
   0.171522E-01  0.873083E-03
   0.892734E-02  0.403199E-02
   0.544728E-02  0.113835E-01
   0.325035E-02  0.247456E-01
   0.173864E-02  0.545390E-01
   0.710141E-03  0.109773    
   0.823883E-04  0.183595    
  -0.175533E-03  0.148060    
  -0.101625E-03  0.864122E-01
   0.279911E-03   1.21796    
   0.973417E-03  0.355072    
   0.201363E-02  0.152510    
   0.348271E-02  0.913953E-01
   0.556737E-02  0.623767E-01
   0.880591E-02  0.452671E-01
   0.159904E-01  0.305080E-01
   0.242559E-01  0.258990E-01
   0.313851E-01  0.227360E-01
   0.386628E-01  0.198684E-01
   0.481609E-01  0.173287E-01
   0.607811E-01  0.155877E-01
   0.735985E-01  0.143953E-01
   0.855830E-01  0.134568E-01
   0.977520E-01  0.124952E-01
   0.110510      0.112365E-01
   0.123795      0.998758E-02
   0.137473      0.895218E-02
   0.151402      0.819714E-02
   0.165461      0.768299E-02
   0.179581      0.727762E-02
   0.193720      0.693744E-02
   0.207865      0.664268E-02
   0.222023      0.638261E-02
   0.236202      0.615143E-02
   0.250408      0.594625E-02
   0.264647      0.576562E-02
   0.278922      0.560894E-02
   0.293234      0.547607E-02
   0.307584      0.536717E-02
   0.321971      0.528257E-02
   0.336395      0.522263E-02
   0.350852      0.518770E-02
   0.365336      0.517800E-02
   0.379838      0.519353E-02
   0.394349      0.523411E-02
   0.408853      0.529907E-02
   0.423336      0.539081E-02
   0.437786      0.551421E-02
   0.452197      0.567520E-02
   0.466566      0.588101E-02
   0.480896      0.614075E-02
   0.495197      0.647168E-02
   0.509480      0.697254E-02
   0.523761      0.751570E-02
   0.538054      0.808050E-02
   0.552369      0.865750E-02
   0.566709      0.923589E-02
   0.581075      0.980563E-02
   0.595460      0.103579E-01
   0.609854      0.108850E-01
   0.624242      0.113834E-01
   0.638614      0.118514E-01
   0.652964      0.122885E-01
   0.667293      0.126956E-01
   0.681609      0.130738E-01
   0.695922      0.134253E-01
   0.710252      0.137521E-01
   0.724618      0.140550E-01
   0.739031      0.143337E-01
   0.753482      0.145881E-01
   0.767928      0.148177E-01
   0.782381      0.150230E-01
   0.796779      0.152036E-01
   0.811053      0.153598E-01
   0.825151      0.154937E-01
   0.839066      0.156084E-01
   0.852834      0.157069E-01
   0.866527      0.157920E-01
   0.880250      0.158665E-01
   0.894155      0.159328E-01
   0.908419      0.159932E-01
   0.922463      0.160460E-01
   0.936218      0.160913E-01
   0.950278      0.161314E-01
   0.963587      0.161639E-01
   0.975071      0.161885E-01
   0.984914      0.162082E-01
   0.993441      0.162262E-01
    1.00000      0.162595E-01
    1.00010      0.320186E-01
    1.00672      0.318561E-01
    1.01438      0.317302E-01
    1.02326      0.315584E-01
    1.03353      0.313183E-01
    1.04542      0.309806E-01
    1.05916      0.305078E-01
    1.07506      0.298501E-01
    1.09346      0.289398E-01
    1.11472      0.276802E-01
    1.13931      0.259108E-01
    1.16774      0.231796E-01
    1.20060      0.205209E-01
    1.23858      0.178935E-01
    1.28247      0.152736E-01
    1.33318      0.127406E-01
    1.39176      0.103801E-01
    1.45944      0.826576E-02
    1.53760      0.644330E-02
    1.62786      0.492528E-02
    1.73209      0.368743E-02
    1.85243      0.268941E-02
    1.99138      0.189059E-02

   0.636045E-01  0.824772E-05
   0.765549E-01  0.292009E-04
   0.889517E-01  0.455548E-04
   0.102473      0.542319E-04
   0.116702      0.650920E-04
   0.130705      0.697824E-04
   0.145006      0.731740E-04
   0.159084      0.719783E-04
   0.172949      0.693591E-04
   0.186837      0.667686E-04
   0.200871      0.653663E-04
   0.215067      0.669469E-04
   0.229379      0.686114E-04
   0.243763      0.702807E-04
   0.258180      0.720289E-04
   0.272603      0.738069E-04
   0.287014      0.755430E-04
   0.301404      0.770572E-04
   0.315775      0.781442E-04
   0.330135      0.792894E-04
   0.344490      0.805663E-04
   0.358847      0.819911E-04
   0.373211      0.835989E-04
   0.387587      0.854454E-04
   0.401981      0.877111E-04
   0.416397      0.905754E-04
   0.430837      0.935423E-04
   0.445304      0.964875E-04
   0.459799      0.993558E-04
   0.474318      0.102076E-03
   0.488861      0.104549E-03
   0.503421      0.106434E-03
   0.517992      0.107567E-03
   0.532561      0.108684E-03
   0.547130      0.109920E-03
   0.561701      0.111322E-03
   0.576263      0.112932E-03
   0.590813      0.114812E-03
   0.605346      0.117223E-03
   0.619862      0.120162E-03
   0.634360      0.123151E-03
   0.648844      0.126075E-03
   0.663321      0.128869E-03
   0.677801      0.131463E-03
   0.692296      0.133757E-03
   0.706822      0.135328E-03
   0.721380      0.136325E-03
   0.735897      0.137428E-03
   0.750369      0.138791E-03
   0.764813      0.140516E-03
   0.779261      0.142702E-03
   0.793757      0.145505E-03
   0.808286      0.149377E-03
   0.822668      0.154137E-03
   0.836876      0.159328E-03
   0.850942      0.164915E-03
   0.864932      0.170968E-03
   0.878949      0.177617E-03
   0.893139      0.185039E-03
   0.907574      0.192481E-03
   0.921641      0.200939E-03
   0.935456      0.213681E-03
   0.949613      0.235054E-03
   0.963117      0.270920E-03
   0.974762      0.325077E-03
   0.984732      0.406563E-03
   0.993364      0.648201E-03
    1.00000      0.649884E-03
    1.00010      0.320186E-01
    1.00672      0.318561E-01
    1.01438      0.317302E-01
    1.02326      0.315584E-01
    1.03353      0.313183E-01
    1.04542      0.309806E-01
    1.05916      0.305078E-01
    1.07506      0.298501E-01
    1.09346      0.289398E-01
    1.11472      0.276802E-01
    1.13931      0.259108E-01
    1.16774      0.231796E-01
    1.20060      0.205209E-01
    1.23858      0.178935E-01
    1.28247      0.152736E-01
    1.33318      0.127406E-01
    1.39176      0.103801E-01
    1.45944      0.826576E-02
    1.53760      0.644330E-02
    1.62786      0.492528E-02
    1.73209      0.368743E-02
    1.85243      0.268941E-02
    1.99138      0.189059E-02

