#  goe368                                          
#  alpha =  17.2500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           ue
   0.494180E-01  0.480476E-01
   0.379508E-01  0.209390    
   0.282861E-01  0.399023    
   0.171522E-01  0.755644    
   0.892734E-02   1.33292    
   0.544728E-02   1.88796    
   0.325035E-02   2.50483    
   0.173864E-02   3.25987    
   0.710141E-03   4.18037    
   0.823883E-04   5.13627    
  -0.175533E-03   5.48241    
  -0.101625E-03   5.25314    
   0.279911E-03   4.84439    
   0.973417E-03   4.19733    
   0.201363E-02   3.73867    
   0.348271E-02   3.35951    
   0.556737E-02   3.03121    
   0.880591E-02   2.70837    
   0.159904E-01   2.43080    
   0.242559E-01   2.50066    
   0.313851E-01   2.45547    
   0.386628E-01   2.38535    
   0.481609E-01   2.31214    
   0.607811E-01   2.26211    
   0.735985E-01   2.22524    
   0.855830E-01   2.19227    
   0.977520E-01   2.15254    
   0.110510       2.08896    
   0.123795       2.01319    
   0.137473       1.93688    
   0.151402       1.86940    
   0.165461       1.81607    
   0.179581       1.76954    
   0.193720       1.72735    
   0.207865       1.68828    
   0.222023       1.65153    
   0.236202       1.61653    
   0.250408       1.58294    
   0.264647       1.55054    
   0.278922       1.51921    
   0.293234       1.48887    
   0.307584       1.45949    
   0.321971       1.43111    
   0.336395       1.40377    
   0.350852       1.37757    
   0.365336       1.35262    
   0.379838       1.32906    
   0.394349       1.30702    
   0.408853       1.28662    
   0.423336       1.26774    
   0.437786       1.25033    
   0.452197       1.23455    
   0.466566       1.22073    
   0.480896       1.20925    
   0.495197       1.20091    
   0.509480       1.20104    
   0.523761       1.19907    
   0.538054       1.19563    
   0.552369       1.19162    
   0.566709       1.18737    
   0.581075       1.18300    
   0.595460       1.17858    
   0.609854       1.17414    
   0.624242       1.16970    
   0.638614       1.16530    
   0.652964       1.16094    
   0.667293       1.15665    
   0.681609       1.15243    
   0.695922       1.14829    
   0.710252       1.14423    
   0.724618       1.14026    
   0.739031       1.13635    
   0.753482       1.13252    
   0.767928       1.12876    
   0.782381       1.12506    
   0.796779       1.12145    
   0.811053       1.11792    
   0.825151       1.11449    
   0.839066       1.11116    
   0.852834       1.10792    
   0.866527       1.10476    
   0.880250       1.10167    
   0.894155       1.09860    
   0.908419       1.09552    
   0.922463       1.09257    
   0.936218       1.08975    
   0.950278       1.08694    
   0.963587       1.08433    
   0.975071       1.08213    
   0.984914       1.08029    
   0.993441       1.07873    
    1.00000       1.07765    
    1.00010       1.07765    
    1.00672       1.07465    
    1.01438       1.07132    
    1.02326       1.06742    
    1.03353       1.06282    
    1.04542       1.05736    
    1.05916       1.05084    
    1.07506       1.04300    
    1.09346       1.03345    
    1.11472       1.02156    
    1.13931       1.00587    
    1.16774      0.980119    
    1.20060      0.961760    
    1.23858      0.949582    
    1.28247      0.942282    
    1.33318      0.939731    
    1.39176      0.941222    
    1.45944      0.945556    
    1.53760      0.951400    
    1.62786      0.957660    
    1.73209      0.963666    
    1.85243      0.969134    
    1.99138      0.978355    

   0.636045E-01  0.100955    
   0.765549E-01  0.207540    
   0.889517E-01  0.277680    
   0.102473      0.329802    
   0.116702      0.374006    
   0.130705      0.408842    
   0.145006      0.436610    
   0.159084      0.456561    
   0.172949      0.470465    
   0.186837      0.481079    
   0.200871      0.490575    
   0.215067      0.501540    
   0.229379      0.513073    
   0.243763      0.524652    
   0.258180      0.536126    
   0.272603      0.547408    
   0.287014      0.558418    
   0.301404      0.569003    
   0.315775      0.578955    
   0.330135      0.588516    
   0.344490      0.597837    
   0.358847      0.607024    
   0.373211      0.616170    
   0.387587      0.625377    
   0.401981      0.634823    
   0.416397      0.644718    
   0.430837      0.654860    
   0.445304      0.665131    
   0.459799      0.675436    
   0.474318      0.685678    
   0.488861      0.695737    
   0.503421      0.705350    
   0.517992      0.714291    
   0.532561      0.722848    
   0.547130      0.731158    
   0.561701      0.739324    
   0.576263      0.747433    
   0.590813      0.755579    
   0.605346      0.763962    
   0.619862      0.772673    
   0.634360      0.781526    
   0.648844      0.790438    
   0.663321      0.799340    
   0.677801      0.808158    
   0.692296      0.816803    
   0.706822      0.825018    
   0.721380      0.832765    
   0.735897      0.840280    
   0.750369      0.847695    
   0.764813      0.855133    
   0.779261      0.862729    
   0.793757      0.870645    
   0.808286      0.879167    
   0.822668      0.888238    
   0.836876      0.897702    
   0.850942      0.907556    
   0.864932      0.917862    
   0.878949      0.928735    
   0.893139      0.940352    
   0.907574      0.952480    
   0.921641      0.965053    
   0.935456      0.979448    
   0.949613      0.997980    
   0.963117       1.02215    
   0.974762       1.05172    
   0.984732       1.08831    
   0.993364       1.15796    
    1.00000       1.07765    
    1.00010       1.07765    
    1.00672       1.07465    
    1.01438       1.07132    
    1.02326       1.06742    
    1.03353       1.06282    
    1.04542       1.05736    
    1.05916       1.05084    
    1.07506       1.04300    
    1.09346       1.03345    
    1.11472       1.02156    
    1.13931       1.00587    
    1.16774      0.980119    
    1.20060      0.961760    
    1.23858      0.949582    
    1.28247      0.942282    
    1.33318      0.939731    
    1.39176      0.941222    
    1.45944      0.945556    
    1.53760      0.951400    
    1.62786      0.957660    
    1.73209      0.963666    
    1.85243      0.969134    
    1.99138      0.978355    

