#  goe368                                          
#  alpha =  17.2500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           hk
   0.494180E-01   2.22951    
   0.379508E-01   2.20867    
   0.282861E-01   2.21628    
   0.171522E-01   2.17126    
   0.892734E-02   2.15201    
   0.544728E-02   2.11023    
   0.325035E-02   2.13443    
   0.173864E-02   2.10643    
   0.710141E-03   2.12276    
   0.823883E-04   2.16187    
  -0.175533E-03   2.48021    
  -0.101625E-03   4.97357    
   0.279911E-03   5.64013    
   0.973417E-03   2.25889    
   0.201363E-02   1.71621    
   0.348271E-02   1.62693    
   0.556737E-02   1.65983    
   0.880591E-02   1.76804    
   0.159904E-01   1.69904    
   0.242559E-01   1.42707    
   0.313851E-01   1.38876    
   0.386628E-01   1.39012    
   0.481609E-01   1.39508    
   0.607811E-01   1.38574    
   0.735985E-01   1.37869    
   0.855830E-01   1.37725    
   0.977520E-01   1.38314    
   0.110510       1.40651    
   0.123795       1.44182    
   0.137473       1.48300    
   0.151402       1.52162    
   0.165461       1.54844    
   0.179581       1.57039    
   0.193720       1.59001    
   0.207865       1.60868    
   0.222023       1.62744    
   0.236202       1.64716    
   0.250408       1.66848    
   0.264647       1.69200    
   0.278922       1.71826    
   0.293234       1.74779    
   0.307584       1.78115    
   0.321971       1.81894    
   0.336395       1.86175    
   0.350852       1.91021    
   0.365336       1.96490    
   0.379838       2.02637    
   0.394349       2.09514    
   0.408853       2.17143    
   0.423336       2.25842    
   0.437786       2.36096    
   0.452197       2.48418    
   0.466566       2.63422    
   0.480896       2.81878    
   0.495197       3.05152    
   0.509480       3.40814    
   0.523761       3.76018    
   0.538054       4.09494    
   0.552369       4.41382    
   0.566709       4.71452    
   0.581075       4.99368    
   0.595460       5.24804    
   0.609854       5.47478    
   0.624242       5.67703    
   0.638614       5.85964    
   0.652964       6.02663    
   0.667293       6.18175    
   0.681609       6.32834    
   0.695922       6.46935    
   0.710252       6.60729    
   0.724618       6.74007    
   0.739031       6.86447    
   0.753482       6.97792    
   0.767928       7.07805    
   0.782381       7.16339    
   0.796779       7.23248    
   0.811053       7.28465    
   0.825151       7.32403    
   0.839066       7.35529    
   0.852834       7.38207    
   0.866527       7.40743    
   0.880250       7.43403    
   0.894155       7.46430    
   0.908419       7.50093    
   0.922463       7.54158    
   0.936218       7.58326    
   0.950278       7.62615    
   0.963587       7.66632    
   0.975071       7.70209    
   0.984914       7.73644    
   0.993441       7.77450    
    1.00000       7.87029    
    1.00010       7.82666    
    1.00672       7.43300    
    1.01438       7.14764    
    1.02326       6.84526    
    1.03353       6.51774    
    1.04542       6.15833    
    1.05916       5.76317    
    1.07506       5.32983    
    1.09346       4.85678    
    1.11472       4.34204    
    1.13931       3.77750    
    1.16774       3.10667    
    1.20060       2.63275    
    1.23858       2.27479    
    1.28247       1.99028    
    1.33318       1.76526    
    1.39176       1.58895    
    1.45944       1.45205    
    1.53760       1.34627    
    1.62786       1.26451    
    1.73209       1.20115    
    1.85243       1.15209    
    1.99138       1.11289    

   0.636045E-01   2.22951    
   0.765549E-01   2.27143    
   0.889517E-01   2.26966    
   0.102473       2.31204    
   0.116702       2.27483    
   0.130705       2.31223    
   0.145006       2.31779    
   0.159084       2.35396    
   0.172949       2.38010    
   0.186837       2.39425    
   0.200871       2.38951    
   0.215067       2.35076    
   0.229379       2.33068    
   0.243763       2.31939    
   0.258180       2.31151    
   0.272603       2.30592    
   0.287014       2.30236    
   0.301404       2.30186    
   0.315775       2.30545    
   0.330135       2.30674    
   0.344490       2.30580    
   0.358847       2.30325    
   0.373211       2.29930    
   0.387587       2.29391    
   0.401981       2.28591    
   0.416397       2.27474    
   0.430837       2.26600    
   0.445304       2.26002    
   0.459799       2.25642    
   0.474318       2.25504    
   0.488861       2.25598    
   0.503421       2.26106    
   0.517992       2.27049    
   0.532561       2.27776    
   0.547130       2.28235    
   0.561701       2.28452    
   0.576263       2.28450    
   0.590813       2.28234    
   0.605346       2.27671    
   0.619862       2.26859    
   0.634360       2.26197    
   0.648844       2.25724    
   0.663321       2.25437    
   0.677801       2.25339    
   0.692296       2.25446    
   0.706822       2.25972    
   0.721380       2.26748    
   0.735897       2.27317    
   0.750369       2.27616    
   0.764813       2.27635    
   0.779261       2.27368    
   0.793757       2.26790    
   0.808286       2.25727    
   0.822668       2.24400    
   0.836876       2.23130    
   0.850942       2.21943    
   0.864932       2.20813    
   0.878949       2.19711    
   0.893139       2.18609    
   0.907574       2.17833    
   0.921641       2.16883    
   0.935456       2.14803    
   0.949613       2.11038    
   0.963117       2.05318    
   0.974762       1.98560    
   0.984732       1.91269    
   0.993364       1.76743    
    1.00000       2.71162    
    1.00010       7.82666    
    1.00672       7.43300    
    1.01438       7.14764    
    1.02326       6.84526    
    1.03353       6.51774    
    1.04542       6.15833    
    1.05916       5.76317    
    1.07506       5.32983    
    1.09346       4.85678    
    1.11472       4.34204    
    1.13931       3.77750    
    1.16774       3.10667    
    1.20060       2.63275    
    1.23858       2.27479    
    1.28247       1.99028    
    1.33318       1.76526    
    1.39176       1.58895    
    1.45944       1.45205    
    1.53760       1.34627    
    1.62786       1.26451    
    1.73209       1.20115    
    1.85243       1.15209    
    1.99138       1.11289    

