#  goe368                                          
#  alpha =  17.2500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           cf
   0.494180E-01  0.135174E-03
   0.379508E-01  0.749409E-03
   0.282861E-01  0.158802E-02
   0.171522E-01  0.416758E-02
   0.892734E-02  0.110284E-01
   0.544728E-02  0.224536E-01
   0.325035E-02  0.363531E-01
   0.173864E-02  0.624142E-01
   0.710141E-03  0.971973E-01
   0.823883E-04  0.129615    
  -0.175533E-03  0.755879E-01
  -0.101625E-03 -0.714225E-02
   0.279911E-03 -0.377560E-02
   0.973417E-03  0.185263E-01
   0.201363E-02  0.323283E-01
   0.348271E-02  0.274066E-01
   0.556737E-02  0.192499E-01
   0.880591E-02  0.115874E-01
   0.159904E-01  0.960499E-02
   0.242559E-01  0.164218E-01
   0.313851E-01  0.165341E-01
   0.386628E-01  0.151398E-01
   0.481609E-01  0.136940E-01
   0.607811E-01  0.129994E-01
   0.735985E-01  0.124859E-01
   0.855830E-01  0.119451E-01
   0.977520E-01  0.111954E-01
   0.110510      0.988265E-02
   0.123795      0.839874E-02
   0.137473      0.703811E-02
   0.151402      0.597659E-02
   0.165461      0.527250E-02
   0.179581      0.472963E-02
   0.193720      0.428137E-02
   0.207865      0.389556E-02
   0.222023      0.355238E-02
   0.236202      0.323912E-02
   0.250408      0.294833E-02
   0.264647      0.267533E-02
   0.278922      0.241723E-02
   0.293234      0.217232E-02
   0.307584      0.193969E-02
   0.321971      0.171903E-02
   0.336395      0.151051E-02
   0.350852      0.131464E-02
   0.365336      0.113213E-02
   0.379838      0.963756E-03
   0.394349      0.810119E-03
   0.408853      0.671853E-03
   0.423336      0.545497E-03
   0.437786      0.428140E-03
   0.452197      0.318998E-03
   0.466566      0.217778E-03
   0.480896      0.123418E-03
   0.495197      0.314620E-04
   0.509480      0.220024E-05
   0.523761      0.278137E-06
   0.538054     -0.805111E-06
   0.552369     -0.136163E-05
   0.566709     -0.160188E-05
   0.581075     -0.166785E-05
   0.595460     -0.165062E-05
   0.609854     -0.160353E-05
   0.624242     -0.154472E-05
   0.638614     -0.147919E-05
   0.652964     -0.141521E-05
   0.667293     -0.135463E-05
   0.681609     -0.129767E-05
   0.695922     -0.124411E-05
   0.710252     -0.119364E-05
   0.724618     -0.114613E-05
   0.739031     -0.110148E-05
   0.753482     -0.105957E-05
   0.767928     -0.102032E-05
   0.782381     -0.983504E-06
   0.796779     -0.949081E-06
   0.811053     -0.916998E-06
   0.825151     -0.887062E-06
   0.839066     -0.859020E-06
   0.852834     -0.832599E-06
   0.866527     -0.807511E-06
   0.880250     -0.783455E-06
   0.894155     -0.760108E-06
   0.908419     -0.737157E-06
   0.922463     -0.715524E-06
   0.936218     -0.695263E-06
   0.950278     -0.675478E-06
   0.963587     -0.657577E-06
   0.975071     -0.642729E-06
   0.984914     -0.630396E-06
   0.993441     -0.619941E-06
    1.00000     -0.611466E-06
    1.00010       0.00000    
    1.00672       0.00000    
    1.01438       0.00000    
    1.02326       0.00000    
    1.03353       0.00000    
    1.04542       0.00000    
    1.05916       0.00000    
    1.07506       0.00000    
    1.09346       0.00000    
    1.11472       0.00000    
    1.13931       0.00000    
    1.16774       0.00000    
    1.20060       0.00000    
    1.23858       0.00000    
    1.28247       0.00000    
    1.33318       0.00000    
    1.39176       0.00000    
    1.45944       0.00000    
    1.53760       0.00000    
    1.62786       0.00000    
    1.73209       0.00000    
    1.85243       0.00000    
    1.99138       0.00000    

   0.636045E-01  0.284164E-03
   0.765549E-01  0.475236E-03
   0.889517E-01  0.554852E-03
   0.102473      0.538359E-03
   0.116702      0.586392E-03
   0.130705      0.558728E-03
   0.145006      0.546170E-03
   0.159084      0.498414E-03
   0.172949      0.455391E-03
   0.186837      0.423169E-03
   0.200871      0.408051E-03
   0.215067      0.423169E-03
   0.229379      0.431213E-03
   0.243763      0.435982E-03
   0.258180      0.440053E-03
   0.272603      0.443591E-03
   0.287014      0.446328E-03
   0.301404      0.446977E-03
   0.315775      0.444233E-03
   0.330135      0.442970E-03
   0.344490      0.443415E-03
   0.358847      0.445322E-03
   0.373211      0.448701E-03
   0.387587      0.453757E-03
   0.401981      0.461675E-03
   0.416397      0.473386E-03
   0.430837      0.484423E-03
   0.445304      0.494089E-03
   0.459799      0.502304E-03
   0.474318      0.508848E-03
   0.488861      0.513298E-03
   0.503421      0.513563E-03
   0.517992      0.509031E-03
   0.532561      0.505499E-03
   0.547130      0.503700E-03
   0.561701      0.503662E-03
   0.576263      0.505409E-03
   0.590813      0.509115E-03
   0.605346      0.516272E-03
   0.619862      0.526398E-03
   0.634360      0.535950E-03
   0.648844      0.544336E-03
   0.663321      0.551326E-03
   0.677801      0.556677E-03
   0.692296      0.559970E-03
   0.706822      0.558804E-03
   0.721380      0.554562E-03
   0.735897      0.551737E-03
   0.750369      0.551115E-03
   0.764813      0.553032E-03
   0.779261      0.557791E-03
   0.793757      0.565976E-03
   0.808286      0.579840E-03
   0.822668      0.597750E-03
   0.836876      0.616682E-03
   0.850942      0.636356E-03
   0.864932      0.657057E-03
   0.878949      0.679277E-03
   0.893139      0.703605E-03
   0.907574      0.725903E-03
   0.921641      0.752040E-03
   0.935456      0.797072E-03
   0.949613      0.877009E-03
   0.963117      0.101130E-02
   0.974762      0.120556E-02
   0.984732      0.147995E-02
   0.993364      0.223368E-02
    1.00000      0.516558E-03
    1.00010       0.00000    
    1.00672       0.00000    
    1.01438       0.00000    
    1.02326       0.00000    
    1.03353       0.00000    
    1.04542       0.00000    
    1.05916       0.00000    
    1.07506       0.00000    
    1.09346       0.00000    
    1.11472       0.00000    
    1.13931       0.00000    
    1.16774       0.00000    
    1.20060       0.00000    
    1.23858       0.00000    
    1.28247       0.00000    
    1.33318       0.00000    
    1.39176       0.00000    
    1.45944       0.00000    
    1.53760       0.00000    
    1.62786       0.00000    
    1.73209       0.00000    
    1.85243       0.00000    
    1.99138       0.00000    

