#      x          Cp  
     1.00000   -0.16132
     0.99344   -0.16365
     0.98491   -0.16702
     0.97507   -0.17101
     0.96359   -0.17577
     0.95028   -0.18143
     0.93622   -0.18756
     0.92246   -0.19371
     0.90842   -0.20017
     0.89416   -0.20691
     0.88025   -0.21367
     0.86653   -0.22051
     0.85283   -0.22749
     0.83907   -0.23467
     0.82515   -0.24208
     0.81105   -0.24974
     0.79678   -0.25765
     0.78238   -0.26577
     0.76793   -0.27409
     0.75348   -0.28259
     0.73903   -0.29129
     0.72462   -0.30018
     0.71025   -0.30927
     0.69592   -0.31857
     0.68161   -0.32809
     0.66729   -0.33783
     0.65296   -0.34778
     0.63861   -0.35792
     0.62424   -0.36820
     0.60985   -0.37860
     0.59546   -0.38906
     0.58107   -0.39949
     0.56671   -0.40984
     0.55237   -0.41996
     0.53805   -0.42953
     0.52376   -0.43776
     0.50948   -0.44249
     0.49520   -0.44219
     0.48090   -0.46229
     0.46657   -0.49018
     0.45220   -0.52412
     0.43779   -0.56332
     0.42334   -0.60717
     0.40885   -0.65540
     0.39435   -0.70830
     0.37984   -0.76640
     0.36534   -0.82958
     0.35085   -0.89769
     0.33639   -0.97056
     0.32197   -1.04806
     0.30758   -1.13011
     0.29323   -1.21672
     0.27892   -1.30799
     0.26465   -1.40418
     0.25041   -1.50569
     0.23620   -1.61315
     0.22202   -1.72754
     0.20787   -1.85029
     0.19372   -1.98373
     0.17958   -2.13128
     0.16546   -2.29813
     0.15140   -2.49466
     0.13747   -2.75149
     0.12380   -3.05295
     0.11051   -3.36373
     0.09775   -3.63343
     0.08558   -3.80607
     0.07360   -3.95168
     0.06078   -4.11713
     0.04816   -4.34599
     0.03866   -4.68988
     0.03139   -5.02932
     0.02426   -5.25328
     0.01599   -4.90880
     0.00881   -6.33528
     0.00557   -8.18822
     0.00348  -10.28630
     0.00201  -12.97768
     0.00097  -16.61757
     0.00028  -22.46809
    -0.00010  -26.59549
    -0.00018  -29.05683
     0.00008  -25.38127
     0.00071  -16.47551
     0.00174   -9.62678
     0.00325   -5.27416
     0.00545   -2.56437
     0.00893   -0.77669
     0.01715    0.42900
     0.02829    0.84078
     0.03795    0.95616
     0.04942    0.99769
     0.06360    0.98981
     0.07655    0.95693
     0.08895    0.92289
     0.10247    0.89123
     0.11670    0.86012
     0.13071    0.83285
     0.14501    0.80937
     0.15908    0.79155
     0.17295    0.77866
     0.18684    0.76856
     0.20087    0.75934
     0.21507    0.74846
     0.22938    0.73676
     0.24376    0.72474
     0.25818    0.71257
     0.27260    0.70034
     0.28701    0.68817
     0.30140    0.67624
     0.31578    0.66481
     0.33014    0.65365
     0.34449    0.64259
     0.35885    0.63152
     0.37321    0.62033
     0.38759    0.60890
     0.40198    0.59700
     0.41640    0.58434
     0.43084    0.57116
     0.44530    0.55760
     0.45980    0.54379
     0.47432    0.52985
     0.48886    0.51595
     0.50342    0.50248
     0.51799    0.48979
     0.53256    0.47749
     0.54713    0.46541
     0.56170    0.45340
     0.57626    0.44134
     0.59081    0.42910
     0.60535    0.41636
     0.61986    0.40298
     0.63436    0.38922
     0.64884    0.37521
     0.66332    0.36106
     0.67780    0.34688
     0.69230    0.33283
     0.70682    0.31935
     0.72138    0.30650
     0.73590    0.29393
     0.75037    0.28141
     0.76481    0.26875
     0.77926    0.25570
     0.79376    0.24198
     0.80829    0.22707
     0.82267    0.21103
     0.83688    0.19413
     0.85094    0.17634
     0.86493    0.15753
     0.87895    0.13745
     0.89314    0.11574
     0.90757    0.09278
     0.92164    0.06867
     0.93546    0.04068
     0.94961    0.00404
     0.96312   -0.04479
     0.97476   -0.10611
     0.98473   -0.18443
     0.99336   -0.34088
     1.00000   -0.16132
