#  nplx                                            
#  alpha =  17.7500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           rt
   0.660202E-01   6.81293    
   0.549847E-01   32.1398    
   0.453829E-01   57.6395    
   0.372956E-01   77.8981    
   0.306121E-01   96.0041    
   0.250776E-01   110.982    
   0.204428E-01   124.029    
   0.165288E-01   136.241    
   0.131949E-01   146.673    
   0.103454E-01   156.276    
   0.790888E-02   166.879    
   0.580896E-02   187.246    
   0.393115E-02   166.153    
   0.242996E-02   176.423    
   0.138466E-02   227.342    
   0.664648E-03   251.564    
   0.212382E-03   269.886    
   0.117708E-04   292.780    
   0.565188E-04   338.436    
   0.317970E-03   396.915    
   0.755058E-03   447.754    
   0.130831E-02   453.307    
   0.198590E-02   409.718    
   0.291395E-02   414.322    
   0.423739E-02   510.063    
   0.591431E-02   586.175    
   0.791212E-02   681.772    
   0.103153E-01   908.220    
   0.131861E-01   1214.76    
   0.165943E-01   1598.02    
   0.206617E-01   2102.78    
   0.255752E-01   2763.02    
   0.315162E-01   3440.08    
   0.386292E-01   4152.63    
   0.470258E-01   4996.42    
   0.569498E-01   6035.04    
   0.686267E-01   7209.58    
   0.818681E-01   8399.97    
   0.960868E-01   9517.65    
   0.110767       10505.5    
   0.125637       11446.2    
   0.140644       12368.5    
   0.155765       13264.1    
   0.170952       14136.7    
   0.186175       15002.2    
   0.201440       15878.2    
   0.216772       16767.7    
   0.232186       17677.1    
   0.247692       18607.8    
   0.263305       19551.1    
   0.279057       20501.5    
   0.294967       21442.9    
   0.310984       22341.8    
   0.326979       23145.9    
   0.342843       23906.4    
   0.358597       24690.9    
   0.374374       25566.0    
   0.390307       26475.2    
   0.406411       27350.8    
   0.422570       28122.1    
   0.438643       28838.3    
   0.454568       29542.4    
   0.470358       30272.2    
   0.486068       31038.9    
   0.501767       31863.0    
   0.517536       32774.0    
   0.533429       33731.6    
   0.549421       34683.4    
   0.565403       35563.5    
   0.581255       36424.4    
   0.596938       37333.7    
   0.612498       38358.8    
   0.628014       39508.4    
   0.643544       40785.1    
   0.659119       42204.0    
   0.674750       43758.4    
   0.690441       45437.9    
   0.706192       47234.8    
   0.722000       49147.1    
   0.737860       51172.6    
   0.753764       53305.6    
   0.769713       55538.9    
   0.785716       57862.5    
   0.801781       60265.5    
   0.817844       62723.7    
   0.833762       65200.3    
   0.849459       67721.0    
   0.865045       70303.6    
   0.880687       72862.7    
   0.896346       75257.6    
   0.911823       77320.4    
   0.927022       79040.2    
   0.941901       80288.8    
   0.956254       79538.0    
   0.969615       78753.7    
   0.981554       78522.8    
   0.992001       78511.1    
    1.00000       78445.3    
    1.00010       79487.3    
    1.00824       81240.1    
    1.01756       83083.1    
    1.02820       85498.2    
    1.04035       89023.6    
    1.05422       92903.0    
    1.07005       94936.4    
    1.08810       96487.1    
    1.10869       97482.9    
    1.13218       97895.5    
    1.15896       97756.8    
    1.18949       97158.1    
    1.22430       96230.3    
    1.26398       95112.9    
    1.30920       93925.0    
    1.36074       92750.5    
    1.41947       91638.9    
    1.48639       90613.6    
    1.56263       89682.3    
    1.64948       88844.1    
    1.74842       88093.9    
    1.86112       87428.4    
    1.98949       86615.1    

   0.785577E-01   21.3563    
   0.926308E-01   53.9092    
   0.107465       83.4190    
   0.122307       113.621    
   0.137271       142.899    
   0.152613       172.758    
   0.168291       201.515    
   0.184137       229.448    
   0.200054       254.517    
   0.215980       278.402    
   0.231804       301.293    
   0.247390       323.363    
   0.262727       345.506    
   0.277956       369.670    
   0.293276       394.670    
   0.308765       418.713    
   0.324336       440.032    
   0.339822       460.340    
   0.355136       480.845    
   0.370290       502.144    
   0.385343       524.016    
   0.400346       546.562    
   0.415336       570.892    
   0.430347       596.531    
   0.445413       622.834    
   0.460574       650.442    
   0.475874       679.179    
   0.491331       707.833    
   0.506925       735.130    
   0.522600       760.329    
   0.538307       785.225    
   0.554035       810.452    
   0.569808       836.426    
   0.585653       862.460    
   0.601575       888.222    
   0.617558       913.405    
   0.633585       937.857    
   0.649652       960.981    
   0.665765       982.359    
   0.681900       1003.87    
   0.697978       1027.93    
   0.713892       1054.60    
   0.729624       1078.75    
   0.745273       1095.42    
   0.760987       1105.70    
   0.776802       1115.92    
   0.792594       1131.22    
   0.808234       1146.99    
   0.823785       1156.51    
   0.839421       1159.42    
   0.855078       1168.07    
   0.870348       1191.23    
   0.884926       1193.76    
   0.898848       1133.76    
   0.912397       1213.43    
   0.926204       1192.88    
   0.940666       1138.91    
   0.955237       1111.71    
   0.968925       1074.42    
   0.981141       1016.50    
   0.991821       899.514    
    1.00000       1041.95    
    1.00010       79487.3    
    1.00824       81240.1    
    1.01756       83083.1    
    1.02820       85498.2    
    1.04035       89023.6    
    1.05422       92903.0    
    1.07005       94936.4    
    1.08810       96487.1    
    1.10869       97482.9    
    1.13218       97895.5    
    1.15896       97756.8    
    1.18949       97158.1    
    1.22430       96230.3    
    1.26398       95112.9    
    1.30920       93925.0    
    1.36074       92750.5    
    1.41947       91638.9    
    1.48639       90613.6    
    1.56263       89682.3    
    1.64948       88844.1    
    1.74842       88093.9    
    1.86112       87428.4    
    1.98949       86615.1    

