#  nplx                                            
#  alpha =  17.7500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           dB
   0.785577E-01  0.849011E-04
   0.926308E-01  0.102432E-03
   0.107465      0.105505E-03
   0.122307      0.116373E-03
   0.137271      0.123239E-03
   0.152613      0.133472E-03
   0.168291      0.141059E-03
   0.184137      0.148702E-03
   0.200054      0.152520E-03
   0.215980      0.156107E-03
   0.231804      0.159149E-03
   0.247390      0.161994E-03
   0.262727      0.165679E-03
   0.277956      0.172178E-03
   0.293276      0.179208E-03
   0.308765      0.184706E-03
   0.324336      0.187235E-03
   0.339822      0.189655E-03
   0.355136      0.193109E-03
   0.370290      0.197844E-03
   0.385343      0.203297E-03
   0.400346      0.209498E-03
   0.415336      0.217676E-03
   0.430347      0.227145E-03
   0.445413      0.237176E-03
   0.460574      0.248657E-03
   0.475874      0.261383E-03
   0.491331      0.273858E-03
   0.506925      0.284592E-03
   0.522600      0.292930E-03
   0.538307      0.301576E-03
   0.554035      0.311256E-03
   0.569808      0.322352E-03
   0.585653      0.333782E-03
   0.601575      0.345077E-03
   0.617558      0.355856E-03
   0.633585      0.365962E-03
   0.649652      0.374572E-03
   0.665765      0.381175E-03
   0.681900      0.388617E-03
   0.697978      0.400316E-03
   0.713892      0.416428E-03
   0.729624      0.429126E-03
   0.745273      0.430682E-03
   0.760987      0.424075E-03
   0.776802      0.419328E-03
   0.792594      0.422565E-03
   0.808234      0.426936E-03
   0.823785      0.423735E-03
   0.839421      0.413520E-03
   0.855078      0.411434E-03
   0.870348      0.426842E-03
   0.884926      0.418207E-03
   0.898848      0.351245E-03
   0.912397      0.424865E-03
   0.926204      0.393287E-03
   0.940666      0.338775E-03
   0.955237      0.314550E-03
   0.968925      0.286452E-03
   0.981141      0.249658E-03
   0.991821      0.189921E-03
    1.00000      0.270198E-03
    1.00010      0.451986E-01
    1.00824      0.424845E-01
    1.01756      0.410848E-01
    1.02820      0.396367E-01
    1.04035      0.380893E-01
    1.05422      0.363546E-01
    1.07005      0.343658E-01
    1.08810      0.322365E-01
    1.10869      0.300108E-01
    1.13218      0.277529E-01
    1.15896      0.255384E-01
    1.18949      0.234411E-01
    1.22430      0.215192E-01
    1.26398      0.198076E-01
    1.30920      0.183163E-01
    1.36074      0.170365E-01
    1.41947      0.159483E-01
    1.48639      0.150278E-01
    1.56263      0.142513E-01
    1.64948      0.135978E-01
    1.74842      0.130501E-01
    1.86112      0.125945E-01
    1.98949      0.121669E-01

   0.785577E-01  0.380806E-04
   0.926308E-01  0.450279E-04
   0.107465      0.475679E-04
   0.122307      0.510396E-04
   0.137271      0.545956E-04
   0.152613      0.584382E-04
   0.168291      0.619367E-04
   0.184137      0.651533E-04
   0.200054      0.673073E-04
   0.215980      0.690021E-04
   0.231804      0.704254E-04
   0.247390      0.717011E-04
   0.262727      0.731329E-04
   0.277956      0.752944E-04
   0.293276      0.778249E-04
   0.308765      0.801666E-04
   0.324336      0.818032E-04
   0.339822      0.831700E-04
   0.355136      0.846224E-04
   0.370290      0.863400E-04
   0.385343      0.882788E-04
   0.400346      0.904542E-04
   0.415336      0.931168E-04
   0.430347      0.961749E-04
   0.445413      0.994833E-04
   0.460574      0.103168E-03
   0.475874      0.107193E-03
   0.491331      0.111300E-03
   0.506925      0.115202E-03
   0.522600      0.118718E-03
   0.538307      0.122199E-03
   0.554035      0.125784E-03
   0.569808      0.129569E-03
   0.585653      0.133421E-03
   0.601575      0.137270E-03
   0.617558      0.141051E-03
   0.633585      0.144725E-03
   0.649652      0.148163E-03
   0.665765      0.151267E-03
   0.681900      0.154406E-03
   0.697978      0.158083E-03
   0.713892      0.162349E-03
   0.729624      0.166194E-03
   0.745273      0.168579E-03
   0.760987      0.169644E-03
   0.776802      0.170617E-03
   0.792594      0.172554E-03
   0.808234      0.174591E-03
   0.823785      0.175385E-03
   0.839421      0.174805E-03
   0.855078      0.175281E-03
   0.870348      0.178643E-03
   0.884926      0.178055E-03
   0.898848      0.165150E-03
   0.912397      0.179172E-03
   0.926204      0.174134E-03
   0.940666      0.162368E-03
   0.955237      0.155356E-03
   0.968925      0.146430E-03
   0.981141      0.133818E-03
   0.991821      0.110979E-03
    1.00000      0.133400E-03
    1.00010      0.101767E-01
    1.00824      0.104443E-01
    1.01756      0.107298E-01
    1.02820      0.111093E-01
    1.04035      0.116737E-01
    1.05422      0.123095E-01
    1.07005      0.126502E-01
    1.08810      0.129147E-01
    1.10869      0.130875E-01
    1.13218      0.131602E-01
    1.15896      0.131354E-01
    1.18949      0.130271E-01
    1.22430      0.128575E-01
    1.26398      0.126517E-01
    1.30920      0.124315E-01
    1.36074      0.122128E-01
    1.41947      0.120050E-01
    1.48639      0.118127E-01
    1.56263      0.116377E-01
    1.64948      0.114799E-01
    1.74842      0.113386E-01
    1.86112      0.112130E-01
    1.98949      0.110597E-01

