#  nplx                                            
#  alpha =  17.7500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           dT
   0.660202E-01  0.849011E-04
   0.549847E-01  0.690727E-04
   0.453829E-01  0.645416E-04
   0.372956E-01  0.556810E-04
   0.306121E-01  0.498721E-04
   0.250776E-01  0.437126E-04
   0.204428E-01  0.386874E-04
   0.165288E-01  0.346150E-04
   0.131949E-01  0.307089E-04
   0.103454E-01  0.273725E-04
   0.790888E-02  0.249815E-04
   0.580896E-02  0.261682E-04
   0.393115E-02  0.163461E-04
   0.242996E-02  0.152671E-04
   0.138466E-02  0.220855E-04
   0.664648E-03  0.206932E-04
   0.212382E-03  0.206756E-04
   0.117708E-04  0.219604E-04
   0.565188E-04  0.287360E-04
   0.317970E-03  0.427887E-04
   0.755058E-03  0.594879E-04
   0.130831E-02  0.398713E-04
   0.198590E-02  0.268471E-04
   0.291395E-02  0.261955E-04
   0.423739E-02  0.460760E-04
   0.591431E-02  0.573571E-04
   0.791212E-02  0.374592E-04
   0.103153E-01  0.445741E-04
   0.131861E-01  0.622002E-04
   0.165943E-01  0.886095E-04
   0.206617E-01  0.129129E-03
   0.255752E-01  0.190197E-03
   0.315162E-01  0.252667E-03
   0.386292E-01  0.318214E-03
   0.470258E-01  0.403479E-03
   0.569498E-01  0.521340E-03
   0.686267E-01  0.664066E-03
   0.818681E-01  0.811123E-03
   0.960868E-01  0.947307E-03
   0.110767      0.106259E-02
   0.125637      0.117454E-02
   0.140644      0.128851E-02
   0.155765      0.140219E-02
   0.170952      0.151582E-02
   0.186175      0.163239E-02
   0.201440      0.175527E-02
   0.216772      0.188487E-02
   0.232186      0.202247E-02
   0.247692      0.216847E-02
   0.263305      0.232084E-02
   0.279057      0.247819E-02
   0.294967      0.263643E-02
   0.310984      0.278722E-02
   0.326979      0.291744E-02
   0.342843      0.303961E-02
   0.358597      0.317044E-02
   0.374374      0.332666E-02
   0.390307      0.349386E-02
   0.406411      0.365430E-02
   0.422570      0.378909E-02
   0.438643      0.391128E-02
   0.454568      0.403246E-02
   0.470358      0.416277E-02
   0.486068      0.430519E-02
   0.501767      0.446533E-02
   0.517536      0.465172E-02
   0.533429      0.485364E-02
   0.549421      0.505654E-02
   0.565403      0.524128E-02
   0.581255      0.542317E-02
   0.596938      0.562267E-02
   0.612498      0.586096E-02
   0.628014      0.614240E-02
   0.643544      0.647034E-02
   0.659119      0.685307E-02
   0.674750      0.729299E-02
   0.690441      0.779168E-02
   0.706192      0.835223E-02
   0.722000      0.898070E-02
   0.737860      0.968416E-02
   0.753764      0.104698E-01
   0.769713      0.113458E-01
   0.785716      0.123206E-01
   0.801781      0.134045E-01
   0.817844      0.146043E-01
   0.833762      0.159222E-01
   0.849459      0.174092E-01
   0.865045      0.191358E-01
   0.880687      0.211150E-01
   0.896346      0.233129E-01
   0.911823      0.256107E-01
   0.927022      0.281221E-01
   0.941901      0.308344E-01
   0.956254      0.335881E-01
   0.969615      0.364317E-01
   0.981554      0.392774E-01
   0.992001      0.420162E-01
    1.00000      0.449284E-01
    1.00010      0.451986E-01
    1.00824      0.424845E-01
    1.01756      0.410848E-01
    1.02820      0.396367E-01
    1.04035      0.380893E-01
    1.05422      0.363546E-01
    1.07005      0.343658E-01
    1.08810      0.322365E-01
    1.10869      0.300108E-01
    1.13218      0.277529E-01
    1.15896      0.255384E-01
    1.18949      0.234411E-01
    1.22430      0.215192E-01
    1.26398      0.198076E-01
    1.30920      0.183163E-01
    1.36074      0.170365E-01
    1.41947      0.159483E-01
    1.48639      0.150278E-01
    1.56263      0.142513E-01
    1.64948      0.135978E-01
    1.74842      0.130501E-01
    1.86112      0.125945E-01
    1.98949      0.121669E-01

   0.660202E-01  0.380806E-04
   0.549847E-01  0.311901E-04
   0.453829E-01  0.290072E-04
   0.372956E-01  0.255069E-04
   0.306121E-01  0.227062E-04
   0.250776E-01  0.201246E-04
   0.204428E-01  0.178271E-04
   0.165288E-01  0.159707E-04
   0.131949E-01  0.142437E-04
   0.103454E-01  0.127141E-04
   0.790888E-02  0.115546E-04
   0.580896E-02  0.116135E-04
   0.393115E-02  0.820494E-05
   0.242996E-02  0.702398E-05
   0.138466E-02  0.863395E-05
   0.664648E-03  0.912189E-05
   0.212382E-03  0.921303E-05
   0.117708E-04  0.956733E-05
   0.565188E-04  0.110623E-04
   0.317970E-03  0.133206E-04
   0.755058E-03  0.153968E-04
   0.130831E-02  0.155333E-04
   0.198590E-02  0.131153E-04
   0.291395E-02  0.124961E-04
   0.423739E-02  0.158389E-04
   0.591431E-02  0.187004E-04
   0.791212E-02  0.221509E-04
   0.103153E-01  0.304535E-04
   0.131861E-01  0.425663E-04
   0.165943E-01  0.593253E-04
   0.206617E-01  0.839250E-04
   0.255752E-01  0.119592E-03
   0.315162E-01  0.158939E-03
   0.386292E-01  0.202904E-03
   0.470258E-01  0.258401E-03
   0.569498E-01  0.331495E-03
   0.686267E-01  0.419473E-03
   0.818681E-01  0.513443E-03
   0.960868E-01  0.605430E-03
   0.110767      0.689200E-03
   0.125637      0.771214E-03
   0.140644      0.853748E-03
   0.155765      0.935772E-03
   0.170952      0.101738E-02
   0.186175      0.110003E-02
   0.201440      0.118545E-02
   0.216772      0.127397E-02
   0.232186      0.136632E-02
   0.247692      0.146271E-02
   0.263305      0.156223E-02
   0.279057      0.166427E-02
   0.294967      0.176693E-02
   0.310984      0.186621E-02
   0.326979      0.195571E-02
   0.342843      0.204114E-02
   0.358597      0.213047E-02
   0.374374      0.223192E-02
   0.390307      0.233881E-02
   0.406411      0.244278E-02
   0.422570      0.253476E-02
   0.438643      0.262065E-02
   0.454568      0.270578E-02
   0.470358      0.279501E-02
   0.486068      0.288988E-02
   0.501767      0.299315E-02
   0.517536      0.310893E-02
   0.533429      0.323209E-02
   0.549421      0.335573E-02
   0.565403      0.347081E-02
   0.581255      0.358432E-02
   0.596938      0.370557E-02
   0.612498      0.384414E-02
   0.628014      0.400162E-02
   0.643544      0.417887E-02
   0.659119      0.437854E-02
   0.674750      0.460025E-02
   0.690441      0.484300E-02
   0.706192      0.510614E-02
   0.722000      0.538984E-02
   0.737860      0.569412E-02
   0.753764      0.601849E-02
   0.769713      0.636209E-02
   0.785716      0.672353E-02
   0.801781      0.710114E-02
   0.817844      0.749102E-02
   0.833762      0.788706E-02
   0.849459      0.829300E-02
   0.865045      0.871126E-02
   0.880687      0.912731E-02
   0.896346      0.951734E-02
   0.911823      0.985315E-02
   0.927022      0.101323E-01
   0.941901      0.103340E-01
   0.956254      0.102141E-01
   0.969615      0.100909E-01
   0.981554      0.100551E-01
   0.992001      0.100533E-01
    1.00000      0.100433E-01
    1.00010      0.101767E-01
    1.00824      0.104443E-01
    1.01756      0.107298E-01
    1.02820      0.111093E-01
    1.04035      0.116737E-01
    1.05422      0.123095E-01
    1.07005      0.126502E-01
    1.08810      0.129147E-01
    1.10869      0.130875E-01
    1.13218      0.131602E-01
    1.15896      0.131354E-01
    1.18949      0.130271E-01
    1.22430      0.128575E-01
    1.26398      0.126517E-01
    1.30920      0.124315E-01
    1.36074      0.122128E-01
    1.41947      0.120050E-01
