#  nplx                                            
#  alpha =  17.7500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           cd
   0.660202E-01  0.338373E-06
   0.549847E-01  0.138534E-04
   0.453829E-01  0.549959E-04
   0.372956E-01  0.152222E-03
   0.306121E-01  0.324557E-03
   0.250776E-01  0.634231E-03
   0.204428E-01  0.114123E-02
   0.165288E-01  0.191918E-02
   0.131949E-01  0.316304E-02
   0.103454E-01  0.506084E-02
   0.790888E-02  0.763458E-02
   0.580896E-02  0.887555E-02
   0.393115E-02  0.245377E-01
   0.242996E-02  0.376540E-01
   0.138466E-02  0.275285E-01
   0.664648E-03  0.327388E-01
   0.212382E-03  0.371529E-01
   0.117708E-04  0.378079E-01
   0.565188E-04  0.286494E-01
   0.317970E-03  0.207841E-01
   0.755058E-03  0.169713E-01
   0.130831E-02  0.187417E-01
   0.198590E-02  0.346686E-01
   0.291395E-02  0.392369E-01
   0.423739E-02  0.208649E-01
   0.591431E-02  0.104355    
   0.791212E-02  0.115188    
   0.103153E-01  0.985592E-01
   0.131861E-01  0.786352E-01
   0.165943E-01  0.624869E-01
   0.206617E-01  0.492967E-01
   0.255752E-01  0.391974E-01
   0.315162E-01  0.325935E-01
   0.386292E-01  0.272706E-01
   0.470258E-01  0.226659E-01
   0.569498E-01  0.188071E-01
   0.686267E-01  0.158041E-01
   0.818681E-01  0.135355E-01
   0.960868E-01  0.118167E-01
   0.110767      0.105147E-01
   0.125637      0.947438E-02
   0.140644      0.862265E-02
   0.155765      0.792067E-02
   0.170952      0.733364E-02
   0.186175      0.683139E-02
   0.201440      0.639186E-02
   0.216772      0.600333E-02
   0.232186      0.565614E-02
   0.247692      0.534412E-02
   0.263305      0.506431E-02
   0.279057      0.481296E-02
   0.294967      0.458833E-02
   0.310984      0.439085E-02
   0.326979      0.422250E-02
   0.342843      0.407207E-02
   0.358597      0.392942E-02
   0.374374      0.378717E-02
   0.390307      0.365218E-02
   0.406411      0.353001E-02
   0.422570      0.342452E-02
   0.438643      0.332944E-02
   0.454568      0.324043E-02
   0.470358      0.315433E-02
   0.486068      0.307041E-02
   0.501767      0.298752E-02
   0.517536      0.290445E-02
   0.533429      0.282421E-02
   0.549421      0.274955E-02
   0.565403      0.268287E-02
   0.581255      0.262091E-02
   0.596938      0.256067E-02
   0.612498      0.250008E-02
   0.628014      0.243995E-02
   0.643544      0.238141E-02
   0.659119      0.232536E-02
   0.674750      0.227330E-02
   0.690441      0.222655E-02
   0.706192      0.218607E-02
   0.722000      0.215254E-02
   0.737860      0.212657E-02
   0.753764      0.210864E-02
   0.769713      0.209918E-02
   0.785716      0.209850E-02
   0.801781      0.210692E-02
   0.817844      0.212468E-02
   0.833762      0.215188E-02
   0.849459      0.218982E-02
   0.865045      0.224094E-02
   0.880687      0.230670E-02
   0.896346      0.238721E-02
   0.911823      0.247966E-02
   0.927022      0.258832E-02
   0.941901      0.271520E-02
   0.956254      0.289294E-02
   0.969615      0.308158E-02
   0.981554      0.325765E-02
   0.992001      0.341989E-02
    1.00000      0.356521E-02
    1.00010      0.694236E-02
    1.00824      0.695142E-02
    1.01756      0.699541E-02
    1.02820      0.699596E-02
    1.04035      0.690386E-02
    1.05422      0.672592E-02
    1.07005      0.655419E-02
    1.08810      0.632375E-02
    1.10869      0.602953E-02
    1.13218      0.567040E-02
    1.15896      0.525049E-02
    1.18949      0.477972E-02
    1.22430      0.427328E-02
    1.26398      0.375007E-02
    1.30920      0.323000E-02
    1.36074      0.273163E-02
    1.41947      0.227005E-02
    1.48639      0.185568E-02
    1.56263      0.149391E-02
    1.64948      0.118131E-02
    1.74842      0.914600E-03
    1.86112      0.693928E-03
    1.98949      0.515640E-03

   0.785577E-01  0.332755E-05
   0.926308E-01  0.124514E-04
   0.107465      0.262512E-04
   0.122307      0.378550E-04
   0.137271      0.496279E-04
   0.152613      0.581643E-04
   0.168291      0.667385E-04
   0.184137      0.741081E-04
   0.200054      0.835539E-04
   0.215980      0.930017E-04
   0.231804      0.102618E-03
   0.247390      0.112043E-03
   0.262727      0.120074E-03
   0.277956      0.124302E-03
   0.293276      0.127087E-03
   0.308765      0.130769E-03
   0.324336      0.137163E-03
   0.339822      0.143580E-03
   0.355136      0.148574E-03
   0.370290      0.151676E-03
   0.385343      0.153482E-03
   0.400346      0.154032E-03
   0.415336      0.152191E-03
   0.430347      0.148885E-03
   0.445413      0.144993E-03
   0.460574      0.140013E-03
   0.475874      0.134370E-03
   0.491331      0.129156E-03
   0.506925      0.125121E-03
   0.522600      0.122448E-03
   0.538307      0.119729E-03
   0.554035      0.116634E-03
   0.569808      0.113059E-03
   0.585653      0.109511E-03
   0.601575      0.106171E-03
   0.617558      0.103152E-03
   0.633585      0.100468E-03
   0.649652      0.983288E-04
   0.665765      0.968401E-04
   0.681900      0.951895E-04
   0.697978      0.924920E-04
   0.713892      0.888991E-04
   0.729624      0.862471E-04
   0.745273      0.859553E-04
   0.760987      0.876244E-04
   0.776802      0.892182E-04
   0.792594      0.889604E-04
   0.808234      0.884276E-04
   0.823785      0.898539E-04
   0.839421      0.934825E-04
   0.855078      0.950246E-04
   0.870348      0.913612E-04
   0.884926      0.946092E-04
   0.898848      0.124088E-03
   0.912397      0.948154E-04
   0.926204      0.106498E-03
   0.940666      0.136305E-03
   0.955237      0.156808E-03
   0.968925      0.187249E-03
   0.981141      0.242629E-03
   0.991821      0.404304E-03
    1.00000      0.265045E-03
    1.00010      0.694236E-02
    1.00824      0.695142E-02
    1.01756      0.699541E-02
    1.02820      0.699596E-02
    1.04035      0.690386E-02
    1.05422      0.672592E-02
    1.07005      0.655419E-02
    1.08810      0.632375E-02
    1.10869      0.602953E-02
    1.13218      0.567040E-02
    1.15896      0.525049E-02
    1.18949      0.477972E-02
    1.22430      0.427328E-02
    1.26398      0.375007E-02
    1.30920      0.323000E-02
    1.36074      0.273163E-02
