#  nplx                                            
#  alpha =  17.7500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           ue
   0.660202E-01  0.223635E-01
   0.549847E-01  0.128806    
   0.453829E-01  0.248384    
   0.372956E-01  0.381750    
   0.306121E-01  0.528512    
   0.250776E-01  0.689343    
   0.204428E-01  0.869667    
   0.165288E-01   1.06634    
   0.131949E-01   1.28717    
   0.103454E-01   1.53644    
   0.790888E-02   1.80534    
   0.580896E-02   2.01540    
   0.393115E-02   2.53129    
   0.242996E-02   3.13966    
   0.138466E-02   3.29140    
   0.664648E-03   3.44725    
   0.212382E-03   3.66174    
   0.117708E-04   3.82526    
   0.565188E-04   3.82419    
   0.317970E-03   3.72463    
   0.755058E-03   3.63511    
   0.130831E-02   3.64787    
   0.198590E-02   3.90495    
   0.291395E-02   4.14451    
   0.423739E-02   4.02539    
   0.591431E-02   3.91820    
   0.791212E-02   3.84732    
   0.103153E-01   3.72790    
   0.131861E-01   3.56726    
   0.165943E-01   3.36706    
   0.206617E-01   3.13192    
   0.255752E-01   2.88798    
   0.315162E-01   2.70550    
   0.386292E-01   2.55825    
   0.470258E-01   2.41698    
   0.569498E-01   2.27569    
   0.686267E-01   2.14840    
   0.818681E-01   2.04501    
   0.960868E-01   1.96506    
   0.110767       1.90539    
   0.125637       1.85523    
   0.140644       1.81091    
   0.155765       1.77182    
   0.170952       1.73690    
   0.186175       1.70475    
   0.201440       1.67428    
   0.216772       1.64522    
   0.232186       1.61722    
   0.247692       1.59018    
   0.263305       1.56436    
   0.279057       1.53983    
   0.294967       1.51696    
   0.310984       1.49647    
   0.326979       1.47938    
   0.342843       1.46404    
   0.358597       1.44867    
   0.374374       1.43184    
   0.390307       1.41499    
   0.406411       1.39957    
   0.422570       1.38682    
   0.438643       1.37554    
   0.454568       1.36478    
   0.470358       1.35385    
   0.486068       1.34257    
   0.501767       1.33066    
   0.517536       1.31774    
   0.533429       1.30456    
   0.549421       1.29195    
   0.565403       1.28081    
   0.581255       1.27027    
   0.596938       1.25938    
   0.612498       1.24731    
   0.628014       1.23414    
   0.643544       1.21998    
   0.659119       1.20485    
   0.674750       1.18902    
   0.690441       1.17277    
   0.706192       1.15632    
   0.722000       1.13981    
   0.737860       1.12336    
   0.753764       1.10712    
   0.769713       1.09121    
   0.785716       1.07575    
   0.801781       1.06084    
   0.817844       1.04665    
   0.833762       1.03334    
   0.849459       1.02076    
   0.865045       1.00880    
   0.880687      0.997867    
   0.896346      0.988427    
   0.911823      0.980911    
   0.927022      0.975099    
   0.941901      0.971178    
   0.956254      0.973388    
   0.969615      0.975558    
   0.981554      0.976161    
   0.992001      0.976189    
    1.00000      0.976343    
    1.00010      0.976343    
    1.00824      0.972298    
    1.01756      0.967901    
    1.02820      0.962016    
    1.04035      0.953252    
    1.05422      0.943406    
    1.07005      0.938095    
    1.08810      0.933890    
    1.10869      0.931069    
    1.13218      0.929841    
    1.15896      0.930277    
    1.18949      0.932269    
    1.22430      0.935544    
    1.26398      0.939724    
    1.30920      0.944424    
    1.36074      0.949319    
    1.41947      0.954178    
    1.48639      0.958856    
    1.56263      0.963272    
    1.64948      0.967384    
    1.74842      0.971175    
    1.86112      0.974628    
    1.98949      0.978951    

   0.785577E-01  0.701022E-01
   0.926308E-01  0.149655    
   0.107465      0.219210    
   0.122307      0.278268    
   0.137271      0.327176    
   0.152613      0.369531    
   0.168291      0.406695    
   0.184137      0.440208    
   0.200054      0.472677    
   0.215980      0.504336    
   0.231804      0.534773    
   0.247390      0.563735    
   0.262727      0.590545    
   0.277956      0.613707    
   0.293276      0.633908    
   0.308765      0.652880    
   0.324336      0.672395    
   0.339822      0.691866    
   0.355136      0.710280    
   0.370290      0.726986    
   0.385343      0.741990    
   0.400346      0.755302    
   0.415336      0.766366    
   0.430347      0.775320    
   0.445413      0.782586    
   0.460574      0.788085    
   0.475874      0.792002    
   0.491331      0.794961    
   0.506925      0.797654    
   0.522600      0.800563    
   0.538307      0.803222    
   0.554035      0.805398    
   0.569808      0.806930    
   0.585653      0.808025    
   0.601575      0.808825    
   0.617558      0.809464    
   0.633585      0.810034    
   0.649652      0.810745    
   0.665765      0.811777    
   0.681900      0.812692    
   0.697978      0.812811    
   0.713892      0.811983    
   0.729624      0.811365    
   0.745273      0.812247    
   0.760987      0.814720    
   0.776802      0.817566    
   0.792594      0.819471    
   0.808234      0.821197    
   0.823785      0.824263    
   0.839421      0.829078    
   0.855078      0.832998    
   0.870348      0.833528    
   0.884926      0.838055    
   0.898848      0.858127    
   0.912397      0.846554    
   0.926204      0.856292    
   0.940666      0.876799    
   0.955237      0.894485    
   0.968925      0.917180    
   0.981141      0.949521    
   0.991821       1.01316    
    1.00000      0.976343    
    1.00010      0.976343    
    1.00824      0.972298    
    1.01756      0.967901    
    1.02820      0.962016    
    1.04035      0.953252    
    1.05422      0.943406    
    1.07005      0.938095    
    1.08810      0.933890    
    1.10869      0.931069    
    1.13218      0.929841    
    1.15896      0.930277    
    1.18949      0.932269    
    1.22430      0.935544    
    1.26398      0.939724    
    1.30920      0.944424    
    1.36074      0.949319    
    1.41947      0.954178    
    1.48639      0.958856    
    1.56263      0.963272    
    1.64948      0.967384    
    1.74842      0.971175    
    1.86112      0.974628    
    1.98949      0.978951    

