#  nplx                                            
#  alpha =  17.7500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           hk
   0.660202E-01   2.22951    
   0.549847E-01   2.21457    
   0.453829E-01   2.22502    
   0.372956E-01   2.18298    
   0.306121E-01   2.19641    
   0.250776E-01   2.17210    
   0.204428E-01   2.17014    
   0.165288E-01   2.16741    
   0.131949E-01   2.15597    
   0.103454E-01   2.15292    
   0.790888E-02   2.16205    
   0.580896E-02   2.25326    
   0.393115E-02   1.99222    
   0.242996E-02   2.17357    
   0.138466E-02   2.55798    
   0.664648E-03   2.26852    
   0.212382E-03   2.24417    
   0.117708E-04   2.29536    
   0.565188E-04   2.59764    
   0.317970E-03   3.21221    
   0.755058E-03   3.86365    
   0.130831E-02   2.56683    
   0.198590E-02   2.04700    
   0.291395E-02   2.09629    
   0.423739E-02   2.90903    
   0.591431E-02   3.06716    
   0.791212E-02   1.69109    
   0.103153E-01   1.46367    
   0.131861E-01   1.46125    
   0.165943E-01   1.49362    
   0.206617E-01   1.53862    
   0.255752E-01   1.59039    
   0.315162E-01   1.58971    
   0.386292E-01   1.56830    
   0.470258E-01   1.56144    
   0.569498E-01   1.57270    
   0.686267E-01   1.58310    
   0.818681E-01   1.57977    
   0.960868E-01   1.56469    
   0.110767       1.54178    
   0.125637       1.52297    
   0.140644       1.50924    
   0.155765       1.49843    
   0.170952       1.48992    
   0.186175       1.48396    
   0.201440       1.48068    
   0.216772       1.47952    
   0.232186       1.48024    
   0.247692       1.48250    
   0.263305       1.48559    
   0.279057       1.48905    
   0.294967       1.49209    
   0.310984       1.49352    
   0.326979       1.49175    
   0.342843       1.48917    
   0.358597       1.48814    
   0.374374       1.49049    
   0.390307       1.49386    
   0.406411       1.49596    
   0.422570       1.49485    
   0.438643       1.49249    
   0.454568       1.49031    
   0.470358       1.48935    
   0.486068       1.48975    
   0.501767       1.49185    
   0.517536       1.49625    
   0.533429       1.50170    
   0.549421       1.50684    
   0.565403       1.51010    
   0.581255       1.51303    
   0.596938       1.51736    
   0.612498       1.52465    
   0.628014       1.53498    
   0.643544       1.54834    
   0.659119       1.56515    
   0.674750       1.58535    
   0.690441       1.60885    
   0.706192       1.63572    
   0.722000       1.66623    
   0.737860       1.70073    
   0.753764       1.73961    
   0.769713       1.78335    
   0.785716       1.83246    
   0.801781       1.88765    
   0.817844       1.94957    
   0.833762       2.01877    
   0.849459       2.09927    
   0.865045       2.19667    
   0.880687       2.31338    
   0.896346       2.44951    
   0.911823       2.59924    
   0.927022       2.77548    
   0.941901       2.98380    
   0.956254       3.28842    
   0.969615       3.61037    
   0.981554       3.90623    
   0.992001       4.17936    
    1.00000       4.47348    
    1.00010       4.44140    
    1.00824       4.06771    
    1.01756       3.82904    
    1.02820       3.56790    
    1.04035       3.26284    
    1.05422       2.95337    
    1.07005       2.71663    
    1.08810       2.49611    
    1.10869       2.29309    
    1.13218       2.10884    
    1.15896       1.94424    
    1.18949       1.79941    
    1.22430       1.67366    
    1.26398       1.56560    
    1.30920       1.47337    
    1.36074       1.39497    
    1.41947       1.32848    
    1.48639       1.27218    
    1.56263       1.22458    
    1.64948       1.18448    
    1.74842       1.15095    
    1.86112       1.12320    
    1.98949       1.10011    

   0.785577E-01   2.22951    
   0.926308E-01   2.27486    
   0.107465       2.21799    
   0.122307       2.28005    
   0.137271       2.25730    
   0.152613       2.28398    
   0.168291       2.27747    
   0.184137       2.28233    
   0.200054       2.26602    
   0.215980       2.26235    
   0.231804       2.25983    
   0.247390       2.25929    
   0.262727       2.26545    
   0.277956       2.28673    
   0.293276       2.30271    
   0.308765       2.30403    
   0.324336       2.28885    
   0.339822       2.28033    
   0.355136       2.28201    
   0.370290       2.29145    
   0.385343       2.30290    
   0.400346       2.31607    
   0.415336       2.33766    
   0.430347       2.36179    
   0.445413       2.38408    
   0.460574       2.41021    
   0.475874       2.43843    
   0.491331       2.46054    
   0.506925       2.47037    
   0.522600       2.46745    
   0.538307       2.46791    
   0.554035       2.47452    
   0.569808       2.48788    
   0.585653       2.50172    
   0.601575       2.51385    
   0.617558       2.52289    
   0.633585       2.52867    
   0.649652       2.52810    
   0.665765       2.51988    
   0.681900       2.51685    
   0.697978       2.53232    
   0.713892       2.56502    
   0.729624       2.58209    
   0.745273       2.55478    
   0.760987       2.49980    
   0.776802       2.45772    
   0.792594       2.44888    
   0.808234       2.44535    
   0.823785       2.41602    
   0.839421       2.36561    
   0.855078       2.34728    
   0.870348       2.38935    
   0.884926       2.34875    
   0.898848       2.12682    
   0.912397       2.37127    
   0.926204       2.25854    
   0.940666       2.08647    
   0.955237       2.02471    
   0.968925       1.95624    
   0.981141       1.86566    
   0.991821       1.71134    
    1.00000       2.02548    
    1.00010       4.44140    
    1.00824       4.06771    
    1.01756       3.82904    
    1.02820       3.56790    
    1.04035       3.26284    
    1.05422       2.95337    
    1.07005       2.71663    
    1.08810       2.49611    
    1.10869       2.29309    
    1.13218       2.10884    
    1.15896       1.94424    
    1.18949       1.79941    
    1.22430       1.67366    
    1.26398       1.56560    
    1.30920       1.47337    
    1.36074       1.39497    
    1.41947       1.32848    
    1.48639       1.27218    
    1.56263       1.22458    
    1.64948       1.18448    
    1.74842       1.15095    
    1.86112       1.12320    
    1.98949       1.10011    

