#  nplx                                            
#  alpha =  17.7500
#  Mach  =   0.0000
#  Reyn  =  8000000
#  Ncrit =   9.0000
#
#    x           cf
   0.660202E-01  0.526524E-04
   0.549847E-01  0.377858E-03
   0.453829E-01  0.772584E-03
   0.372956E-01  0.142848E-02
   0.306121E-01  0.218219E-02
   0.250776E-01  0.331696E-02
   0.204428E-01  0.473624E-02
   0.165288E-01  0.650589E-02
   0.131949E-01  0.893972E-02
   0.103454E-01  0.120029E-01
   0.790888E-02  0.153329E-01
   0.580896E-02  0.150721E-01
   0.393115E-02  0.377403E-01
   0.242996E-02  0.432001E-01
   0.138466E-02  0.214583E-01
   0.664648E-03  0.321488E-01
   0.212382E-03  0.349467E-01
   0.117708E-04  0.327884E-01
   0.565188E-04  0.183240E-01
   0.317970E-03  0.477712E-02
   0.755058E-03 -0.131712E-03
   0.130831E-02  0.130444E-01
   0.198590E-02  0.339536E-01
   0.291395E-02  0.354824E-01
   0.423739E-02  0.805230E-02
   0.591431E-02  0.490353E-02
   0.791212E-02  0.442488E-01
   0.103153E-01  0.550908E-01
   0.131861E-01  0.462102E-01
   0.165943E-01  0.358646E-01
   0.206617E-01  0.265137E-01
   0.255752E-01  0.190821E-01
   0.315162E-01  0.157744E-01
   0.386292E-01  0.139084E-01
   0.470258E-01  0.119636E-01
   0.569498E-01  0.990350E-02
   0.686267E-01  0.828472E-02
   0.818681E-01  0.726822E-02
   0.960868E-01  0.668393E-02
   0.110767      0.638930E-02
   0.125637      0.613543E-02
   0.140644      0.588113E-02
   0.155765      0.564598E-02
   0.170952      0.542755E-02
   0.186175      0.521257E-02
   0.201440      0.499213E-02
   0.216772      0.477091E-02
   0.232186      0.454947E-02
   0.247692      0.433069E-02
   0.263305      0.412229E-02
   0.279057      0.392770E-02
   0.294967      0.375368E-02
   0.310984      0.361077E-02
   0.326979      0.351253E-02
   0.342843      0.343161E-02
   0.358597      0.334255E-02
   0.374374      0.322700E-02
   0.390307      0.310886E-02
   0.406411      0.300877E-02
   0.422570      0.294239E-02
   0.438643      0.289133E-02
   0.454568      0.284271E-02
   0.470358      0.278758E-02
   0.486068      0.272482E-02
   0.501767      0.265175E-02
   0.517536      0.256453E-02
   0.533429      0.247370E-02
   0.549421      0.238961E-02
   0.565403      0.232245E-02
   0.581255      0.226091E-02
   0.596938      0.219357E-02
   0.612498      0.211150E-02
   0.628014      0.201630E-02
   0.643544      0.191040E-02
   0.659119      0.179451E-02
   0.674750      0.167208E-02
   0.690441      0.154645E-02
   0.706192      0.142010E-02
   0.722000      0.129445E-02
   0.737860      0.117071E-02
   0.753764      0.105003E-02
   0.769713      0.933397E-03
   0.785716      0.821690E-03
   0.801781      0.715487E-03
   0.817844      0.615614E-03
   0.833762      0.522897E-03
   0.849459      0.434674E-03
   0.865045      0.349193E-03
   0.880687      0.268989E-03
   0.896346      0.197016E-03
   0.911823      0.136169E-03
   0.927022      0.806546E-04
   0.941901      0.284117E-04
   0.956254      0.134835E-05
   0.969615      0.436453E-06
   0.981554     -0.122247E-06
