#      x          Cp  
     1.00000    0.04675
     0.99200    0.04705
     0.98155    0.04711
     0.96962    0.04829
     0.95625    0.05252
     0.94190    0.05681
     0.92702    0.04918
     0.91182    0.03781
     0.89635    0.02301
     0.88069    0.00426
     0.86505   -0.01769
     0.84946   -0.04194
     0.83376   -0.06780
     0.81784   -0.09547
     0.80178   -0.12539
     0.78572   -0.15723
     0.76971   -0.19073
     0.75376   -0.22572
     0.73786   -0.26194
     0.72200   -0.29917
     0.70619   -0.33708
     0.69044   -0.37540
     0.67475   -0.41378
     0.65912   -0.45167
     0.64354   -0.48835
     0.62801   -0.52309
     0.61250   -0.55579
     0.59694   -0.58603
     0.58125   -0.61358
     0.56540   -0.64047
     0.54942   -0.66913
     0.53343   -0.70187
     0.51754   -0.73643
     0.50177   -0.77067
     0.48607   -0.80249
     0.47036   -0.83290
     0.45457   -0.86263
     0.43864   -0.89210
     0.42257   -0.92328
     0.40641   -0.95880
     0.39031   -1.00220
     0.37437   -1.05016
     0.35860   -1.09866
     0.34284   -1.14341
     0.32698   -1.18856
     0.31098   -1.23941
     0.29497   -1.30117
     0.27906   -1.37108
     0.26331   -1.44721
     0.24769   -1.52867
     0.23219   -1.61540
     0.21677   -1.70675
     0.20144   -1.80323
     0.18618   -1.90619
     0.17095   -2.01681
     0.15576   -2.13933
     0.14064   -2.27938
     0.12564   -2.44188
     0.11077   -2.63050
     0.09609   -2.86146
     0.08187   -3.18206
     0.06863   -3.61563
     0.05695   -4.17877
     0.04703   -4.84181
     0.03863   -5.54462
     0.03152   -6.31973
     0.02558   -7.34040
     0.02066   -8.80895
     0.01659  -10.33711
     0.01319  -11.72531
     0.01032  -12.89720
     0.00791  -13.80186
     0.00591  -14.35231
     0.00424  -15.20380
     0.00291  -16.17693
     0.00199  -14.24863
     0.00131  -12.30695
     0.00076  -12.21406
     0.00032  -12.87284
     0.00006  -13.62440
     0.00001  -13.63262
     0.00021  -12.40836
     0.00066  -10.88354
     0.00138   -9.83328
     0.00243   -8.85746
     0.00393   -5.40744
     0.00581   -3.06183
     0.00791   -2.25924
     0.01035   -1.36065
     0.01319   -0.65682
     0.01653   -0.13708
     0.02044    0.24368
     0.02508    0.52481
     0.03061    0.72068
     0.03730    0.85427
     0.04538    0.93831
     0.05498    0.98341
     0.06602    0.99950
     0.07856    0.99509
     0.09263    0.97760
     0.10747    0.95195
     0.12231    0.92257
     0.13727    0.89296
     0.15261    0.86345
     0.16829    0.83460
     0.18414    0.80622
     0.20005    0.77658
     0.21598    0.74564
     0.23180    0.71402
     0.24739    0.68220
     0.26273    0.65126
     0.27796    0.62336
     0.29328    0.59816
     0.30877    0.57375
     0.32434    0.54788
     0.33982    0.52132
     0.35514    0.49550
     0.37029    0.47149
     0.38534    0.44945
     0.40035    0.42952
     0.41534    0.41268
     0.43035    0.39888
     0.44541    0.38756
     0.46057    0.37892
     0.47587    0.37273
     0.49133    0.36804
     0.50692    0.36375
     0.52260    0.35910
     0.53831    0.35483
     0.55404    0.35133
     0.56981    0.34886
     0.58565    0.34710
     0.60157    0.34580
     0.61756    0.34477
     0.63358    0.34384
     0.64965    0.34269
     0.66577    0.34102
     0.68190    0.33953
     0.69798    0.33934
     0.71389    0.34068
     0.72962    0.34169
     0.74527    0.34026
     0.76099    0.33623
     0.77680    0.33159
     0.79259    0.32847
     0.80823    0.32564
     0.82378    0.32059
     0.83942    0.31263
     0.85508    0.30611
     0.87035    0.30523
     0.88493    0.29766
     0.89885    0.26362
     0.91240    0.28335
     0.92620    0.26676
     0.94067    0.23122
     0.95524    0.19990
     0.96893    0.15878
     0.98114    0.09841
     0.99182   -0.02650
     1.00000    0.04675
