#  rg14                                            
#  alpha =  -9.7500
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   9.0000
#
#    x           rt
   0.948296E-02  0.100303    
   0.144271E-01   3.49669    
   0.219958E-01   7.63727    
   0.325732E-01   13.0486    
   0.433068E-01   17.8961    
   0.548143E-01   22.6278    
   0.671752E-01   27.2994    
   0.797683E-01   31.7700    
   0.924723E-01   35.9908    
   0.105383       40.0760    
   0.118478       44.0053    
   0.131681       47.8095    
   0.144952       51.4829    
   0.158289       55.0417    
   0.171689       58.5094    
   0.185144       61.8798    
   0.198642       65.1689    
   0.212176       68.3822    
   0.225740       71.5160    
   0.239329       74.5848    
   0.252942       77.5942    
   0.266577       80.5442    
   0.280233       83.4384    
   0.293906       86.2757    
   0.307592       89.0459    
   0.321285       91.7609    
   0.334983       94.4370    
   0.348688       97.0882    
   0.362403       99.7186    
   0.376131       102.316    
   0.389871       104.868    
   0.403618       107.358    
   0.417368       109.798    
   0.431117       112.200    
   0.444865       114.577    
   0.458615       116.936    
   0.472368       119.273    
   0.486125       121.584    
   0.499887       123.863    
   0.513651       126.110    
   0.527417       128.327    
   0.541183       130.512    
   0.554949       132.666    
   0.568715       134.789    
   0.582481       136.885    
   0.596247       138.952    
   0.610012       140.992    
   0.623776       143.006    
   0.637539       144.995    
   0.651301       146.958    
   0.665064       148.895    
   0.678827       150.803    
   0.692589       152.676    
   0.706350       154.511    
   0.720107       156.311    
   0.733862       158.080    
   0.747614       159.822    
   0.761366       161.531    
   0.775118       163.200    
   0.788869       164.819    
   0.802619       166.379    
   0.816366       167.876    
   0.830111       169.301    
   0.843851       170.648    
   0.857585       171.921    
   0.871310       173.115    
   0.885022       174.223    
   0.898731       175.226    
   0.912448       176.104    
   0.926150       176.828    
   0.939761       177.392    
   0.953220       178.447    
   0.966545       180.747    
   0.979696       185.141    
   0.991883       190.826    
    1.00000       201.360    
    1.00010       3775.09    
    1.00828       3831.60    
    1.01761       3890.78    
    1.02825       3958.60    
    1.04039       4036.95    
    1.05425       4128.22    
    1.07005       4235.45    
    1.08808       4362.99    
    1.10865       4517.36    
    1.13211       4707.48    
    1.15887       4917.69    
    1.18939       5092.55    
    1.22421       5256.97    
    1.26393       5405.28    
    1.30922       5532.01    
    1.36089       5632.63    
    1.41982       5704.35    
    1.48702       5746.77    
    1.56367       5762.10    
    1.65109       5754.45    
    1.75078       5727.46    
    1.86448       5680.87    
    1.99415       5443.45    

   0.545585E-02   3.18676    
   0.257784E-02   5.46708    
   0.107160E-02   7.21729    
   0.290388E-03   8.24146    
   0.289935E-05   10.0099    
   0.208859E-03   13.7350    
   0.100576E-02   19.5143    
   0.258463E-02   23.7022    
   0.518992E-02   26.3457    
   0.910033E-02   28.4774    
   0.148583E-01   30.5980    
   0.227188E-01   33.1450    
   0.331495E-01   36.5338    
   0.453129E-01   40.5937    
   0.578637E-01   44.7165    
   0.707573E-01   48.8975    
   0.840123E-01   53.2140    
   0.974272E-01   236.306    
   0.110894       352.288    
   0.124425       446.565    
   0.138037       530.691    
   0.151707       608.985    
   0.165406       683.039    
   0.179119       753.822    
   0.192850       822.012    
   0.206604       888.069    
   0.220382       952.299    
   0.234179       1014.91    
   0.247987       1076.08    
   0.261802       1135.93    
   0.275624       1194.60    
   0.289451       1252.19    
   0.303283       1308.81    
   0.317120       1364.52    
   0.330962       1419.39    
   0.344807       1473.50    
   0.358656       1526.88    
   0.372509       1579.60    
   0.386366       1631.69    
   0.400227       1683.20    
   0.414090       1734.14    
   0.427953       1784.55    
   0.441814       1834.45    
   0.455674       1883.85    
   0.469535       1932.80    
   0.483398       1981.31    
   0.497265       2029.41    
   0.511134       2077.12    
   0.525004       2124.45    
   0.538868       2171.39    
   0.552726       2217.94    
   0.566579       2264.12    
   0.580429       2309.96    
   0.594283       2355.47    
   0.608142       2400.68    
   0.622003       2445.60    
   0.635862       2490.20    
   0.649712       2534.48    
   0.663545       2578.41    
   0.677356       2621.96    
   0.691142       2665.14    
   0.704903       2707.92    
   0.718645       2750.32    
   0.732380       2792.39    
   0.746124       2834.17    
   0.759885       2875.73    
   0.773671       2917.09    
   0.787482       2958.28    
   0.801314       2999.32    
   0.815157       3040.22    
   0.828997       3080.94    
   0.842821       3121.48    
   0.856624       3161.84    
   0.870406       3202.02    
   0.884170       3242.06    
   0.897922       3282.00    
   0.911665       3321.84    
   0.925390       3361.59    
   0.939083       3401.19    
   0.952770       3440.71    
   0.966444       3480.10    
   0.979708       3518.10    
   0.991799       3552.57    
    1.00000       3573.73    
    1.00010       3775.09    
    1.00828       3831.60    
    1.01761       3890.78    
    1.02825       3958.60    
    1.04039       4036.95    
    1.05425       4128.22    
    1.07005       4235.45    
    1.08808       4362.99    
    1.10865       4517.36    
    1.13211       4707.48    
    1.15887       4917.69    
    1.18939       5092.55    
    1.22421       5256.97    
    1.26393       5405.28    
    1.30922       5532.01    
    1.36089       5632.63    
    1.41982       5704.35    
    1.48702       5746.77    
    1.56367       5762.10    
    1.65109       5754.45    
    1.75078       5727.46    
    1.86448       5680.87    
    1.99415       5443.45    

