#  rg14                                            
#  alpha =  -9.7500
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   9.0000
#
#    x           dB
   0.545585E-02  0.298484E-03
   0.257784E-02  0.214711E-03
   0.107160E-02  0.179030E-03
   0.290388E-03  0.140822E-03
   0.289935E-05  0.141675E-03
   0.208859E-03  0.205543E-03
   0.100576E-02  0.446630E-03
   0.258463E-02  0.116481E-02
   0.518992E-02  0.241446E-02
   0.910033E-02  0.406706E-02
   0.148583E-01  0.643221E-02
   0.227188E-01  0.951300E-02
   0.331495E-01  0.133225E-01
   0.453129E-01  0.173631E-01
   0.578637E-01  0.211793E-01
   0.707573E-01  0.247314E-01
   0.840123E-01  0.279634E-01
   0.974272E-01  0.316680E-01
   0.110894      0.349514E-01
   0.124425      0.380331E-01
   0.138037      0.409905E-01
   0.151707      0.438462E-01
   0.165406      0.466164E-01
   0.179119      0.493132E-01
   0.192850      0.519465E-01
   0.206604      0.545234E-01
   0.220382      0.570470E-01
   0.234179      0.595193E-01
   0.247987      0.619440E-01
   0.261802      0.643243E-01
   0.275624      0.666624E-01
   0.289451      0.689622E-01
   0.303283      0.712267E-01
   0.317120      0.734584E-01
   0.330962      0.756594E-01
   0.344807      0.778319E-01
   0.358656      0.799775E-01
   0.372509      0.820976E-01
   0.386366      0.841936E-01
   0.400227      0.862667E-01
   0.414090      0.883176E-01
   0.427953      0.903473E-01
   0.441814      0.923579E-01
   0.455674      0.943515E-01
   0.469535      0.963302E-01
   0.483398      0.982955E-01
   0.497265      0.100248    
   0.511134      0.102187    
   0.525004      0.104113    
   0.538868      0.106028    
   0.552726      0.107934    
   0.566579      0.109834    
   0.580429      0.111731    
   0.594283      0.113628    
   0.608142      0.115522    
   0.622003      0.117412    
   0.635862      0.119299    
   0.649712      0.121188    
   0.663545      0.123083    
   0.677356      0.124990    
   0.691142      0.126916    
   0.704903      0.128867    
   0.718645      0.130852    
   0.732380      0.132878    
   0.746124      0.134943    
   0.759885      0.137038    
   0.773671      0.139158    
   0.787482      0.141290    
   0.801314      0.143420    
   0.815157      0.145531    
   0.828997      0.147611    
   0.842821      0.149654    
   0.856624      0.151654    
   0.870406      0.153604    
   0.884170      0.155501    
   0.897922      0.157339    
   0.911665      0.159116    
   0.925390      0.160829    
   0.939083      0.162480    
   0.952770      0.164084    
   0.966444      0.165659    
   0.979708      0.167225    
   0.991799      0.168677    
    1.00000      0.170808    
    1.00010      0.176821    
    1.00828      0.172162    
    1.01761      0.170051    
    1.02825      0.168031    
    1.04039      0.165974    
    1.05425      0.163761    
    1.07005      0.161315    
    1.08808      0.158574    
    1.10865      0.155493    
    1.13211      0.152047    
    1.15887      0.148100    
    1.18939      0.143355    
    1.22421      0.137988    
    1.26393      0.132026    
    1.30922      0.125538    
    1.36089      0.118648    
    1.41982      0.111529    
    1.48702      0.104391    
    1.56367      0.974515E-01
    1.65109      0.908974E-01
    1.75078      0.848202E-01
    1.86448      0.791674E-01
    1.99415      0.699241E-01

   0.545585E-02  0.133879E-03
   0.257784E-02  0.986693E-04
   0.107160E-02  0.816137E-04
   0.290388E-03  0.656883E-04
   0.289935E-05  0.629897E-04
   0.208859E-03  0.809486E-04
   0.100576E-02  0.121258E-03
   0.258463E-02  0.151997E-03
   0.518992E-02  0.170793E-03
   0.910033E-02  0.185622E-03
   0.148583E-01  0.200176E-03
   0.227188E-01  0.217477E-03
   0.331495E-01  0.240352E-03
   0.453129E-01  0.267676E-03
   0.578637E-01  0.295398E-03
   0.707573E-01  0.323510E-03
   0.840123E-01  0.352542E-03
   0.974272E-01  0.162301E-02
   0.110894      0.247453E-02
   0.124425      0.319032E-02
   0.138037      0.384501E-02
   0.151707      0.446670E-02
   0.165406      0.506493E-02
   0.179119      0.564543E-02
   0.192850      0.621226E-02
   0.206604      0.676810E-02
   0.220382      0.731465E-02
   0.234179      0.785300E-02
   0.247987      0.838394E-02
   0.261802      0.890819E-02
   0.275624      0.942642E-02
   0.289451      0.993923E-02
   0.303283      0.104471E-01
   0.317120      0.109505E-01
   0.330962      0.114497E-01
   0.344807      0.119451E-01
   0.358656      0.124370E-01
   0.372509      0.129257E-01
   0.386366      0.134114E-01
   0.400227      0.138942E-01
   0.414090      0.143744E-01
   0.427953      0.148520E-01
   0.441814      0.153271E-01
   0.455674      0.157998E-01
   0.469535      0.162703E-01
   0.483398      0.167388E-01
   0.497265      0.172054E-01
   0.511134      0.176701E-01
   0.525004      0.181331E-01
   0.538868      0.185941E-01
   0.552726      0.190532E-01
   0.566579      0.195103E-01
   0.580429      0.199657E-01
   0.594283      0.204196E-01
   0.608142      0.208721E-01
   0.622003      0.213231E-01
   0.635862      0.217726E-01
   0.649712      0.222202E-01
   0.663545      0.226658E-01
   0.677356      0.231089E-01
   0.691142      0.235495E-01
   0.704903      0.239873E-01
   0.718645      0.244225E-01
   0.732380      0.248554E-01
   0.746124      0.252865E-01
   0.759885      0.257163E-01
   0.773671      0.261452E-01
   0.787482      0.265733E-01
   0.801314      0.270009E-01
   0.815157      0.274278E-01
   0.828997      0.278540E-01
   0.842821      0.282792E-01
   0.856624      0.287034E-01
   0.870406      0.291268E-01
   0.884170      0.295496E-01
   0.897922      0.299722E-01
   0.911665      0.303948E-01
   0.925390      0.308172E-01
   0.939083      0.312392E-01
   0.952770      0.316612E-01
   0.966444      0.320828E-01
   0.979708      0.324905E-01
   0.991799      0.328610E-01
    1.00000      0.330886E-01
    1.00010      0.349530E-01
    1.00828      0.355649E-01
    1.01761      0.362103E-01
    1.02825      0.369549E-01
    1.04039      0.378217E-01
    1.05425      0.388401E-01
    1.07005      0.400491E-01
    1.08808      0.415044E-01
    1.10865      0.432915E-01
    1.13211      0.455319E-01
    1.15887      0.480612E-01
    1.18939      0.502103E-01
    1.22421      0.522728E-01
    1.26393      0.541718E-01
    1.30922      0.558276E-01
    1.36089      0.571679E-01
    1.41982      0.581408E-01
    1.48702      0.587257E-01
    1.56367      0.589402E-01
    1.65109      0.588319E-01
    1.75078      0.584458E-01
    1.86448      0.577743E-01
    1.99415      0.543541E-01

