#  rg14                                            
#  alpha =  -9.7500
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   9.0000
#
#    x           dT
   0.948296E-02  0.298484E-03
   0.144271E-01  0.416884E-03
   0.219958E-01  0.479164E-03
   0.325732E-01  0.596459E-03
   0.433068E-01  0.687751E-03
   0.548143E-01  0.784902E-03
   0.671752E-01  0.875536E-03
   0.797683E-01  0.966113E-03
   0.924723E-01  0.104937E-02
   0.105383      0.113190E-02
   0.118478      0.121004E-02
   0.131681      0.128696E-02
   0.144952      0.136128E-02
   0.158289      0.143354E-02
   0.171689      0.150486E-02
   0.185144      0.157409E-02
   0.198642      0.164227E-02
   0.212176      0.170938E-02
   0.225740      0.177480E-02
   0.239329      0.183941E-02
   0.252942      0.190334E-02
   0.266577      0.196626E-02
   0.280233      0.202828E-02
   0.293906      0.208910E-02
   0.307592      0.214781E-02
   0.321285      0.220536E-02
   0.334983      0.226289E-02
   0.348688      0.232124E-02
   0.362403      0.238042E-02
   0.376131      0.243917E-02
   0.389871      0.249644E-02
   0.403618      0.255091E-02
   0.417368      0.260363E-02
   0.431117      0.265572E-02
   0.444865      0.270802E-02
   0.458615      0.276091E-02
   0.472368      0.281385E-02
   0.486125      0.286642E-02
   0.499887      0.291814E-02
   0.513651      0.296888E-02
   0.527417      0.301877E-02
   0.541183      0.306776E-02
   0.554949      0.311574E-02
   0.568715      0.316283E-02
   0.582481      0.320915E-02
   0.596247      0.325467E-02
   0.610012      0.329939E-02
   0.623776      0.334338E-02
   0.637539      0.338667E-02
   0.651301      0.342927E-02
   0.665064      0.347101E-02
   0.678827      0.351155E-02
   0.692589      0.355053E-02
   0.706350      0.358762E-02
   0.720107      0.362317E-02
   0.733862      0.365747E-02
   0.747614      0.369078E-02
   0.761366      0.372270E-02
   0.775118      0.375253E-02
   0.788869      0.377950E-02
   0.802619      0.380306E-02
   0.816366      0.382294E-02
   0.830111      0.383850E-02
   0.843851      0.384957E-02
   0.857585      0.385655E-02
   0.871310      0.385943E-02
   0.885022      0.385771E-02
   0.898731      0.385022E-02
   0.912448      0.383573E-02
   0.926150      0.381294E-02
   0.939761      0.378228E-02
   0.953220      0.378921E-02
   0.966545      0.388449E-02
   0.979696      0.414183E-02
   0.991883      0.454993E-02
    1.00000      0.601371E-02
    1.00010      0.176821    
    1.00828      0.172162    
    1.01761      0.170051    
    1.02825      0.168031    
    1.04039      0.165974    
    1.05425      0.163761    
    1.07005      0.161315    
    1.08808      0.158574    
    1.10865      0.155493    
    1.13211      0.152047    
    1.15887      0.148100    
    1.18939      0.143355    
    1.22421      0.137988    
    1.26393      0.132026    
    1.30922      0.125538    
    1.36089      0.118648    
    1.41982      0.111529    
    1.48702      0.104391    
    1.56367      0.974515E-01
    1.65109      0.908974E-01
    1.75078      0.848202E-01
    1.86448      0.791674E-01
    1.99415      0.699241E-01

   0.948296E-02  0.133879E-03
   0.144271E-01  0.186221E-03
   0.219958E-01  0.212921E-03
   0.325732E-01  0.259190E-03
   0.433068E-01  0.300022E-03
   0.548143E-01  0.338830E-03
   0.671752E-01  0.376951E-03
   0.797683E-01  0.413559E-03
   0.924723E-01  0.447890E-03
   0.105383      0.481224E-03
   0.118478      0.513133E-03
   0.131681      0.544099E-03
   0.144952      0.574023E-03
   0.158289      0.603042E-03
   0.171689      0.631433E-03
   0.185144      0.659058E-03
   0.198642      0.686103E-03
   0.212176      0.712615E-03
   0.225740      0.738510E-03
   0.239329      0.763949E-03
   0.252942      0.788989E-03
   0.266577      0.813606E-03
   0.280233      0.837827E-03
   0.293906      0.861615E-03
   0.307592      0.884813E-03
   0.321285      0.907555E-03
   0.334983      0.930040E-03
   0.348688      0.952450E-03
   0.362403      0.974838E-03
   0.376131      0.997043E-03
   0.389871      0.101890E-02
   0.403618      0.104017E-02
   0.417368      0.106096E-02
