#  rg14                                            
#  alpha =  -9.7500
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   9.0000
#
#    x           cd
   0.948296E-02  0.864012E-06
   0.144271E-01  0.388085E-03
   0.219958E-01  0.122899E-02
   0.325732E-01  0.192709E-02
   0.433068E-01  0.234956E-02
   0.548143E-01  0.257105E-02
   0.671752E-01  0.270831E-02
   0.797683E-01  0.275692E-02
   0.924723E-01  0.277495E-02
   0.105383      0.276038E-02
   0.118478      0.273641E-02
   0.131681      0.269923E-02
   0.144952      0.265711E-02
   0.158289      0.261189E-02
   0.171689      0.256311E-02
   0.185144      0.251489E-02
   0.198642      0.246604E-02
   0.212176      0.241731E-02
   0.225740      0.237041E-02
   0.239329      0.232413E-02
   0.252942      0.227856E-02
   0.266577      0.223443E-02
   0.280233      0.219171E-02
   0.293906      0.215085E-02
   0.307592      0.211301E-02
   0.321285      0.207693E-02
   0.334983      0.204128E-02
   0.348688      0.200521E-02
   0.362403      0.196883E-02
   0.376131      0.193350E-02
   0.389871      0.190020E-02
   0.403618      0.187003E-02
   0.417368      0.184193E-02
   0.431117      0.181485E-02
   0.444865      0.178810E-02
   0.458615      0.176139E-02
   0.472368      0.173513E-02
   0.486125      0.170963E-02
   0.499887      0.168521E-02
   0.513651      0.166190E-02
   0.527417      0.163958E-02
   0.541183      0.161823E-02
   0.554949      0.159790E-02
   0.568715      0.157845E-02
   0.582481      0.155979E-02
   0.596247      0.154191E-02
   0.610012      0.152477E-02
   0.623776      0.150831E-02
   0.637539      0.149249E-02
   0.651301      0.147727E-02
   0.665064      0.146273E-02
   0.678827      0.144899E-02
   0.692589      0.143619E-02
   0.706350      0.142448E-02
   0.720107      0.141363E-02
   0.733862      0.140352E-02
   0.747614      0.139400E-02
   0.761366      0.138523E-02
   0.775118      0.137749E-02
   0.788869      0.137110E-02
   0.802619      0.136628E-02
   0.816366      0.136315E-02
   0.830111      0.136199E-02
   0.843851      0.136293E-02
   0.857585      0.136584E-02
   0.871310      0.137079E-02
   0.885022      0.137811E-02
   0.898731      0.138844E-02
   0.912448      0.140259E-02
   0.926150      0.142152E-02
   0.939761      0.144543E-02
   0.953220      0.145076E-02
   0.966545      0.141198E-02
   0.979696      0.130972E-02
   0.991883      0.118609E-02
    1.00000      0.227282E-02
    1.00010      0.315000E-01
    1.00828      0.311200E-01
    1.01761      0.308039E-01
    1.02825      0.304426E-01
    1.04039      0.300203E-01
    1.05425      0.295179E-01
