#  rg14                                            
#  alpha =  -9.7500
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   9.0000
#
#    x           ue
   0.948296E-02  0.749205E-02
   0.144271E-01  0.187772    
   0.219958E-01  0.358690    
   0.325732E-01  0.503440    
   0.433068E-01  0.596493    
   0.548143E-01  0.667821    
   0.671752E-01  0.724215    
   0.797683E-01  0.768209    
   0.924723E-01  0.803563    
   0.105383      0.832795    
   0.118478      0.857582    
   0.131681      0.878691    
   0.144952      0.896879    
   0.158289      0.912734    
   0.171689      0.926614    
   0.185144      0.938912    
   0.198642      0.949841    
   0.212176      0.959595    
   0.225740      0.968383    
   0.239329      0.976306    
   0.252942      0.983464    
   0.266577      0.989965    
   0.280233      0.995891    
   0.293906       1.00133    
   0.307592       1.00638    
   0.321285       1.01108    
   0.334983       1.01541    
   0.348688       1.01935    
   0.362403       1.02292    
   0.376131       1.02619    
   0.389871       1.02923    
   0.403618       1.03213    
   0.417368       1.03488    
   0.431117       1.03749    
   0.444865       1.03992    
   0.458615       1.04217    
   0.472368       1.04425    
   0.486125       1.04620    
   0.499887       1.04803    
   0.513651       1.04977    
   0.527417       1.05142    
   0.541183       1.05300    
   0.554949       1.05451    
   0.568715       1.05596    
   0.582481       1.05736    
   0.596247       1.05870    
   0.610012       1.06001    
   0.623776       1.06127    
   0.637539       1.06250    
   0.651301       1.06370    
   0.665064       1.06487    
   0.678827       1.06603    
   0.692589       1.06719    
   0.706350       1.06837    
   0.720107       1.06956    
   0.733862       1.07076    
   0.747614       1.07198    
   0.761366       1.07321    
   0.775118       1.07449    
   0.788869       1.07583    
   0.802619       1.07727    
   0.816366       1.07881    
   0.830111       1.08048    
   0.843851       1.08231    
   0.857585       1.08430    
   0.871310       1.08646    
   0.885022       1.08883    
   0.898731       1.09144    
   0.912448       1.09436    
   0.926150       1.09767    
   0.939761       1.10137    
   0.953220       1.10419    
   0.966545       1.10454    
   0.979696       1.10071    
   0.991883       1.09410    
    1.00000       1.08005    
    1.00010       1.08005    
    1.00828       1.07735    
    1.01761       1.07450    
    1.02825       1.07120    
    1.04039       1.06736    
    1.05425       1.06287    
    1.07005       1.05757    
    1.08808       1.05121    
    1.10865       1.04348    
    1.13211       1.03389    
    1.15887       1.02321    
    1.18939       1.01424    
    1.22421       1.00568    
    1.26393      0.997804    
    1.30922      0.990911    
    1.36089      0.985278    
    1.41982      0.981127    
    1.48702      0.978578    
    1.56367      0.977618    
    1.65109      0.978117    
    1.75078      0.979960    
    1.86448      0.983286    
    1.99415       1.00148    

   0.545585E-02  0.238033    
   0.257784E-02  0.554081    
   0.107160E-02  0.884322    
   0.290388E-03   1.25463    
   0.289935E-05   1.58913    
   0.208859E-03   1.69676    
   0.100576E-02   1.60932    
   0.258463E-02   1.55938    
   0.518992E-02   1.54256    
   0.910033E-02   1.53416    
   0.148583E-01   1.52856    
   0.227188E-01   1.52407    
   0.331495E-01   1.52001    
   0.453129E-01   1.51652    
   0.578637E-01   1.51377    
   0.707573E-01   1.51147    
   0.840123E-01   1.50944    
   0.974272E-01   1.45598    
   0.110894       1.42366    
   0.124425       1.39975    
   0.138037       1.38021    
   0.151707       1.36339    
   0.165406       1.34857    
   0.179119       1.33528    
   0.192850       1.32321    
   0.206604       1.31214    
   0.220382       1.30191    
   0.234179       1.29239    
   0.247987       1.28350    
   0.261802       1.27515    
   0.275624       1.26729    
   0.289451       1.25985    
   0.303283       1.25279    
   0.317120       1.24608    
   0.330962       1.23968    
   0.344807       1.23355    
   0.358656       1.22769    
   0.372509       1.22206    
   0.386366       1.21665    
   0.400227       1.21144    
   0.414090       1.20641    
   0.427953       1.20156    
   0.441814       1.19687    
   0.455674       1.19233    
   0.469535       1.18793    
   0.483398       1.18366    
   0.497265       1.17952    
   0.511134       1.17550    
   0.525004       1.17159    
   0.538868       1.16778    
   0.552726       1.16408    
   0.566579       1.16048    
   0.580429       1.15696    
   0.594283       1.15353    
   0.608142       1.15019    
   0.622003       1.14692    
   0.635862       1.14373    
   0.649712       1.14062    
   0.663545       1.13758    
   0.677356       1.13461    
   0.691142       1.13172    
   0.704903       1.12890    
   0.718645       1.12614    
   0.732380       1.12345    
   0.746124       1.12082    
   0.759885       1.11825    
   0.773671       1.11573    
   0.787482       1.11325    
   0.801314       1.11082    
   0.815157       1.10844    
   0.828997       1.10610    
   0.842821       1.10381    
   0.856624       1.10155    
   0.870406       1.09934    
   0.884170       1.09716    
   0.897922       1.09502    
   0.911665       1.09290    
   0.925390       1.09081    
   0.939083       1.08876    
   0.952770       1.08673    
   0.966444       1.08472    
   0.979708       1.08281    
   0.991799       1.08109    
    1.00000       1.08005    
    1.00010       1.08005    
    1.00828       1.07735    
    1.01761       1.07450    
    1.02825       1.07120    
    1.04039       1.06736    
    1.05425       1.06287    
    1.07005       1.05757    
    1.08808       1.05121    
    1.10865       1.04348    
    1.13211       1.03389    
    1.15887       1.02321    
    1.18939       1.01424    
    1.22421       1.00568    
    1.26393      0.997804    
    1.30922      0.990911    
    1.36089      0.985278    
    1.41982      0.981127    
    1.48702      0.978578    
    1.56367      0.977618    
    1.65109      0.978117    
    1.75078      0.979960    
    1.86448      0.983286    
    1.99415       1.00148    

