#  rg14                                            
#  alpha =  -9.7500
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   9.0000
#
#    x           hk
   0.948296E-02   2.22951    
   0.144271E-01   2.23866    
   0.219958E-01   2.25043    
   0.325732E-01   2.30125    
   0.433068E-01   2.29234    
   0.548143E-01   2.31650    
   0.671752E-01   2.32268    
   0.797683E-01   2.33610    
   0.924723E-01   2.34291    
   0.105383       2.35213    
   0.118478       2.35815    
   0.131681       2.36530    
   0.144952       2.37147    
   0.158289       2.37718    
   0.171689       2.38325    
   0.185144       2.38840    
   0.198642       2.39362    
   0.212176       2.39875    
   0.225740       2.40321    
   0.239329       2.40777    
   0.252942       2.41238    
   0.266577       2.41673    
   0.280233       2.42088    
   0.293906       2.42463    
   0.307592       2.42741    
   0.321285       2.43000    
   0.334983       2.43311    
   0.348688       2.43713    
   0.362403       2.44186    
   0.376131       2.44640    
   0.389871       2.45014    
   0.403618       2.45241    
   0.417368       2.45402    
   0.431117       2.45569    
   0.444865       2.45784    
   0.458615       2.46059    
   0.472368       2.46357    
   0.486125       2.46649    
   0.499887       2.46910    
   0.513651       2.47137    
   0.527417       2.47338    
   0.541183       2.47513    
   0.554949       2.47658    
   0.568715       2.47781    
   0.582481       2.47888    
   0.596247       2.47979    
   0.610012       2.48054    
   0.623776       2.48118    
   0.637539       2.48171    
   0.651301       2.48214    
   0.665064       2.48239    
   0.678827       2.48232    
   0.692589       2.48178    
   0.706350       2.48066    
   0.720107       2.47916    
   0.733862       2.47740    
   0.747614       2.47553    
   0.761366       2.47336    
   0.775118       2.47062    
   0.788869       2.46702    
   0.802619       2.46240    
   0.816366       2.45670    
   0.830111       2.44974    
   0.843851       2.44154    
   0.857585       2.43232    
   0.871310       2.42216    
   0.885022       2.41091    
   0.898731       2.39820    
   0.912448       2.38365    
   0.926150       2.36690    
   0.939761       2.34831    
   0.953220       2.34468    
   0.966545       2.37379    
   0.979696       2.46242    
   0.991883       2.60870    
    1.00000       3.22561    
    1.00010       5.05884    
    1.00828       4.84079    
    1.01761       4.69620    
    1.02825       4.54692    
    1.04039       4.38833    
    1.05425       4.21628    
    1.07005       4.02793    
    1.08808       3.82067    
    1.10865       3.59177    
    1.13211       3.33936    
    1.15887       3.08148    
    1.18939       2.85508    
    1.22421       2.63977    
    1.26393       2.43717    
    1.30922       2.24867    
    1.36089       2.07543    
    1.41982       1.91826    
    1.48702       1.77761    
    1.56367       1.65340    
    1.65109       1.54504    
    1.75078       1.45126    
    1.86448       1.37029    
    1.99415       1.28646    

   0.545585E-02   2.22951    
   0.257784E-02   2.17607    
   0.107160E-02   2.19363    
   0.290388E-03   2.14379    
   0.289935E-05   2.24918    
   0.208859E-03   2.53918    
   0.100576E-02   3.68330    
   0.258463E-02   7.66335    
   0.518992E-02   14.1368    
   0.910033E-02   21.9104    
   0.148583E-01   32.1328    
   0.227188E-01   43.7425    
   0.331495E-01   55.4292    
   0.453129E-01   64.8663    
   0.578637E-01   71.6975    
   0.707573E-01   76.4472    
   0.840123E-01   79.3193    
   0.974272E-01   19.5119    
   0.110894       14.1245    
   0.124425       11.9214    
   0.138037       10.6607    
   0.151707       9.81624    
   0.165406       9.20375    
   0.179119       8.73506    
   0.192850       8.36194    
   0.206604       8.05594    
   0.220382       7.79901    
   0.234179       7.57918    
   0.247987       7.38842    
   0.261802       7.22080    
   0.275624       7.07187    
   0.289451       6.93838    
   0.303283       6.81784    
   0.317120       6.70824    
   0.330962       6.60798    
   0.344807       6.51579    
   0.358656       6.43059    
   0.372509       6.35149    
   0.386366       6.27777    
   0.400227       6.20881    
   0.414090       6.14409    
   0.427953       6.08318    
   0.441814       6.02580    
   0.455674       5.97169    
   0.469535       5.92062    
   0.483398       5.87232    
   0.497265       5.82654    
   0.511134       5.78304    
   0.525004       5.74163    
   0.538868       5.70223    
   0.552726       5.66486    
   0.566579       5.62952    
   0.580429       5.59616    
   0.594283       5.56463    
   0.608142       5.53474    
   0.622003       5.50633    
   0.635862       5.47932    
   0.649712       5.45392    
   0.663545       5.43034    
   0.677356       5.40874    
   0.691142       5.38932    
   0.704903       5.37229    
   0.718645       5.35783    
   0.732380       5.34605    
   0.746124       5.33656    
   0.759885       5.32884    
   0.773671       5.32250    
   0.787482       5.31699    
   0.801314       5.31167    
   0.815157       5.30596    
   0.828997       5.29946    
   0.842821       5.29202    
   0.856624       5.28347    
   0.870406       5.27364    
   0.884170       5.26236    
   0.897922       5.24949    
   0.911665       5.23497    
   0.925390       5.21881    
   0.939083       5.20117    
   0.952770       5.18249    
   0.966444       5.16349    
   0.979708       5.14689    
   0.991799       5.13304    
    1.00000       5.16213    
    1.00010       5.05884    
    1.00828       4.84079    
    1.01761       4.69620    
    1.02825       4.54692    
    1.04039       4.38833    
    1.05425       4.21628    
    1.07005       4.02793    
    1.08808       3.82067    
    1.10865       3.59177    
    1.13211       3.33936    
    1.15887       3.08148    
    1.18939       2.85508    
    1.22421       2.63977    
    1.26393       2.43717    
    1.30922       2.24867    
    1.36089       2.07543    
    1.41982       1.91826    
    1.48702       1.77761    
    1.56367       1.65340    
    1.65109       1.54504    
    1.75078       1.45126    
    1.86448       1.37029    
    1.99415       1.28646    

