#  rg14                                            
#  alpha =  -9.7500
#  Mach  =   0.0000
#  Reyn  =   100000
#  Ncrit =   9.0000
#
#    x           cf
   0.948296E-02  0.401349E-03
   0.144271E-01  0.714578E-02
   0.219958E-01  0.117499E-01
   0.325732E-01  0.126403E-01
   0.433068E-01  0.130976E-01
   0.548143E-01  0.125597E-01
   0.671752E-01  0.121389E-01
   0.797683E-01  0.115203E-01
   0.924723E-01  0.110218E-01
   0.105383      0.104958E-01
   0.118478      0.100512E-01
   0.131681      0.961581E-02
   0.144952      0.922301E-02
   0.158289      0.886292E-02
   0.171689      0.852000E-02
   0.185144      0.821134E-02
   0.198642      0.792084E-02
   0.212176      0.764872E-02
   0.225740      0.740111E-02
   0.239329      0.716670E-02
   0.252942      0.694441E-02
   0.266577      0.673695E-02
   0.280233      0.654248E-02
   0.293906      0.636238E-02
   0.307592      0.620210E-02
   0.321285      0.605246E-02
   0.334983      0.590506E-02
   0.348688      0.575523E-02
   0.362403      0.560453E-02
   0.376131      0.546140E-02
   0.389871      0.533128E-02
   0.403618      0.521983E-02
   0.417368      0.511928E-02
   0.431117      0.502278E-02
   0.444865      0.492631E-02
   0.458615      0.482852E-02
   0.472368      0.473246E-02
   0.486125      0.464011E-02
   0.499887      0.455342E-02
   0.513651      0.447239E-02
   0.527417      0.439611E-02
   0.541183      0.432441E-02
   0.554949      0.425744E-02
   0.568715      0.419439E-02
   0.582481      0.413466E-02
   0.596247      0.407810E-02
   0.610012      0.402458E-02
   0.623776      0.397369E-02
   0.637539      0.392524E-02
   0.651301      0.387907E-02
   0.665064      0.383565E-02
   0.678827      0.379578E-02
   0.692589      0.376033E-02
   0.706350      0.372997E-02
   0.720107      0.370337E-02
   0.733862      0.367957E-02
   0.747614      0.365771E-02
   0.761366      0.363879E-02
   0.775118      0.362456E-02
   0.788869      0.361680E-02
   0.802619      0.361662E-02
   0.816366      0.362438E-02
   0.830111      0.364146E-02
   0.843851      0.366804E-02
   0.857585      0.370296E-02
   0.871310      0.374615E-02
   0.885022      0.379897E-02
   0.898731      0.386448E-02
   0.912448      0.394624E-02
   0.926150      0.404804E-02
   0.939761      0.416944E-02
   0.953220      0.418715E-02
