#      x          Cp  
     1.00000   -0.16650
     0.99188   -0.19706
     0.97970   -0.21156
     0.96654   -0.22000
     0.95322   -0.21923
     0.93976   -0.21302
     0.92615   -0.20488
     0.91245   -0.19763
     0.89873   -0.19124
     0.88502   -0.18554
     0.87131   -0.18040
     0.85759   -0.17571
     0.84385   -0.17140
     0.83011   -0.16744
     0.81637   -0.16383
     0.80262   -0.16050
     0.78887   -0.15742
     0.77512   -0.15453
     0.76137   -0.15179
     0.74761   -0.14914
     0.73386   -0.14654
     0.72011   -0.14396
     0.70635   -0.14141
     0.69259   -0.13889
     0.67883   -0.13642
     0.66506   -0.13395
     0.65130   -0.13146
     0.63754   -0.12891
     0.62378   -0.12630
     0.61001   -0.12362
     0.59625   -0.12085
     0.58248   -0.11800
     0.56872   -0.11505
     0.55495   -0.11198
     0.54118   -0.10880
     0.52742   -0.10549
     0.51365   -0.10202
     0.49989   -0.09838
     0.48613   -0.09453
     0.47237   -0.09047
     0.45861   -0.08611
     0.44486   -0.08143
     0.43112   -0.07638
     0.41737   -0.07099
     0.40362   -0.06528
     0.38987   -0.05931
     0.37613   -0.05307
     0.36240   -0.04637
     0.34869   -0.03908
     0.33498   -0.03105
     0.32129   -0.02228
     0.30759   -0.01280
     0.29391   -0.00265
     0.28023    0.00820
     0.26658    0.01997
     0.25294    0.03280
     0.23933    0.04683
     0.22574    0.06223
     0.21218    0.07918
     0.19864    0.09780
     0.18514    0.11844
     0.17169    0.14139
     0.15829    0.16692
     0.14495    0.19561
     0.13168    0.22790
     0.11848    0.26455
     0.10538    0.30645
     0.09247    0.35429
     0.07977    0.40985
     0.06718    0.47551
     0.05481    0.55402
     0.04331    0.64420
     0.03257    0.74655
     0.02200    0.87134
     0.01443    0.96474
     0.00948    0.99994
     0.00546    0.94334
     0.00258    0.69299
     0.00107    0.21797
     0.00029   -0.57410
     0.00000   -1.52534
     0.00021   -1.87900
     0.00101   -1.58991
     0.00258   -1.43167
     0.00519   -1.37948
     0.00910   -1.35366
     0.01486   -1.33649
     0.02272   -1.32278
     0.03315   -1.31044
     0.04531   -1.29985
     0.05786   -1.29149
     0.07076   -1.28453
     0.08401   -1.27840
     0.09743   -1.11987
     0.11089   -1.02681
     0.12443   -0.95930
     0.13804   -0.90497
     0.15171   -0.85883
     0.16541   -0.81863
     0.17912   -0.78297
     0.19285   -0.75089
     0.20660   -0.72171
     0.22038   -0.69496
     0.23418   -0.67028
     0.24799   -0.64737
     0.26180   -0.62602
     0.27562   -0.60602
     0.28945   -0.58722
     0.30328   -0.56949
     0.31712   -0.55271
     0.33096   -0.53680
     0.34481   -0.52166
     0.35866   -0.50722
     0.37251   -0.49343
     0.38637   -0.48023
     0.40023   -0.46758
     0.41409   -0.45542
     0.42795   -0.44374
     0.44181   -0.43249
     0.45567   -0.42164
     0.46953   -0.41118
     0.48340   -0.40106
     0.49726   -0.39128
     0.51113   -0.38180
     0.52500   -0.37262
     0.53887   -0.36372
     0.55273   -0.35508
     0.56658   -0.34670
     0.58043   -0.33856
     0.59428   -0.33064
     0.60814   -0.32294
     0.62200   -0.31543
     0.63586   -0.30812
     0.64971   -0.30101
     0.66354   -0.29408
     0.67736   -0.28734
     0.69114   -0.28079
     0.70490   -0.27441
     0.71864   -0.26820
     0.73238   -0.26215
     0.74612   -0.25625
     0.75989   -0.25048
     0.77367   -0.24485
     0.78748   -0.23933
     0.80131   -0.23393
     0.81516   -0.22864
     0.82900   -0.22346
     0.84282   -0.21839
     0.85662   -0.21342
     0.87041   -0.20855
     0.88417   -0.20376
     0.89792   -0.19906
     0.91167   -0.19443
     0.92539   -0.18987
     0.93908   -0.18539
     0.95277   -0.18097
     0.96644   -0.17663
     0.97971   -0.17248
     0.99180   -0.16876
     1.00000   -0.16650
