#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.2500
#  Reyn  =   120000
#  Ncrit =   9.0000
#
#    x           rt
   0.160049E-01  0.755193    
   0.129157E-01   2.64540    
   0.102737E-01   4.65042    
   0.799905E-02   6.48844    
   0.603611E-02   8.13439    
   0.436130E-02   9.68722    
   0.295502E-02   11.1422    
   0.181024E-02   12.5590    
   0.925187E-03   13.9001    
   0.315300E-03   15.3677    
  -0.203094E-05   17.4993    
  -0.489050E-04   19.8269    
   0.176432E-03   23.0348    
   0.673480E-03   27.0799    
   0.142801E-02   31.4448    
   0.244116E-02   36.1635    
   0.371796E-02   41.0766    
   0.527214E-02   46.0536    
   0.713484E-02   51.0691    
   0.934685E-02   56.1003    
   0.119567E-01   61.1248    
   0.150070E-01   65.6154    
   0.185657E-01   68.6735    
   0.227411E-01   71.1850    
   0.276796E-01   74.8983    
   0.335342E-01   80.5757    
   0.404462E-01   88.0194    
   0.484919E-01   96.2212    
   0.577139E-01   104.790    
   0.681193E-01   113.089    
   0.795722E-01   120.943    
   0.917564E-01   128.429    
   0.104385       135.475    
   0.117383       142.103    
   0.130721       148.372    
   0.144321       154.334    
   0.158097       160.048    
   0.171975       165.557    
   0.185913       170.899    
   0.199927       176.134    
   0.214086       181.370    
   0.228453       224.758    
   0.243042       263.201    
   0.257861       291.253    
   0.272913       312.754    
   0.288187       330.941    
   0.303633       347.072    
   0.319130       361.450    
   0.334607       375.017    
   0.350050       388.200    
   0.365447       401.298    
   0.380799       414.990    
   0.396113       429.230    
   0.411416       444.400    
   0.426742       460.453    
   0.442099       477.229    
   0.457488       494.674    
   0.472912       512.729    
   0.488367       531.310    
   0.503847       550.330    
   0.519335       569.776    
   0.534821       589.822    
   0.550302       610.586    
   0.565777       632.206    
   0.581246       654.830    
   0.596711       678.600    
   0.612180       703.694    
   0.627664       730.140    
   0.643165       757.939    
   0.658685       787.124    
   0.674223       817.697    
   0.689779       849.651    
   0.705348       882.944    
   0.720918       917.553    
   0.736483       953.518    
   0.752042       990.804    
   0.767593       1029.30    
   0.783137       1068.81    
   0.798674       1109.04    
   0.814204       1149.64    
   0.829730       1190.14    
   0.845252       1229.98    
   0.860768       1268.58    
   0.876277       1305.30    
   0.891771       1339.48    
   0.907235       1370.50    
   0.922630       1397.77    
   0.937878       1420.76    
   0.952861       1437.42    
   0.967253       1445.73    
   0.980435       1452.99    
   0.991815       1460.31    
    1.00000       1466.37    
    1.00010       1623.16    
    1.00848       1641.05    
    1.01804       1668.96    
    1.02895       1702.86    
    1.04137       1742.02    
    1.05552       1777.52    
    1.07165       1810.64    
    1.09002       1841.42    
    1.11095       1868.01    
    1.13479       1888.61    
    1.16194       1901.76    
    1.19287       1906.71    
    1.22809       1903.68    
    1.26820       1893.86    
    1.31387       1879.15    
    1.36588       1861.66    
    1.42509       1843.28    
    1.49250       1825.36    
    1.56925       1808.71    
    1.65663       1793.74    
    1.75609       1780.56    
    1.86931       1769.17    
    1.99818       1751.24    

   0.196318E-01   1.38049    
   0.239234E-01   3.90365    
   0.290982E-01   6.60022    
   0.353548E-01   9.40210    
   0.427460E-01   12.4275    
   0.514133E-01   16.0464    
   0.615642E-01   20.2703    
   0.733632E-01   24.9952    
   0.867055E-01   29.6765    
   0.100909       33.9375    
   0.115537       38.2677    
   0.130502       42.5329    
   0.145668       46.6998    
   0.160985       50.7890    
   0.176437       54.7984    
   0.192008       58.7313    
   0.207692       62.5767    
   0.223474       66.3304    
   0.239346       70.0015    
   0.255305       73.5886    
   0.271348       77.0790    
   0.287457       80.4511    
   0.303597       83.6542    
   0.319753       86.6534    
   0.335925       89.5115    
   0.352110       92.2678    
   0.368307       94.9467    
   0.384512       97.5657    
   0.400717       100.140    
   0.416920       102.682    
   0.433126       105.189    
   0.449334       107.656    
   0.465545       110.079    
   0.481758       112.458    
   0.497972       114.792    
   0.514185       117.076    
   0.530398       119.314    
   0.546613       121.511    
   0.562828       123.669    
   0.579044       125.791    
   0.595259       127.876    
   0.611475       129.928    
   0.627690       131.947    
   0.643906       133.931    
   0.660122       135.879    
   0.676338       137.795    
   0.692554       139.673    
   0.708770       141.513    
   0.724986       143.316    
   0.741202       145.079    
   0.757419       146.801    
   0.773635       148.479    
   0.789852       150.110    
   0.806068       151.691    
   0.822285       153.216    
   0.838500       154.678    
   0.854714       156.069    
   0.870924       157.375    
   0.887125       158.581    
   0.903302       159.663    
   0.919426       160.585    
   0.935411       161.298    
   0.951106       161.725    
   0.966141       161.767    
   0.979832       161.231    
   0.991582       160.231    
    1.00000       156.794    
    1.00010       1623.16    
    1.00848       1641.05    
    1.01804       1668.96    
    1.02895       1702.86    
    1.04137       1742.02    
    1.05552       1777.52    
    1.07165       1810.64    
    1.09002       1841.42    
    1.11095       1868.01    
    1.13479       1888.61    
    1.16194       1901.76    
    1.19287       1906.71    
    1.22809       1903.68    
    1.26820       1893.86    
    1.31387       1879.15    
    1.36588       1861.66    
    1.42509       1843.28    
    1.49250       1825.36    
    1.56925       1808.71    
    1.65663       1793.74    
    1.75609       1780.56    
    1.86931       1769.17    
    1.99818       1751.24    

