#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.2500
#  Reyn  =   120000
#  Ncrit =   9.0000
#
#    x           dB
   0.196318E-01  0.339413E-03
   0.239234E-01  0.427642E-03
   0.290982E-01  0.494419E-03
   0.353548E-01  0.545612E-03
   0.427460E-01  0.586044E-03
   0.514133E-01  0.661213E-03
   0.615642E-01  0.758462E-03
   0.733632E-01  0.877031E-03
   0.867055E-01  0.974667E-03
   0.100909      0.104596E-02
   0.115537      0.113721E-02
   0.130502      0.122584E-02
   0.145668      0.131357E-02
   0.160985      0.140226E-02
   0.176437      0.149097E-02
   0.192008      0.157966E-02
   0.207692      0.166705E-02
   0.223474      0.175273E-02
   0.239346      0.183727E-02
   0.255305      0.192017E-02
   0.271348      0.200011E-02
   0.287457      0.207533E-02
   0.303597      0.214205E-02
   0.319753      0.219794E-02
   0.335925      0.224869E-02
   0.352110      0.229701E-02
   0.368307      0.234416E-02
   0.384512      0.239084E-02
   0.400717      0.243771E-02
   0.416920      0.248521E-02
   0.433126      0.253273E-02
   0.449334      0.257940E-02
   0.465545      0.262489E-02
   0.481758      0.266916E-02
   0.497972      0.271189E-02
   0.514185      0.275285E-02
   0.530398      0.279231E-02
   0.546613      0.283046E-02
   0.562828      0.286749E-02
   0.579044      0.290353E-02
   0.595259      0.293846E-02
   0.611475      0.297249E-02
   0.627690      0.300558E-02
   0.643906      0.303753E-02
   0.660122      0.306831E-02
   0.676338      0.309799E-02
   0.692554      0.312626E-02
   0.708770      0.315315E-02
   0.724986      0.317860E-02
   0.741202      0.320243E-02
   0.757419      0.322462E-02
   0.773635      0.324500E-02
   0.789852      0.326337E-02
   0.806068      0.327951E-02
   0.822285      0.329312E-02
   0.838500      0.330381E-02
   0.854714      0.331111E-02
   0.870924      0.331438E-02
   0.887125      0.331275E-02
   0.903302      0.330506E-02
   0.919426      0.328968E-02
   0.935411      0.326442E-02
   0.951106      0.322626E-02
   0.966141      0.317193E-02
   0.979832      0.309479E-02
   0.991582      0.300509E-02
    1.00000      0.280938E-02
    1.00010      0.540857E-01
    1.00848      0.533937E-01
    1.01804      0.524322E-01
    1.02895      0.512798E-01
    1.04137      0.499176E-01
    1.05552      0.483060E-01
    1.07165      0.464554E-01
    1.09002      0.443764E-01
    1.11095      0.420875E-01
    1.13479      0.396263E-01
    1.16194      0.370511E-01
    1.19287      0.344385E-01
    1.22809      0.318747E-01
    1.26820      0.294428E-01
    1.31387      0.272094E-01
    1.36588      0.252157E-01
    1.42509      0.234757E-01
    1.49250      0.219819E-01
    1.56925      0.207136E-01
    1.65663      0.196448E-01
    1.75609      0.187485E-01
    1.86931      0.180016E-01
    1.99818      0.172549E-01

   0.196318E-01  0.152227E-03
   0.239234E-01  0.187315E-03
   0.290982E-01  0.219329E-03
   0.353548E-01  0.240664E-03
   0.427460E-01  0.259091E-03
   0.514133E-01  0.287046E-03
   0.615642E-01  0.325614E-03
   0.733632E-01  0.371958E-03
   0.867055E-01  0.415016E-03
   0.100909      0.448615E-03
   0.115537      0.483582E-03
   0.130502      0.518683E-03
   0.145668      0.553342E-03
   0.160985      0.587879E-03
   0.176437      0.622219E-03
   0.192008      0.656347E-03
   0.207692      0.690022E-03
   0.223474      0.723105E-03
   0.239346      0.755660E-03
   0.255305      0.787614E-03
   0.271348      0.818726E-03
   0.287457      0.848629E-03
   0.303597      0.876554E-03
   0.319753      0.901900E-03
   0.335925      0.925419E-03
   0.352110      0.947630E-03
   0.368307      0.968874E-03
   0.384512      0.989407E-03
   0.400717      0.100946E-02
   0.416920      0.102921E-02
   0.433126      0.104867E-02
   0.449334      0.106773E-02
   0.465545      0.108636E-02
   0.481758      0.110455E-02
   0.497972      0.112227E-02
   0.514185      0.113946E-02
   0.530398      0.115617E-02
   0.546613      0.117242E-02
   0.562828      0.118826E-02
   0.579044      0.120371E-02
   0.595259      0.121875E-02
   0.611475      0.123344E-02
   0.627690      0.124777E-02
   0.643906      0.126171E-02
   0.660122      0.127527E-02
   0.676338      0.128845E-02
   0.692554      0.130120E-02
   0.708770      0.131352E-02
   0.724986      0.132541E-02
   0.741202      0.133681E-02
   0.757419      0.134773E-02
   0.773635      0.135812E-02
   0.789852      0.136794E-02
   0.806068      0.137714E-02
   0.822285      0.138565E-02
   0.838500      0.139337E-02
   0.854714      0.140019E-02
   0.870924      0.140596E-02
   0.887125      0.141047E-02
   0.903302      0.141343E-02
   0.919426      0.141444E-02
   0.935411      0.141292E-02
   0.951106      0.140809E-02
   0.966141      0.139898E-02
   0.979832      0.138386E-02
   0.991582      0.136443E-02
    1.00000      0.131986E-02
    1.00010      0.136635E-01
    1.00848      0.138438E-01
    1.01804      0.141270E-01
    1.02895      0.144744E-01
    1.04137      0.148802E-01
    1.05552      0.152528E-01
    1.07165      0.156051E-01
    1.09002      0.159370E-01
    1.11095      0.162278E-01
    1.13479      0.164564E-01
    1.16194      0.166045E-01
    1.19287      0.166610E-01
    1.22809      0.166259E-01
    1.26820      0.165112E-01
    1.31387      0.163377E-01
    1.36588      0.161298E-01
    1.42509      0.159099E-01
    1.49250      0.156943E-01
    1.56925      0.154931E-01
    1.65663      0.153115E-01
    1.75609      0.151512E-01
    1.86931      0.150123E-01
    1.99818      0.147933E-01

