#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.2500
#  Reyn  =   120000
#  Ncrit =   9.0000
#
#    x           dT
   0.160049E-01  0.339381E-03
   0.129157E-01  0.276994E-03
   0.102737E-01  0.267428E-03
   0.799905E-02  0.250509E-03
   0.603611E-02  0.232974E-03
   0.436130E-02  0.216375E-03
   0.295502E-02  0.201088E-03
   0.181024E-02  0.188793E-03
   0.925187E-03  0.177659E-03
   0.315300E-03  0.173265E-03
  -0.203094E-05  0.186225E-03
  -0.489050E-04  0.201504E-03
   0.176432E-03  0.239491E-03
   0.673480E-03  0.296933E-03
   0.142801E-02  0.362511E-03
   0.244116E-02  0.446183E-03
   0.371796E-02  0.545723E-03
   0.527214E-02  0.657380E-03
   0.713484E-02  0.779764E-03
   0.934685E-02  0.897560E-03
   0.119567E-01  0.977702E-03
   0.150070E-01  0.962572E-03
   0.185657E-01  0.890751E-03
   0.227411E-01  0.852616E-03
   0.276796E-01  0.884223E-03
   0.335342E-01  0.991927E-03
   0.404462E-01  0.117798E-02
   0.484919E-01  0.141756E-02
   0.577139E-01  0.173286E-02
   0.681193E-01  0.210855E-02
   0.795722E-01  0.250322E-02
   0.917564E-01  0.284032E-02
   0.104385      0.315237E-02
   0.117383      0.347110E-02
   0.130721      0.378282E-02
   0.144321      0.406859E-02
   0.158097      0.431116E-02
   0.171975      0.450555E-02
   0.185913      0.465516E-02
   0.199927      0.474891E-02
   0.214086      0.473928E-02
   0.228453      0.448590E-02
   0.243042      0.416324E-02
   0.257861      0.390961E-02
   0.272913      0.376490E-02
   0.288187      0.370891E-02
   0.303633      0.370334E-02
   0.319130      0.372002E-02
   0.334607      0.376107E-02
   0.350050      0.382348E-02
   0.365447      0.390627E-02
   0.380799      0.400851E-02
   0.396113      0.413426E-02
   0.411416      0.428760E-02
   0.426742      0.446544E-02
   0.442099      0.466363E-02
   0.457488      0.488066E-02
   0.472912      0.511527E-02
   0.488367      0.536586E-02
   0.503847      0.563090E-02
   0.519335      0.591050E-02
   0.534821      0.620875E-02
   0.550302      0.652887E-02
   0.565777      0.687486E-02
   0.581246      0.725138E-02
   0.596711      0.766350E-02
   0.612180      0.811783E-02
   0.627664      0.861803E-02
   0.643165      0.916776E-02
   0.658685      0.977213E-02
   0.674223      0.104363E-01
   0.689779      0.111660E-01
   0.705348      0.119669E-01
   0.720918      0.128467E-01
   0.736483      0.138169E-01
   0.752042      0.148889E-01
   0.767593      0.160739E-01
   0.783137      0.173829E-01
   0.798674      0.188260E-01
   0.814204      0.204127E-01
   0.829730      0.221497E-01
   0.845252      0.240416E-01
   0.860768      0.260901E-01
   0.876277      0.282939E-01
   0.891771      0.306472E-01
   0.907235      0.331396E-01
   0.922630      0.357555E-01
   0.937878      0.384688E-01
   0.952861      0.412322E-01
   0.967253      0.439361E-01
   0.980435      0.464467E-01
   0.991815      0.486021E-01
    1.00000      0.500943E-01
    1.00010      0.540857E-01
    1.00848      0.533937E-01
    1.01804      0.524322E-01
    1.02895      0.512798E-01
    1.04137      0.499176E-01
    1.05552      0.483060E-01
    1.07165      0.464554E-01
    1.09002      0.443764E-01
    1.11095      0.420875E-01
    1.13479      0.396263E-01
    1.16194      0.370511E-01
    1.19287      0.344385E-01
    1.22809      0.318747E-01
    1.26820      0.294428E-01
