#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.2500
#  Reyn  =   120000
#  Ncrit =   9.0000
#
#    x           cd
   0.160049E-01  0.185896E-04
   0.129157E-01  0.415138E-03
   0.102737E-01  0.145806E-02
   0.799905E-02  0.341402E-02
   0.603611E-02  0.677056E-02
   0.436130E-02  0.121791E-01
   0.295502E-02  0.206217E-01
   0.181024E-02  0.329922E-01
   0.925187E-03  0.511704E-01
   0.315300E-03  0.731212E-01
  -0.203094E-05  0.853160E-01
  -0.489050E-04  0.931718E-01
   0.176432E-03  0.841950E-01
   0.673480E-03  0.689666E-01
   0.142801E-02  0.562432E-01
   0.244116E-02  0.453962E-01
   0.371796E-02  0.371175E-01
   0.527214E-02  0.309819E-01
   0.713484E-02  0.263300E-01
   0.934685E-02  0.227370E-01
   0.119567E-01  0.199266E-01
   0.150070E-01  0.180820E-01
   0.185657E-01  0.178097E-01
   0.227411E-01  0.183279E-01
   0.276796E-01  0.177701E-01
   0.335342E-01  0.158106E-01
   0.404462E-01  0.134139E-01
   0.484919E-01  0.114630E-01
   0.577139E-01  0.993453E-02
   0.681193E-01  0.879010E-02
   0.795722E-01  0.790835E-02
   0.917564E-01  0.719576E-02
   0.104385      0.661796E-02
   0.117383      0.614048E-02
   0.130721      0.573950E-02
   0.144321      0.539897E-02
   0.158097      0.510695E-02
   0.171975      0.485365E-02
   0.185913      0.463087E-02
   0.199927      0.443217E-02
   0.214086      0.425234E-02
   0.228453      0.326979E-01
   0.243042      0.263941E-01
   0.257861      0.207299E-01
   0.272913      0.167219E-01
   0.288187      0.140359E-01
   0.303633      0.122082E-01
   0.319130      0.109284E-01
   0.334607      0.999351E-02
   0.350050      0.927938E-02
   0.365447      0.871127E-02
   0.380799      0.823660E-02
   0.396113      0.782183E-02
   0.411416      0.744289E-02
   0.426742      0.709115E-02
   0.442099      0.676385E-02
   0.457488      0.645820E-02
   0.472912      0.617258E-02
   0.488367      0.590616E-02
   0.503847      0.565833E-02
   0.519335      0.542768E-02
   0.534821      0.521129E-02
   0.550302      0.500749E-02
   0.565777      0.481502E-02
   0.581246      0.463298E-02
   0.596711      0.446098E-02
   0.612180      0.429876E-02
   0.627664      0.414714E-02
   0.643165      0.400696E-02
   0.658685      0.387878E-02
   0.674223      0.376317E-02
   0.689779      0.366059E-02
   0.705348      0.357144E-02
   0.720918      0.349595E-02
   0.736483      0.343425E-02
   0.752042      0.338661E-02
   0.767593      0.335329E-02
   0.783137      0.333451E-02
   0.798674      0.333040E-02
   0.814204      0.334096E-02
   0.829730      0.336606E-02
   0.845252      0.340544E-02
   0.860768      0.345879E-02
   0.876277      0.352575E-02
   0.891771      0.360595E-02
   0.907235      0.369902E-02
   0.922630      0.380454E-02
   0.937878      0.392187E-02
   0.952861      0.405274E-02
   0.967253      0.419667E-02
   0.980435      0.433427E-02
   0.991815      0.445391E-02
    1.00000      0.453856E-02
    1.00010      0.745357E-02
    1.00848      0.755113E-02
    1.01804      0.757257E-02
    1.02895      0.756697E-02
    1.04137      0.752636E-02
    1.05552      0.746259E-02
    1.07165      0.736260E-02
    1.09002      0.721386E-02
    1.11095      0.700767E-02
    1.13479      0.673665E-02
    1.16194      0.639625E-02
    1.19287      0.598646E-02
    1.22809      0.551318E-02
    1.26820      0.498882E-02
    1.31387      0.443139E-02
    1.36588      0.386235E-02
    1.42509      0.330362E-02
    1.49250      0.277469E-02
    1.56925      0.229056E-02
    1.65663      0.186077E-02
    1.75609      0.148775E-02
    1.86931      0.116768E-02
    1.99818      0.894417E-03

   0.196318E-01  0.621620E-04
   0.239234E-01  0.258066E-03
   0.290982E-01  0.468822E-03
   0.353548E-01  0.715899E-03
   0.427460E-01  0.100880E-02
   0.514133E-01  0.120923E-02
   0.615642E-01  0.130606E-02
   0.733632E-01  0.131465E-02
   0.867055E-01  0.134401E-02
   0.100909      0.140813E-02
   0.115537      0.141645E-02
   0.130502      0.141159E-02
   0.145668      0.139592E-02
   0.160985      0.137053E-02
   0.176437      0.133968E-02
   0.192008      0.130551E-02
   0.207692      0.127086E-02
   0.223474      0.123694E-02
   0.239346      0.120369E-02
   0.255305      0.117186E-02
   0.271348      0.114256E-02
   0.287457      0.111694E-02
   0.303597      0.109725E-02
   0.319753      0.108466E-02
   0.335925      0.107541E-02
   0.352110      0.106768E-02
   0.368307      0.106059E-02
   0.384512      0.105364E-02
   0.400717      0.104640E-02
   0.416920      0.103860E-02
   0.433126      0.103058E-02
   0.449334      0.102281E-02
   0.465545      0.101546E-02
   0.481758      0.100856E-02
   0.497972      0.100226E-02
   0.514185      0.996669E-03
   0.530398      0.991657E-03
   0.546613      0.987124E-03
   0.562828      0.982993E-03
   0.579044      0.979190E-03
   0.595259      0.975771E-03
   0.611475      0.972641E-03
   0.627690      0.969819E-03
   0.643906      0.967380E-03
   0.660122      0.965343E-03
   0.676338      0.963671E-03
   0.692554      0.962494E-03
   0.708770      0.961802E-03
   0.724986      0.961621E-03
   0.741202      0.962027E-03
   0.757419      0.963029E-03
   0.773635      0.964713E-03
   0.789852      0.967158E-03
   0.806068      0.970475E-03
   0.822285      0.974810E-03
   0.838500      0.980347E-03
   0.854714      0.987336E-03
   0.870924      0.996099E-03
   0.887125      0.100711E-02
   0.903302      0.102103E-02
   0.919426      0.103881E-02
   0.935411      0.106186E-02
   0.951106      0.109224E-02
   0.966141      0.113265E-02
   0.979832      0.118847E-02
   0.991582      0.125641E-02
    1.00000      0.140120E-02
    1.00010      0.745357E-02
    1.00848      0.755113E-02
    1.01804      0.757257E-02
    1.02895      0.756697E-02
    1.04137      0.752636E-02
    1.05552      0.746259E-02
    1.07165      0.736260E-02
    1.09002      0.721386E-02
    1.11095      0.700767E-02
    1.13479      0.673665E-02
    1.16194      0.639625E-02
    1.19287      0.598646E-02
    1.22809      0.551318E-02
    1.26820      0.498882E-02
    1.31387      0.443139E-02
    1.36588      0.386235E-02
    1.42509      0.330362E-02
    1.49250      0.277469E-02
    1.56925      0.229056E-02
    1.65663      0.186077E-02
    1.75609      0.148775E-02
    1.86931      0.116768E-02
    1.99818      0.894417E-03

