#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.2500
#  Reyn  =   120000
#  Ncrit =   9.0000
#
#    x           ue
   0.160049E-01  0.404598E-01
   0.129157E-01  0.172266    
   0.102737E-01  0.318063    
   0.799905E-02  0.468963    
   0.603611E-02  0.636299    
   0.436130E-02  0.820387    
   0.295502E-02   1.02629    
   0.181024E-02   1.25422    
   0.925187E-03   1.50839    
   0.315300E-03   1.77630    
  -0.203094E-05   1.99803    
  -0.489050E-04   2.16991    
   0.176432E-03   2.26421    
   0.673480E-03   2.28504    
   0.142801E-02   2.26976    
   0.244116E-02   2.23469    
   0.371796E-02   2.19150    
   0.527214E-02   2.14753    
   0.713484E-02   2.10563    
   0.934685E-02   2.06702    
   0.119567E-01   2.03224    
   0.150070E-01   2.00595    
   0.185657E-01   1.99803    
   0.227411E-01   2.00562    
   0.276796E-01   2.01197    
   0.335342E-01   2.00435    
   0.404462E-01   1.98155    
   0.484919E-01   1.95188    
   0.577139E-01   1.92010    
   0.681193E-01   1.89085    
   0.795722E-01   1.86547    
   0.917564E-01   1.84357    
   0.104385       1.82478    
   0.117383       1.80854    
   0.130721       1.79437    
   0.144321       1.78183    
   0.158097       1.77054    
   0.171975       1.76018    
   0.185913       1.75052    
   0.199927       1.74134    
   0.214086       1.73232    
   0.228453       1.66521    
   0.243042       1.60678    
   0.257861       1.56604    
   0.272913       1.53729    
   0.288187       1.51528    
   0.303633       1.49764    
   0.319130       1.48350    
   0.334607       1.47112    
   0.350050       1.45976    
   0.365447       1.44906    
   0.380799       1.43802    
   0.396113       1.42669    
   0.411416       1.41460    
   0.426742       1.40186    
   0.442099       1.38873    
   0.457488       1.37532    
   0.472912       1.36174    
   0.488367       1.34811    
   0.503847       1.33455    
   0.519335       1.32109    
   0.534821       1.30759    
   0.550302       1.29398    
   0.565777       1.28022    
   0.581246       1.26624    
   0.596711       1.25202    
   0.612180       1.23752    
   0.627664       1.22281    
   0.643165       1.20797    
   0.658685       1.19308    
   0.674223       1.17821    
   0.689779       1.16342    
   0.705348       1.14881    
   0.720918       1.13443    
   0.736483       1.12030    
   0.752042       1.10650    
   0.767593       1.09309    
   0.783137       1.08017    
   0.798674       1.06783    
   0.814204       1.05618    
   0.829730       1.04531    
   0.845252       1.03531    
   0.860768       1.02625    
   0.876277       1.01820    
   0.891771       1.01118    
   0.907235       1.00520    
   0.922630       1.00027    
   0.937878      0.996358    
   0.952861      0.993680    
   0.967253      0.992415    
   0.980435      0.991359    
   0.991815      0.990334    
    1.00000      0.989512    
    1.00010      0.989512    
    1.00848      0.987296    
    1.01804      0.983808    
    1.02895      0.979526    
    1.04137      0.974512    
    1.05552      0.969890    
    1.07165      0.965482    
    1.09002      0.961279    
    1.11095      0.957532    
    1.13479      0.954523    
    1.16194      0.952520    
    1.19287      0.951729    
    1.22809      0.952238    
    1.26820      0.953979    
    1.31387      0.956731    
    1.36588      0.960181    
    1.42509      0.963997    
    1.49250      0.967896    
    1.56925      0.971675    
    1.65663      0.975205    
    1.75609      0.978418    
    1.86931      0.981275    
    1.99818      0.985905    

   0.196318E-01  0.739632E-01
   0.239234E-01  0.170055    
   0.290982E-01  0.245724    
   0.353548E-01  0.319292    
   0.427460E-01  0.392457    
   0.514133E-01  0.457939    
   0.615642E-01  0.510526    
   0.733632E-01  0.551610    
   0.867055E-01  0.587491    
   0.100909      0.622087    
   0.115537      0.651263    
   0.130502      0.675332    
   0.145668      0.695464    
   0.160985      0.712292    
   0.176437      0.726427    
   0.192008      0.738359    
   0.207692      0.748555    
   0.223474      0.757374    
   0.239346      0.765049    
   0.255305      0.771797    
   0.271348      0.777843    
   0.287457      0.783412    
   0.303597      0.788796    
   0.319753      0.794264    
   0.335925      0.799761    
   0.352110      0.805218    
   0.368307      0.810581    
   0.384512      0.815805    
   0.400717      0.820844    
   0.416920      0.825664    
   0.433126      0.830276    
   0.449334      0.834710    
   0.465545      0.838990    
   0.481758      0.843132    
   0.497972      0.847163    
   0.514185      0.851106    
   0.530398      0.854970    
   0.546613      0.858762    
   0.562828      0.862487    
   0.579044      0.866147    
   0.595259      0.869751    
   0.611475      0.873301    
   0.627690      0.876802    
   0.643906      0.880266    
   0.660122      0.883698    
   0.676338      0.887104    
   0.692554      0.890498    
   0.708770      0.893885    
   0.724986      0.897276    
   0.741202      0.900681    
   0.757419      0.904108    
   0.773635      0.907570    
   0.789852      0.911081    
   0.806068      0.914656    
   0.822285      0.918315    
   0.838500      0.922080    
   0.854714      0.925981    
   0.870924      0.930054    
   0.887125      0.934347    
   0.903302      0.938923    
   0.919426      0.943866    
   0.935411      0.949280    
   0.951106      0.955302    
   0.966141      0.962041    
   0.979832      0.969644    
   0.991582      0.977682    
    1.00000      0.989512    
    1.00010      0.989512    
    1.00848      0.987296    
    1.01804      0.983808    
    1.02895      0.979526    
    1.04137      0.974512    
    1.05552      0.969890    
    1.07165      0.965482    
    1.09002      0.961279    
    1.11095      0.957532    
    1.13479      0.954523    
    1.16194      0.952520    
    1.19287      0.951729    
    1.22809      0.952238    
    1.26820      0.953979    
    1.31387      0.956731    
    1.36588      0.960181    
    1.42509      0.963997    
    1.49250      0.967896    
    1.56925      0.971675    
    1.65663      0.975205    
    1.75609      0.978418    
    1.86931      0.981275    
    1.99818      0.985905    

