#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.2500
#  Reyn  =   120000
#  Ncrit =   9.0000
#
#    x           hk
   0.160049E-01   2.22950    
   0.129157E-01   2.20945    
   0.102737E-01   2.23461    
   0.799905E-02   2.20241    
   0.603611E-02   2.20176    
   0.436130E-02   2.19206    
   0.295502E-02   2.18468    
   0.181024E-02   2.18124    
   0.925187E-03   2.17234    
   0.315300E-03   2.18308    
  -0.203094E-05   2.24707    
  -0.489050E-04   2.26845    
   0.176432E-03   2.38768    
   0.673480E-03   2.53799    
   0.142801E-02   2.66198    
   0.244116E-02   2.82695    
   0.371796E-02   3.01193    
   0.527214E-02   3.19833    
   0.713484E-02   3.38049    
   0.934685E-02   3.49996    
   0.119567E-01   3.45666    
   0.150070E-01   3.13428    
   0.185657E-01   2.75482    
   0.227411E-01   2.54522    
   0.276796E-01   2.51336    
   0.335342E-01   2.61684    
   0.404462E-01   2.82759    
   0.484919E-01   3.08525    
   0.577139E-01   3.42912    
   0.681193E-01   3.82989    
   0.795722E-01   4.21458    
   0.917564E-01   4.46652    
   0.104385       4.66505    
   0.117383       4.86572    
   0.130721       5.04965    
   0.144321       5.19420    
   0.158097       5.28175    
   0.171975       5.31175    
   0.185913       5.29316    
   0.199927       5.21652    
   0.214086       5.03277    
   0.228453       3.71016    
   0.243042       2.84513    
   0.257861       2.35664    
   0.272913       2.07646    
   0.288187       1.90703    
   0.303633       1.79591    
   0.319130       1.71701    
   0.334607       1.66035    
   0.350050       1.61921    
   0.365447       1.58986    
   0.380799       1.56713    
   0.396113       1.55207    
   0.411416       1.54347    
   0.426742       1.53965    
   0.442099       1.53921    
   0.457488       1.54141    
   0.472912       1.54565    
   0.488367       1.55146    
   0.503847       1.55847    
   0.519335       1.56651    
   0.534821       1.57583    
   0.550302       1.58655    
   0.565777       1.59884    
   0.581246       1.61293    
   0.596711       1.62904    
   0.612180       1.64749    
   0.627664       1.66836    
   0.643165       1.69173    
   0.658685       1.71782    
   0.674223       1.74680    
   0.689779       1.77893    
   0.705348       1.81446    
   0.720918       1.85378    
   0.736483       1.89755    
   0.752042       1.94643    
   0.767593       2.00110    
   0.783137       2.06226    
   0.798674       2.13065    
   0.814204       2.20707    
   0.829730       2.29227    
   0.845252       2.38704    
   0.860768       2.49217    
   0.876277       2.60845    
   0.891771       2.73660    
   0.907235       2.87726    
   0.922630       3.03089    
   0.937878       3.19742    
   0.952861       3.37991    
   0.967253       3.57764    
   0.980435       3.76034    
   0.991815       3.91203    
    1.00000       4.01282    
    1.00010       3.91360    
    1.00848       3.81297    
    1.01804       3.66887    
    1.02895       3.50170    
    1.04137       3.31521    
    1.05552       3.12922    
    1.07165       2.94071    
    1.09002       2.74984    
    1.11095       2.56038    
    1.13479       2.37618    
    1.16194       2.20088    
    1.19287       2.03760    
    1.22809       1.88867    
    1.26820       1.75546    
    1.31387       1.63829    
    1.36588       1.53661    
    1.42509       1.44921    
    1.49250       1.37458    
    1.56925       1.31112    
    1.65663       1.25734    
    1.75609       1.21189    
    1.86931       1.17370    
    1.99818       1.14096    

   0.196318E-01   2.22947    
   0.239234E-01   2.28203    
   0.290982E-01   2.25221    
   0.353548E-01   2.26367    
   0.427460E-01   2.25673    
   0.514133E-01   2.29637    
   0.615642E-01   2.32042    
   0.733632E-01   2.34741    
   0.867055E-01   2.33665    
   0.100909       2.31828    
   0.115537       2.33705    
   0.130502       2.34765    
   0.145668       2.35717    
   0.160985       2.36772    
   0.176437       2.37789    
   0.192008       2.38777    
   0.207692       2.39640    
   0.223474       2.40386    
   0.239346       2.41087    
   0.255305       2.41710    
   0.271348       2.42175    
   0.287457       2.42398    
   0.303597       2.42190    
   0.319753       2.41492    
   0.335925       2.40754    
   0.352110       2.40131    
   0.368307       2.39654    
   0.384512       2.39323    
   0.400717       2.39137    
   0.416920       2.39090    
   0.433126       2.39114    
   0.449334       2.39148    
   0.465545       2.39168    
   0.481758       2.39170    
   0.497972       2.39139    
   0.514185       2.39064    
   0.530398       2.38963    
   0.546613       2.38847    
   0.562828       2.38724    
   0.579044       2.38600    
   0.595259       2.38467    
   0.611475       2.38334    
   0.627690       2.38198    
   0.643906       2.38047    
   0.660122       2.37881    
   0.676338       2.37704    
   0.692554       2.37500    
   0.708770       2.37273    
   0.724986       2.37021    
   0.741202       2.36737    
   0.757419       2.36423    
   0.773635       2.36073    
   0.789852       2.35680    
   0.806068       2.35239    
   0.822285       2.34738    
   0.838500       2.34168    
   0.854714       2.33513    
   0.870924       2.32754    
   0.887125       2.31862    
   0.903302       2.30803    
   0.919426       2.29524    
   0.935411       2.27960    
   0.951106       2.26015    
   0.966141       2.23596    
   0.979832       2.20469    
   0.991582       2.17049    
    1.00000       2.09630    
    1.00010       3.91360    
    1.00848       3.81297    
    1.01804       3.66887    
    1.02895       3.50170    
    1.04137       3.31521    
    1.05552       3.12922    
    1.07165       2.94071    
    1.09002       2.74984    
    1.11095       2.56038    
    1.13479       2.37618    
    1.16194       2.20088    
    1.19287       2.03760    
    1.22809       1.88867    
    1.26820       1.75546    
    1.31387       1.63829    
    1.36588       1.53661    
    1.42509       1.44921    
    1.49250       1.37458    
    1.56925       1.31112    
    1.65663       1.25734    
    1.75609       1.21189    
    1.86931       1.17370    
    1.99818       1.14096    

