#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.2500
#  Reyn  =   120000
#  Ncrit =   9.0000
#
#    x           cf
   0.160049E-01  0.159874E-02
   0.129157E-01  0.849425E-02
   0.102737E-01  0.158934E-01
   0.799905E-02  0.257733E-01
   0.603611E-02  0.376861E-01
   0.436130E-02  0.528935E-01
   0.295502E-02  0.719092E-01
   0.181024E-02  0.943305E-01
   0.925187E-03  0.122284    
   0.315300E-03  0.147459    
  -0.203094E-05  0.146777    
  -0.489050E-04  0.145359    
   0.176432E-03  0.114072    
   0.673480E-03  0.792543E-01
   0.142801E-02  0.558186E-01
   0.244116E-02  0.360631E-01
   0.371796E-02  0.219269E-01
   0.527214E-02  0.127478E-01
   0.713484E-02  0.692812E-02
   0.934685E-02  0.411080E-02
   0.119567E-01  0.427505E-02
   0.150070E-01  0.916101E-02
   0.185657E-01  0.176456E-01
   0.227411E-01  0.237974E-01
   0.276796E-01  0.238464E-01
   0.335342E-01  0.188374E-01
   0.404462E-01  0.120052E-01
   0.484919E-01  0.660021E-02
   0.577139E-01  0.246997E-02
   0.681193E-01  0.364498E-05
   0.795722E-01 -0.108298E-02
   0.917564E-01 -0.136752E-02
   0.104385     -0.143851E-02
   0.117383     -0.144237E-02
   0.130721     -0.140395E-02
   0.144321     -0.134737E-02
   0.158097     -0.128830E-02
   0.171975     -0.123296E-02
   0.185913     -0.118208E-02
   0.199927     -0.113333E-02
   0.214086     -0.107518E-02
   0.228453      0.215010E-03
   0.243042      0.266002E-02
   0.257861      0.486846E-02
   0.272913      0.638266E-02
   0.288187      0.728882E-02
   0.303633      0.780784E-02
   0.319130      0.811378E-02
   0.334607      0.824769E-02
   0.350050      0.842149E-02
   0.365447      0.860591E-02
   0.380799      0.869563E-02
   0.396113      0.867326E-02
   0.411416      0.854811E-02
   0.426742      0.834949E-02
   0.442099      0.810443E-02
   0.457488      0.782855E-02
   0.472912      0.753405E-02
   0.488367      0.723105E-02
   0.503847      0.692721E-02
   0.519335      0.662554E-02
   0.534821      0.632255E-02
   0.550302      0.601743E-02
   0.565777      0.570923E-02
   0.581246      0.539718E-02
   0.596711      0.508117E-02
   0.612180      0.476070E-02
   0.627664      0.443898E-02
   0.643165      0.411903E-02
   0.658685      0.380279E-02
   0.674223      0.349232E-02
   0.689779      0.318937E-02
   0.705348      0.289574E-02
   0.720918      0.261236E-02
   0.736483      0.233909E-02
   0.752042      0.207664E-02
   0.767593      0.182609E-02
   0.783137      0.158877E-02
   0.798674      0.136605E-02
   0.814204      0.115915E-02
   0.829730      0.969209E-03
   0.845252      0.796954E-03
   0.860768      0.642624E-03
   0.876277      0.505916E-03
   0.891771      0.385982E-03
   0.907235      0.281415E-03
   0.922630      0.190354E-03
   0.937878      0.110886E-03
   0.952861      0.605051E-04
   0.967253      0.291073E-04
   0.980435      0.698155E-05
   0.991815     -0.726063E-05
    1.00000     -0.149360E-04
    1.00010       0.00000    
    1.00848       0.00000    
    1.01804       0.00000    
    1.02895       0.00000    
    1.04137       0.00000    
    1.05552       0.00000    
    1.07165       0.00000    
    1.09002       0.00000    
    1.11095       0.00000    
    1.13479       0.00000    
    1.16194       0.00000    
    1.19287       0.00000    
    1.22809       0.00000    
    1.26820       0.00000    
    1.31387       0.00000    
    1.36588       0.00000    
    1.42509       0.00000    
    1.49250       0.00000    
    1.56925       0.00000    
    1.65663       0.00000    
    1.75609       0.00000    
    1.86931       0.00000    
    1.99818       0.00000    

   0.196318E-01  0.292348E-02
   0.239234E-01  0.508557E-02
   0.290982E-01  0.653444E-02
   0.353548E-01  0.761658E-02
   0.427460E-01  0.877556E-02
   0.514133E-01  0.875284E-02
   0.615642E-01  0.831937E-02
   0.733632E-01  0.757747E-02
   0.867055E-01  0.734031E-02
   0.100909      0.737385E-02
   0.115537      0.697610E-02
   0.130502      0.664431E-02
   0.145668      0.632799E-02
   0.160985      0.601005E-02
   0.176437      0.570813E-02
   0.192008      0.542353E-02
   0.207692      0.516616E-02
