#      x          Cp  
     1.00000    0.02087
     0.99181    0.01924
     0.98043    0.01721
     0.96725    0.01512
     0.95286    0.01260
     0.93788    0.00727
     0.92263   -0.00055
     0.90723   -0.01043
     0.89177   -0.02247
     0.87628   -0.03670
     0.86077   -0.05315
     0.84525   -0.07178
     0.82973   -0.09253
     0.81420   -0.11530
     0.79867   -0.13996
     0.78314   -0.16634
     0.76759   -0.19426
     0.75204   -0.22356
     0.73648   -0.25407
     0.72092   -0.28565
     0.70535   -0.31818
     0.68978   -0.35162
     0.67422   -0.38585
     0.65868   -0.42068
     0.64317   -0.45595
     0.62766   -0.49148
     0.61218   -0.52711
     0.59671   -0.56261
     0.58125   -0.59779
     0.56578   -0.63271
     0.55030   -0.66743
     0.53482   -0.70208
     0.51933   -0.73679
     0.50385   -0.77172
     0.48837   -0.80722
     0.47291   -0.84322
     0.45749   -0.87942
     0.44210   -0.91548
     0.42674   -0.95108
     0.41142   -0.98590
     0.39611   -1.01922
     0.38080   -1.05064
     0.36545   -1.08149
     0.35005   -1.11160
     0.33461   -1.14377
     0.31913   -1.17904
     0.30363   -1.21968
     0.28819   -1.27084
     0.27291   -1.33541
     0.25786   -1.42093
     0.24304   -1.54448
     0.22845   -1.72637
     0.21409   -1.94200
     0.19993   -1.97154
     0.18591   -2.00173
     0.17198   -2.03360
     0.15810   -2.06797
     0.14432   -2.10565
     0.13072   -2.14770
     0.11738   -2.19551
     0.10438   -2.25067
     0.09176   -2.31502
     0.07957   -2.39068
     0.06812   -2.47925
     0.05771   -2.58259
     0.04849   -2.69624
     0.04045   -2.80372
     0.03353   -2.88718
     0.02768   -2.91522
     0.02274   -2.89186
     0.01857   -2.86396
     0.01501   -2.89307
     0.01196   -2.99030
     0.00935   -3.12044
     0.00713   -3.26690
     0.00527   -3.42825
     0.00372   -3.60017
     0.00244   -3.77159
     0.00143   -3.91263
     0.00067   -3.97458
     0.00018   -3.89019
    -0.00005   -3.51543
    -0.00000   -2.86395
     0.00032   -2.08718
     0.00093   -1.25080
     0.00181   -0.56804
     0.00296   -0.05323
     0.00436    0.32865
     0.00604    0.60076
     0.00800    0.78982
     0.01027    0.91183
     0.01292    0.98550
     0.01600    1.01444
     0.01963    1.01048
     0.02392    0.98628
     0.02910    0.95384
     0.03535    0.91102
     0.04275    0.85747
     0.05141    0.80030
     0.06156    0.74811
     0.07336    0.70346
     0.08671    0.66170
     0.10091    0.61899
     0.11554    0.58113
     0.13050    0.54863
     0.14567    0.52056
     0.16099    0.49649
     0.17644    0.47584
     0.19201    0.45811
     0.20769    0.44273
     0.22347    0.42926
     0.23935    0.41742
     0.25531    0.40692
     0.27135    0.39743
     0.28746    0.38862
     0.30360    0.38006
     0.31975    0.37130
     0.33592    0.36243
     0.35211    0.35358
     0.36831    0.34482
     0.38451    0.33623
     0.40072    0.32790
     0.41692    0.31988
     0.43313    0.31216
     0.44933    0.30471
     0.46555    0.29748
     0.48176    0.29045
     0.49797    0.28357
     0.51418    0.27682
     0.53040    0.27017
     0.54661    0.26361
     0.56283    0.25715
     0.57904    0.25077
     0.59526    0.24447
     0.61147    0.23823
     0.62769    0.23206
     0.64391    0.22593
     0.66012    0.21983
     0.67634    0.21376
     0.69255    0.20769
     0.70877    0.20160
     0.72499    0.19549
     0.74120    0.18933
     0.75742    0.18311
     0.77364    0.17680
     0.78985    0.17038
     0.80607    0.16382
     0.82228    0.15708
     0.83850    0.15012
     0.85471    0.14288
     0.87092    0.13529
     0.88712    0.12725
     0.90330    0.11864
     0.91943    0.10930
     0.93541    0.09902
     0.95111    0.08752
     0.96614    0.07456
     0.97983    0.05985
     0.99158    0.04417
     1.00000    0.02087
