#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.0000
#  Reyn  =    80000
#  Ncrit =   9.0000
#
#    x           rt
   0.405932E-02   3.99102    
   0.189466E-02   4.03860    
   0.741624E-03   6.00430    
   0.294914E-03   10.6623    
   0.470165E-03   17.3884    
   0.134956E-02   23.8962    
   0.349060E-02   28.8975    
   0.818671E-02   32.8544    
   0.154453E-01   37.0267    
   0.240714E-01   40.2964    
   0.350669E-01   44.1009    
   0.467636E-01   48.1020    
   0.585474E-01   52.0075    
   0.708685E-01   56.0760    
   0.835506E-01   60.3540    
   0.963483E-01   85.3680    
   0.109249       244.368    
   0.122283       341.619    
   0.135435       425.932    
   0.148673       502.377    
   0.161972       574.060    
   0.175315       642.449    
   0.188698       708.618    
   0.202120       772.958    
   0.215584       833.157    
   0.229085       886.566    
   0.242612       936.107    
   0.256154       982.367    
   0.269708       1025.90    
   0.283279       1067.21    
   0.296871       1106.72    
   0.310484       1144.76    
   0.324113       1181.55    
   0.337747       1217.32    
   0.351383       1252.30    
   0.365023       1286.67    
   0.378672       1320.60    
   0.392335       1354.21    
   0.406010       1387.55    
   0.419689       1420.67    
   0.433364       1453.66    
   0.447032       1486.59    
   0.460696       1519.56    
   0.474365       1552.65    
   0.488042       1585.85    
   0.501729       1619.15    
   0.515418       1652.52    
   0.529101       1685.95    
   0.542774       1719.48    
   0.556438       1753.11    
   0.570101       1786.86    
   0.583768       1820.69    
   0.597438       1854.53    
   0.611106       1888.32    
   0.624762       1921.99    
   0.638404       1955.52    
   0.652035       1988.86    
   0.665663       2021.95    
   0.679293       2054.71    
   0.692923       2087.02    
   0.706545       2118.75    
   0.720144       2149.78    
   0.733720       2180.04    
   0.747278       2209.41    
   0.760831       2237.79    
   0.774382       2265.03    
   0.787922       2290.94    
   0.801434       2315.36    
   0.814909       2336.94    
   0.828352       2353.51    
   0.841777       2367.30    
   0.855179       2379.94    
   0.868536       2392.28    
   0.881823       2404.63    
   0.895040       2417.10    
   0.908200       2429.72    
   0.921291       2442.50    
   0.934250       2455.28    
   0.946929       2467.81    
   0.959123       2479.69    
   0.970693       2490.69    
   0.981826       2501.09    
   0.992841       2512.04    
    1.00000       2522.07    
    1.00009       2590.21    
    1.00766       2604.74    
    1.01648       2627.91    
    1.02665       2655.61    
    1.03835       2688.43    
    1.05178       2727.01    
    1.06718       2772.26    
    1.08483       2825.28    
    1.10504       2887.44    
    1.12819       2960.38    
    1.15469       3046.14    
    1.18500       3147.24    
    1.21967       3266.85    
    1.25933       3409.16    
    1.30466       3579.93    
    1.35648       3787.82    
    1.41571       4045.58    
    1.48338       4339.17    
    1.56069       4614.27    
    1.64901       4903.82    
    1.74989       5230.10    
    1.86510       5641.04    
    1.99667       6327.08    

   0.102334E-01  0.387092    
   0.191451E-01   5.42809    
   0.262268E-01   7.96831    
   0.367541E-01   11.9204    
   0.476973E-01   15.7022    
   0.602329E-01   19.6692    
   0.724928E-01   23.2321    
   0.856413E-01   26.7923    
   0.989500E-01   30.1692    
   0.112341       33.3834    
   0.125962       36.4828    
   0.139477       39.4124    
   0.153073       42.2350    
   0.166778       44.9612    
   0.180510       47.5907    
   0.194217       50.1281    
   0.207889       52.5836    
   0.221546       54.9652    
   0.235205       57.2766    
   0.248873       59.5168    
   0.262552       61.6872    
   0.276239       63.8012    
   0.289931       65.8689    
   0.303625       67.9020    
   0.317316       69.9008    
   0.331004       71.8577    
   0.344690       73.7674    
   0.358377       75.6225    
   0.372068       77.4283    
   0.385767       79.1962    
   0.399473       80.9347    
   0.413182       82.6547    
   0.426890       84.3552    
   0.440594       86.0273    
   0.454294       87.6650    
   0.467993       89.2603    
   0.481693       90.8125    
   0.495398       92.3313    
   0.509108       93.8245    
   0.522822       95.3009    
   0.536533       96.7666    
   0.550240       98.2122    
   0.563940       99.6293    
   0.577634       101.010    
   0.591326       102.346    
   0.605021       103.644    
   0.618718       104.913    
   0.632416       106.162    
   0.646113       107.403    
   0.659802       108.630    
   0.673482       109.834    
   0.687152       111.005    
   0.700816       112.137    
   0.714478       113.230    
   0.728138       114.294    
   0.741793       115.338    
   0.755436       116.376    
   0.769059       117.393    
   0.782661       118.369    
   0.796244       119.285    
   0.809818       120.133    
   0.823384       120.926    
   0.836936       121.678    
   0.850453       122.415    
   0.863916       123.101    
   0.877328       123.690    
   0.890716       124.160    
   0.904091       124.476    
   0.917390       124.620    
   0.930475       124.572    
   0.943302       123.918    
   0.956038       122.164    
   0.968703       118.756    
   0.980643       113.228    
   0.992223       105.361    
    1.00000       68.1350    
    1.00009       2590.21    
    1.00766       2604.74    
    1.01648       2627.91    
    1.02665       2655.61    
    1.03835       2688.43    
    1.05178       2727.01    
    1.06718       2772.26    
    1.08483       2825.28    
    1.10504       2887.44    
    1.12819       2960.38    
    1.15469       3046.14    
    1.18500       3147.24    
    1.21967       3266.85    
    1.25933       3409.16    
    1.30466       3579.93    
    1.35648       3787.82    
    1.41571       4045.58    
    1.48338       4339.17    
    1.56069       4614.27    
    1.64901       4903.82    
    1.74989       5230.10    
    1.86510       5641.04    
    1.99667       6327.08    

