#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.0000
#  Reyn  =    80000
#  Ncrit =   9.0000
#
#    x           dB
   0.102334E-01  0.267084E-03
   0.191451E-01  0.618291E-03
   0.262268E-01  0.645479E-03
   0.367541E-01  0.822797E-03
   0.476973E-01  0.948360E-03
   0.602329E-01  0.110956E-02
   0.724928E-01  0.124289E-02
   0.856413E-01  0.137982E-02
   0.989500E-01  0.150936E-02
   0.112341      0.163357E-02
   0.125962      0.175290E-02
   0.139477      0.186555E-02
   0.153073      0.197429E-02
   0.166778      0.207869E-02
   0.180510      0.217935E-02
   0.194217      0.227688E-02
   0.207889      0.237183E-02
   0.221546      0.246405E-02
   0.235205      0.255312E-02
   0.248873      0.263830E-02
   0.262552      0.271947E-02
   0.276239      0.279831E-02
   0.289931      0.287589E-02
   0.303625      0.295343E-02
   0.317316      0.303052E-02
   0.331004      0.310569E-02
   0.344690      0.317798E-02
   0.358377      0.324619E-02
   0.372068      0.331103E-02
   0.385767      0.337406E-02
   0.399473      0.343635E-02
   0.413182      0.349918E-02
   0.426890      0.356217E-02
   0.440594      0.362383E-02
   0.454294      0.368316E-02
   0.467993      0.373900E-02
   0.481693      0.379124E-02
   0.495398      0.384131E-02
   0.509108      0.389023E-02
   0.522822      0.393918E-02
   0.536533      0.398885E-02
   0.550240      0.403771E-02
   0.563940      0.408455E-02
   0.577634      0.412821E-02
   0.591326      0.416755E-02
   0.605021      0.420366E-02
   0.618718      0.423785E-02
   0.632416      0.427130E-02
   0.646113      0.430546E-02
   0.659802      0.433955E-02
   0.673482      0.437208E-02
   0.687152      0.440194E-02
   0.700816      0.442797E-02
   0.714478      0.445060E-02
   0.728138      0.447112E-02
   0.741793      0.449080E-02
   0.755436      0.451131E-02
   0.769059      0.453066E-02
   0.782661      0.454621E-02
   0.796244      0.455591E-02
   0.809818      0.455878E-02
   0.823384      0.455676E-02
   0.836936      0.455198E-02
   0.850453      0.454760E-02
   0.863916      0.453939E-02
   0.877328      0.452221E-02
   0.890716      0.449373E-02
   0.904091      0.445123E-02
   0.917390      0.439411E-02
   0.930475      0.432252E-02
   0.943302      0.419678E-02
   0.956038      0.397977E-02
   0.968703      0.364813E-02
   0.980643      0.320844E-02
   0.992223      0.269488E-02
    1.00000      0.114176E-02
    1.00009      0.143482    
    1.00766      0.149589    
    1.01648      0.152595    
    1.02665      0.155349    
    1.03835      0.157899    
    1.05178      0.160321    
    1.06718      0.162628    
    1.08483      0.164813    
    1.10504      0.166849    
    1.12819      0.168694    
    1.15469      0.170297    
    1.18500      0.171594    
    1.21967      0.172511    
    1.25933      0.172976    
    1.30466      0.172931    
    1.35648      0.172364    
    1.41571      0.171387    
    1.48338      0.170194    
    1.56069      0.169207    
