#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.0000
#  Reyn  =    80000
#  Ncrit =   9.0000
#
#    x           dT
   0.405932E-02  0.267084E-03
   0.189466E-02  0.104885E-03
   0.741624E-03  0.844434E-04
   0.294914E-03  0.164074E-03
   0.470165E-03  0.321187E-03
   0.134956E-02  0.560501E-03
   0.349060E-02  0.145262E-02
   0.818671E-02  0.333212E-02
   0.154453E-01  0.529271E-02
   0.240714E-01  0.763967E-02
   0.350669E-01  0.102446E-01
   0.467636E-01  0.125946E-01
   0.585474E-01  0.146641E-01
   0.708685E-01  0.164981E-01
   0.835506E-01  0.180048E-01
   0.963483E-01  0.191920E-01
   0.109249      0.204860E-01
   0.122283      0.213885E-01
   0.135435      0.221156E-01
   0.148673      0.227256E-01
   0.161972      0.232491E-01
   0.175315      0.237121E-01
   0.188698      0.241400E-01
   0.202120      0.245531E-01
   0.215584      0.249564E-01
   0.229085      0.253480E-01
   0.242612      0.257459E-01
   0.256154      0.261596E-01
   0.269708      0.265969E-01
   0.283279      0.270639E-01
   0.296871      0.275622E-01
   0.310484      0.280916E-01
   0.324113      0.286508E-01
   0.337747      0.292420E-01
   0.351383      0.298693E-01
   0.365023      0.305363E-01
   0.378672      0.312452E-01
   0.392335      0.319953E-01
   0.406010      0.327853E-01
   0.419689      0.336138E-01
   0.433364      0.344845E-01
   0.447032      0.354023E-01
   0.460696      0.363724E-01
   0.474365      0.373981E-01
   0.488042      0.384785E-01
   0.501729      0.396126E-01
   0.515418      0.407990E-01
   0.529101      0.420406E-01
   0.542774      0.433423E-01
   0.556438      0.447091E-01
   0.570101      0.461452E-01
   0.583768      0.476511E-01
   0.597438      0.492267E-01
   0.611106      0.508712E-01
   0.624762      0.525871E-01
   0.638404      0.543795E-01
   0.652035      0.562534E-01
   0.665663      0.582132E-01
   0.679293      0.602581E-01
   0.692923      0.623868E-01
   0.706545      0.645962E-01
   0.720144      0.668900E-01
   0.733720      0.692743E-01
   0.747278      0.717560E-01
   0.760831      0.743378E-01
   0.774382      0.770170E-01
   0.787922      0.797886E-01
   0.801434      0.826524E-01
   0.814909      0.856057E-01
   0.828352      0.886389E-01
   0.841777      0.917721E-01
   0.855179      0.950151E-01
   0.868536      0.983689E-01
   0.881823      0.101845    
   0.895040      0.105458    
   0.908200      0.109224    
   0.921291      0.113141    
   0.934250      0.117221    
   0.946929      0.121473    
   0.959123      0.125933    
   0.970693      0.130661    
   0.981826      0.135733    
   0.992841      0.140780    
    1.00000      0.142340    
    1.00009      0.143482    
    1.00766      0.149589    
    1.01648      0.152595    
    1.02665      0.155349    
    1.03835      0.157899    
    1.05178      0.160321    
    1.06718      0.162628    
    1.08483      0.164813    
    1.10504      0.166849    
    1.12819      0.168694    
    1.15469      0.170297    
    1.18500      0.171594    
    1.21967      0.172511    
    1.25933      0.172976    
    1.30466      0.172931    
    1.35648      0.172364    
    1.41571      0.171387    
    1.48338      0.170194    
    1.56069      0.169207    
    1.64901      0.169742    
    1.74989      0.174224    
    1.86510      0.187350    
    1.99667      0.251372    

   0.405932E-02  0.119795E-03
   0.189466E-02  0.487902E-04
   0.741624E-03  0.379457E-04
   0.294914E-03  0.599712E-04
   0.470165E-03  0.104574E-03
   0.134956E-02  0.152804E-03
   0.349060E-02  0.190598E-03
   0.818671E-02  0.219456E-03
   0.154453E-01  0.249269E-03
   0.240714E-01  0.272469E-03
   0.350669E-01  0.299293E-03
   0.467636E-01  0.327419E-03
   0.585474E-01  0.354855E-03
   0.708685E-01  0.383443E-03
   0.835506E-01  0.413528E-03
   0.963483E-01  0.590312E-03
   0.109249      0.176879E-02
   0.122283      0.254943E-02
   0.135435      0.326151E-02
   0.148673      0.393528E-02
   0.161972      0.459135E-02
   0.175315      0.523925E-02
   0.188698      0.588656E-02
   0.202120      0.653528E-02
   0.215584      0.715944E-02
   0.229085      0.772700E-02
   0.242612      0.826488E-02
   0.256154      0.877690E-02
   0.269708      0.926712E-02
   0.283279      0.973971E-02
   0.296871      0.101982E-01
   0.310484      0.106453E-01
   0.324113      0.110831E-01
   0.337747      0.115137E-01
   0.351383      0.119389E-01
   0.365023      0.123610E-01
   0.378672      0.127816E-01
   0.392335      0.132018E-01
   0.406010      0.136221E-01
   0.419689      0.140430E-01
