#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.0000
#  Reyn  =    80000
#  Ncrit =   9.0000
#
#    x           cd
   0.405932E-02  0.373139E-02
   0.189466E-02  0.599525E-01
   0.741624E-03  0.266522    
   0.294914E-03  0.172527    
   0.470165E-03  0.830439E-01
   0.134956E-02  0.494922E-01
   0.349060E-02  0.347322E-01
   0.818671E-02  0.245673E-01
   0.154453E-01  0.207070E-01
   0.240714E-01  0.191131E-01
   0.350669E-01  0.178307E-01
   0.467636E-01  0.166140E-01
   0.585474E-01  0.155271E-01
   0.708685E-01  0.144606E-01
   0.835506E-01  0.133977E-01
   0.963483E-01  0.346246    
   0.109249      0.174127    
   0.122283      0.130847    
   0.135435      0.105822    
   0.148673      0.883982E-01
   0.161972      0.754082E-01
   0.175315      0.652776E-01
   0.188698      0.571191E-01
   0.202120      0.504091E-01
   0.215584      0.448890E-01
   0.229085      0.403844E-01
   0.242612      0.366221E-01
   0.256154      0.334511E-01
   0.269708      0.307554E-01
   0.283279      0.284447E-01
   0.296871      0.264477E-01
   0.310484      0.247096E-01
   0.324113      0.231871E-01
   0.337747      0.218467E-01
   0.351383      0.206613E-01
   0.365023      0.196081E-01
   0.378672      0.186679E-01
   0.392335      0.178248E-01
   0.406010      0.170658E-01
   0.419689      0.163803E-01
   0.433364      0.157600E-01
   0.447032      0.151976E-01
   0.460696      0.146869E-01
   0.474365      0.142220E-01
   0.488042      0.137978E-01
   0.501729      0.134100E-01
   0.515418      0.130550E-01
   0.529101      0.127300E-01
   0.542774      0.124327E-01
   0.556438      0.121608E-01
   0.570101      0.119124E-01
   0.583768      0.116852E-01
   0.597438      0.114777E-01
   0.611106      0.112883E-01
   0.624762      0.111161E-01
   0.638404      0.109600E-01
   0.652035      0.108193E-01
   0.665663      0.106930E-01
   0.679293      0.105802E-01
   0.692923      0.104799E-01
   0.706545      0.103917E-01
   0.720144      0.103151E-01
   0.733720      0.102499E-01
   0.747278      0.101959E-01
   0.760831      0.101527E-01
   0.774382      0.101198E-01
   0.787922      0.100968E-01
   0.801434      0.100838E-01
   0.814909      0.100837E-01
   0.828352      0.101018E-01
   0.841777      0.101323E-01
   0.855179      0.101711E-01
   0.868536      0.102158E-01
   0.881823      0.102655E-01
   0.895040      0.103201E-01
   0.908200      0.103792E-01
   0.921291      0.104425E-01
   0.934250      0.105100E-01
   0.946929      0.105820E-01
   0.959123      0.106592E-01
   0.970693      0.107425E-01
   0.981826      0.108321E-01
   0.992841      0.109194E-01
    1.00000      0.109424E-01
    1.00009      0.206588E-01
    1.00766      0.208663E-01
    1.01648      0.209652E-01
    1.02665      0.210534E-01
    1.03835      0.211313E-01
    1.05178      0.211994E-01
    1.06718      0.212550E-01
    1.08483      0.212935E-01
    1.10504      0.213080E-01
    1.12819      0.212888E-01
    1.15469      0.212231E-01
    1.18500      0.210937E-01
    1.21967      0.208784E-01
    1.25933      0.205486E-01
    1.30466      0.200682E-01
    1.35648      0.193922E-01
    1.41571      0.184702E-01
    1.48338      0.173401E-01
    1.56069      0.161738E-01
    1.64901      0.149656E-01
    1.74989      0.138028E-01
    1.86510      0.128083E-01
    1.99667      0.128075E-01

   0.102334E-01  0.351489E-04
   0.191451E-01  0.601371E-03
   0.262268E-01  0.103947E-02
   0.367541E-01  0.124074E-02
   0.476973E-01  0.136361E-02
   0.602329E-01  0.137534E-02
   0.724928E-01  0.136969E-02
   0.856413E-01  0.134286E-02
   0.989500E-01  0.130960E-02
   0.112341      0.127301E-02
   0.125962      0.123688E-02
   0.139477      0.120274E-02
   0.153073      0.117008E-02
   0.166778      0.113981E-02
   0.180510      0.111147E-02
   0.194217      0.108467E-02
   0.207889      0.105917E-02
   0.221546      0.103515E-02
   0.235205      0.101288E-02
   0.248873      0.992667E-03
   0.262552      0.974492E-03
   0.276239      0.957515E-03
   0.289931      0.941230E-03
   0.303625      0.925127E-03
   0.317316      0.909372E-03
   0.331004      0.894503E-03
   0.344690      0.880819E-03
   0.358377      0.868678E-03
   0.372068      0.857780E-03
   0.385767      0.847586E-03
   0.399473      0.837744E-03
   0.413182      0.827849E-03
   0.426890      0.818014E-03
   0.440594      0.808642E-03
   0.454294      0.799989E-03
   0.467993      0.792339E-03
   0.481693      0.785688E-03
   0.495398      0.779652E-03
   0.509108      0.773960E-03
   0.522822      0.768312E-03
   0.536533      0.762534E-03
   0.550240      0.756976E-03
   0.563940      0.751912E-03
   0.577634      0.747591E-03
   0.591326      0.744257E-03
   0.605021      0.741664E-03
   0.618718      0.739524E-03
   0.632416      0.737570E-03
   0.646113      0.735475E-03
   0.659802      0.733402E-03
   0.673482      0.731655E-03
   0.687152      0.730473E-03
   0.700816      0.730103E-03
   0.714478      0.730463E-03
   0.728138      0.731293E-03
   0.741793      0.732323E-03
   0.755436      0.733194E-03
   0.769059      0.734319E-03
   0.782661      0.736255E-03
   0.796244      0.739468E-03
   0.809818      0.744232E-03
   0.823384      0.750198E-03
   0.836936      0.756946E-03
   0.850453      0.763773E-03
   0.863916      0.771643E-03
   0.877328      0.781862E-03
   0.890716      0.795238E-03
   0.904091      0.812839E-03
   0.917390      0.835387E-03
   0.930475      0.863541E-03
   0.943302      0.911324E-03
   0.956038      0.100032E-02
   0.968703      0.116686E-02
   0.980643      0.147313E-02
   0.992223      0.203742E-02
    1.00000      0.930437E-02
    1.00009      0.206588E-01
    1.00766      0.208663E-01
    1.01648      0.209652E-01
    1.02665      0.210534E-01
    1.03835      0.211313E-01
    1.05178      0.211994E-01
    1.06718      0.212550E-01
    1.08483      0.212935E-01
    1.10504      0.213080E-01
    1.12819      0.212888E-01
    1.15469      0.212231E-01
    1.18500      0.210937E-01
    1.21967      0.208784E-01
    1.25933      0.205486E-01
    1.30466      0.200682E-01
    1.35648      0.193922E-01
    1.41571      0.184702E-01
    1.48338      0.173401E-01
    1.56069      0.161738E-01
    1.64901      0.149656E-01
    1.74989      0.138028E-01
    1.86510      0.128083E-01
    1.99667      0.128075E-01

