#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.0000
#  Reyn  =    80000
#  Ncrit =   9.0000
#
#    x           ue
   0.405932E-02  0.416442    
   0.189466E-02   1.03469    
   0.741624E-03   1.97793    
   0.294914E-03   2.22238    
   0.470165E-03   2.07849    
   0.134956E-02   1.95481    
   0.349060E-02   1.89519    
   0.818671E-02   1.87135    
   0.154453E-01   1.85676    
   0.240714E-01   1.84867    
   0.350669E-01   1.84188    
   0.467636E-01   1.83641    
   0.585474E-01   1.83200    
   0.708685E-01   1.82804    
   0.835506E-01   1.82436    
   0.963483E-01   1.80769    
   0.109249       1.72694    
   0.122283       1.67498    
   0.135435       1.63242    
   0.148673       1.59575    
   0.161972       1.56288    
   0.175315       1.53278    
   0.188698       1.50474    
   0.202120       1.47843    
   0.215584       1.45465    
   0.229085       1.43420    
   0.242612       1.41579    
   0.256154       1.39908    
   0.269708       1.38379    
   0.283279       1.36966    
   0.296871       1.35652    
   0.310484       1.34420    
   0.324113       1.33260    
   0.337747       1.32161    
   0.351383       1.31115    
   0.365023       1.30113    
   0.378672       1.29150    
   0.392335       1.28222    
   0.406010       1.27325    
   0.419689       1.26458    
   0.433364       1.25617    
   0.447032       1.24799    
   0.460696       1.24003    
   0.474365       1.23225    
   0.488042       1.22466    
   0.501729       1.21726    
   0.515418       1.21004    
   0.529101       1.20302    
   0.542774       1.19617    
   0.556438       1.18950    
   0.570101       1.18299    
   0.583768       1.17665    
   0.597438       1.17050    
   0.611106       1.16453    
   0.624762       1.15876    
   0.638404       1.15318    
   0.652035       1.14779    
   0.665663       1.14261    
   0.679293       1.13762    
   0.692923       1.13285    
   0.706545       1.12831    
   0.720144       1.12400    
   0.733720       1.11992    
   0.747278       1.11607    
   0.760831       1.11247    
   0.774382       1.10911    
   0.787922       1.10601    
   0.801434       1.10317    
   0.814909       1.10074    
   0.828352       1.09892    
   0.841777       1.09745    
   0.855179       1.09614    
   0.868536       1.09490    
   0.881823       1.09369    
   0.895040       1.09250    
   0.908200       1.09133    
   0.921291       1.09018    
   0.934250       1.08906    
   0.946929       1.08800    
   0.959123       1.08702    
   0.970693       1.08615    
   0.981826       1.08534    
   0.992841       1.08452    
    1.00000       1.08379    
    1.00009       1.08379    
    1.00766       1.08276    
    1.01648       1.08116    
    1.02665       1.07928    
    1.03835       1.07710    
    1.05178       1.07457    
    1.06718       1.07164    
    1.08483       1.06827    
    1.10504       1.06437    
    1.12819       1.05986    
    1.15469       1.05463    
    1.18500       1.04855    
    1.21967       1.04144    
    1.25933       1.03309    
    1.30466       1.02319    
    1.35648       1.01127    
    1.41571      0.996678    
    1.48338      0.980294    
    1.56069      0.965171    
    1.64901      0.949552    
    1.74989      0.932512    
    1.86510      0.912316    
    1.99667      0.883818    

   0.102334E-01  0.403910E-01
   0.191451E-01  0.256762    
   0.262268E-01  0.340779    
   0.367541E-01  0.425735    
   0.476973E-01  0.477892    
   0.602329E-01  0.520464    
   0.724928E-01  0.549847    
   0.856413E-01  0.573971    
   0.989500E-01  0.593067    
   0.112341      0.608518    
   0.125962      0.621499    
   0.139477      0.632375    
   0.153073      0.641760    
   0.166778      0.650018    
   0.180510      0.657317    
   0.194217      0.663784    
   0.207889      0.669538    
   0.221546      0.674706    
   0.235205      0.679408    
   0.248873      0.683751    
   0.262552      0.687819    
   0.276239      0.691626    
   0.289931      0.695178    
   0.303625      0.698464    
   0.317316      0.701503    
   0.331004      0.704345    
   0.344690      0.707041    
   0.358377      0.709647    
   0.372068      0.712183    
   0.385767      0.714639    
   0.399473      0.717002    
   0.413182      0.719247    
   0.426890      0.721379    
   0.440594      0.723425    
   0.454294      0.725414    
   0.467993      0.727382    
   0.481693      0.729347    
   0.495398      0.731300    
   0.509108      0.733229    
   0.522822      0.735115    
   0.536533      0.736940    
   0.550240      0.738726    
   0.563940      0.740495    
   0.577634      0.742276    
   0.591326      0.744097    
   0.605021      0.745954    
   0.618718      0.747836    
   0.632416      0.749724    
   0.646113      0.751593    
   0.659802      0.753449    
   0.673482      0.755313    
   0.687152      0.757207    
   0.700816      0.759156    
   0.714478      0.761164    
   0.728138      0.763218    
   0.741793      0.765302    
   0.755436      0.767384    
   0.769059      0.769490    
   0.782661      0.771665    
   0.796244      0.773952    
   0.809818      0.776388    
   0.823384      0.778961    
   0.836936      0.781647    
   0.850453      0.784393    
   0.863916      0.787264    
   0.877328      0.790364    
   0.890716      0.793775    
   0.904091      0.797603    
   0.917390      0.801914    
   0.930475      0.806752    
   0.943302      0.813072    
   0.956038      0.822358    
   0.968703      0.836739    
   0.980643      0.858767    
   0.992223      0.892765    
    1.00000       1.08379    
    1.00009       1.08379    
    1.00766       1.08276    
    1.01648       1.08116    
    1.02665       1.07928    
    1.03835       1.07710    
    1.05178       1.07457    
    1.06718       1.07164    
    1.08483       1.06827    
    1.10504       1.06437    
    1.12819       1.05986    
    1.15469       1.05463    
    1.18500       1.04855    
    1.21967       1.04144    
    1.25933       1.03309    
    1.30466       1.02319    
    1.35648       1.01127    
    1.41571      0.996678    
    1.48338      0.980294    
    1.56069      0.965171    
    1.64901      0.949552    
    1.74989      0.932512    
    1.86510      0.912316    
    1.99667      0.883818    

