#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.0000
#  Reyn  =    80000
#  Ncrit =   9.0000
#
#    x           hk
   0.405932E-02   2.22951    
   0.189466E-02   2.14971    
   0.741624E-03   2.22538    
   0.294914E-03   2.73587    
   0.470165E-03   3.07138    
   0.134956E-02   3.66811    
   0.349060E-02   7.62139    
   0.818671E-02   15.1836    
   0.154453E-01   21.2329    
   0.240714E-01   28.0387    
   0.350669E-01   34.2293    
   0.467636E-01   38.4663    
   0.585474E-01   41.3243    
   0.708685E-01   43.0262    
   0.835506E-01   43.5396    
   0.963483E-01   32.5116    
   0.109249       11.5819    
   0.122283       8.38951    
   0.135435       6.78077    
   0.148673       5.77483    
   0.161972       5.06367    
   0.175315       4.52585    
   0.188698       4.10087    
   0.202120       3.75700    
   0.215584       3.48581    
   0.229085       3.28045    
   0.242612       3.11510    
   0.256154       2.98050    
   0.269708       2.87003    
   0.283279       2.77872    
   0.296871       2.70266    
   0.310484       2.63887    
   0.324113       2.58508    
   0.337747       2.53977    
   0.351383       2.50184    
   0.365023       2.47037    
   0.378672       2.44454    
   0.392335       2.42356    
   0.406010       2.40676    
   0.419689       2.39364    
   0.433364       2.38396    
   0.447032       2.37762    
   0.460696       2.37451    
   0.474365       2.37445    
   0.488042       2.37717    
   0.501729       2.38241    
   0.515418       2.38998    
   0.529101       2.39985    
   0.542774       2.41212    
   0.556438       2.42683    
   0.570101       2.44403    
   0.583768       2.46364    
   0.597438       2.48558    
   0.611106       2.50979    
   0.624762       2.53636    
   0.638404       2.56542    
   0.652035       2.59716    
   0.665663       2.63170    
   0.679293       2.66903    
   0.692923       2.70913    
   0.706545       2.75199    
   0.720144       2.79784    
   0.733720       2.84698    
   0.747278       2.89977    
   0.760831       2.95643    
   0.774382       3.01702    
   0.787922       3.08159    
   0.801434       3.15043    
   0.814909       3.22573    
   0.828352       3.31103    
   0.841777       3.40356    
   0.855179       3.50092    
   0.868536       3.60171    
   0.881823       3.70572    
   0.895040       3.81327    
   0.908200       3.92469    
   0.921291       4.03992    
   0.934250       4.15954    
   0.946929       4.28440    
   0.959123       4.41642    
   0.970693       4.55832    
   0.981826       4.71211    
   0.992841       4.86230    
    1.00000       4.89333    
    1.00009       4.80283    
    1.00766       4.97459    
    1.01648       5.02239    
    1.02665       5.05090    
    1.03835       5.06089    
    1.05178       5.05389    
    1.06718       5.02925    
    1.08483       4.98541    
    1.10504       4.92032    
    1.12819       4.83161    
    1.15469       4.71681    
    1.18500       4.57352    
    1.21967       4.39960    
    1.25933       4.19343    
    1.30466       3.95406    
    1.35648       3.68142    
    1.41571       3.37786    
    1.48338       3.07599    
    1.56069       2.83145    
    1.64901       2.62945    
    1.74989       2.48510    
    1.86510       2.42398    
    1.99667       2.80909    

   0.102334E-01   2.22951    
   0.191451E-01   2.33973    
   0.262268E-01   2.20841    
   0.367541E-01   2.35088    
   0.476973E-01   2.30904    
   0.602329E-01   2.34880    
   0.724928E-01   2.35329    
   0.856413E-01   2.36479    
   0.989500E-01   2.37369    
   0.112341       2.38216    
   0.125962       2.38891    
   0.139477       2.39463    
   0.153073       2.39994    
   0.166778       2.40418    
   0.180510       2.40807    
   0.194217       2.41200    
   0.207889       2.41601    
   0.221546       2.41973    
   0.235205       2.42278    
   0.248873       2.42479    
   0.262552       2.42579    
   0.276239       2.42677    
   0.289931       2.42816    
   0.303625       2.43040    
   0.317316       2.43307    
   0.331004       2.43535    
   0.344690       2.43681    
   0.358377       2.43700    
   0.372068       2.43638    
   0.385767       2.43571    
   0.399473       2.43541    
   0.413182       2.43594    
   0.426890       2.43700    
   0.440594       2.43789    
   0.454294       2.43821    
   0.467993       2.43753    
   0.481693       2.43590    
   0.495398       2.43398    
   0.509108       2.43215    
   0.522822       2.43083    
   0.536533       2.43021    
   0.550240       2.42965    
   0.563940       2.42868    
   0.577634       2.42691    
   0.591326       2.42399    
   0.605021       2.42040    
   0.618718       2.41665    
   0.632416       2.41314    
   0.646113       2.41033    
   0.659802       2.40790    
   0.673482       2.40531    
   0.687152       2.40218    
   0.700816       2.39816    
   0.714478       2.39346    
   0.728138       2.38854    
   0.741793       2.38382    
   0.755436       2.37980    
   0.769059       2.37581    
   0.782661       2.37100    
   0.796244       2.36479    
   0.809818       2.35697    
   0.823384       2.34824    
   0.836936       2.33932    
   0.850453       2.33116    
   0.863916       2.32246    
   0.877328       2.31170    
   0.890716       2.29834    
   0.904091       2.28176    
   0.917390       2.26204    
   0.930475       2.23947    
   0.943302       2.20294    
   0.956038       2.14322    
   0.968703       2.05634    
   0.980643       1.94673    
   0.992223       1.82678    
    1.00000       1.45291    
    1.00009       4.80283    
    1.00766       4.97459    
    1.01648       5.02239    
    1.02665       5.05090    
    1.03835       5.06089    
    1.05178       5.05389    
    1.06718       5.02925    
    1.08483       4.98541    
    1.10504       4.92032    
    1.12819       4.83161    
    1.15469       4.71681    
    1.18500       4.57352    
    1.21967       4.39960    
    1.25933       4.19343    
    1.30466       3.95406    
    1.35648       3.68142    
    1.41571       3.37786    
    1.48338       3.07599    
    1.56069       2.83145    
    1.64901       2.62945    
    1.74989       2.48510    
    1.86510       2.42398    
    1.99667       2.80909    

