#  RDEF xfoil_parameters.def                       
#  alpha =  10.0000
#  Mach  =   0.0000
#  Reyn  =    80000
#  Ncrit =   9.0000
#
#    x           cf
   0.405932E-02  0.311735E-01
   0.189466E-02  0.211519    
   0.741624E-03  0.470069    
   0.294914E-03  0.157949    
   0.470165E-03  0.461647E-01
   0.134956E-02  0.412224E-02
   0.349060E-02 -0.783917E-02
   0.818671E-02 -0.614754E-02
   0.154453E-01 -0.528278E-02
   0.240714E-01 -0.477017E-02
   0.350669E-01 -0.430708E-02
   0.467636E-01 -0.391686E-02
   0.585474E-01 -0.360106E-02
   0.708685E-01 -0.332330E-02
   0.835506E-01 -0.307478E-02
   0.963483E-01 -0.718849E-03
   0.109249     -0.656085E-03
   0.122283     -0.506959E-03
   0.135435     -0.408394E-03
   0.148673     -0.351314E-03
   0.161972     -0.293710E-03
   0.175315     -0.211748E-03
   0.188698     -0.993296E-04
   0.202120      0.303759E-04
   0.215584      0.158006E-03
   0.229085      0.267873E-03
   0.242612      0.371200E-03
   0.256154      0.499885E-03
   0.269708      0.614333E-03
   0.283279      0.715088E-03
   0.296871      0.802951E-03
   0.310484      0.878739E-03
   0.324113      0.943339E-03
   0.337747      0.997207E-03
   0.351383      0.104062E-02
   0.365023      0.107399E-02
   0.378672      0.109797E-02
   0.392335      0.111355E-02
   0.406010      0.112167E-02
   0.419689      0.112321E-02
   0.433364      0.111852E-02
   0.447032      0.110784E-02
   0.460696      0.109149E-02
   0.474365      0.106996E-02
   0.488042      0.104410E-02
   0.501729      0.101467E-02
   0.515418      0.982346E-03
   0.529101      0.947445E-03
   0.542774      0.910151E-03
   0.556438      0.870695E-03
   0.570101      0.829369E-03
   0.583768      0.786686E-03
   0.597438      0.743101E-03
   0.611106      0.699048E-03
   0.624762      0.654731E-03
   0.638404      0.610258E-03
   0.652035      0.565747E-03
   0.665663      0.521369E-03
   0.679293      0.477443E-03
   0.692923      0.434240E-03
   0.706545      0.391991E-03
   0.720144      0.350691E-03
   0.733720      0.310268E-03
   0.747278      0.270651E-03
   0.760831      0.231876E-03
   0.774382      0.194041E-03
   0.787922      0.157219E-03
   0.801434      0.121345E-03
   0.814909      0.855673E-04
   0.828352      0.547534E-04
   0.841777      0.417004E-04
   0.855179      0.297364E-04
   0.868536      0.190159E-04
   0.881823      0.951884E-05
   0.895040      0.117863E-05
   0.908200     -0.606471E-05
   0.921291     -0.122484E-04
   0.934250     -0.174500E-04
   0.946929     -0.217481E-04
   0.959123     -0.252392E-04
   0.970693     -0.279986E-04
   0.981826     -0.300497E-04
   0.992841     -0.312796E-04
    1.00000     -0.313273E-04
    1.00009       0.00000    
    1.00766       0.00000    
    1.01648       0.00000    
    1.02665       0.00000    
    1.03835       0.00000    
    1.05178       0.00000    
    1.06718       0.00000    
    1.08483       0.00000    
    1.10504       0.00000    
    1.12819       0.00000    
    1.15469       0.00000    
    1.18500       0.00000    
    1.21967       0.00000    
    1.25933       0.00000    
    1.30466       0.00000    
    1.35648       0.00000    
    1.41571       0.00000    
    1.48338       0.00000    
    1.56069       0.00000    
    1.64901       0.00000    
    1.74989       0.00000    
    1.86510       0.00000    
    1.99667       0.00000    

   0.102334E-01  0.302556E-02
   0.191451E-01  0.749472E-02
   0.262268E-01  0.107576E-01
   0.367541E-01  0.923800E-02
   0.476973E-01  0.936432E-02
   0.602329E-01  0.839156E-02
   0.724928E-01  0.787991E-02
   0.856413E-01  0.732670E-02
   0.989500E-01  0.686053E-02
   0.112341      0.644994E-02
   0.125962      0.609809E-02
   0.139477      0.579696E-02
   0.153073      0.552956E-02
   0.166778      0.529686E-02
   0.180510      0.508899E-02
   0.194217      0.489948E-02
   0.207889      0.472496E-02
   0.221546      0.456599E-02
   0.235205      0.442367E-02
   0.248873      0.429944E-02
   0.262552      0.419164E-02
   0.276239      0.409201E-02
   0.289931      0.399640E-02
   0.303625      0.390093E-02
   0.317316      0.380783E-02
   0.331004      0.372205E-02
   0.344690      0.364583E-02
   0.358377      0.358170E-02
   0.372068      0.352633E-02
   0.385767      0.347476E-02
   0.399473      0.342412E-02
   0.413182      0.337133E-02
   0.426890      0.331794E-02
   0.440594      0.326775E-02
   0.454294      0.322290E-02
   0.467993      0.318561E-02
   0.481693      0.315546E-02
   0.495398      0.312883E-02
   0.509108      0.310344E-02
   0.522822      0.307689E-02
   0.536533      0.304803E-02
   0.550240      0.302017E-02
   0.563940      0.299566E-02
   0.577634      0.297648E-02
   0.591326      0.296441E-02
   0.605021      0.295703E-02
   0.618718      0.295178E-02
   0.632416      0.294650E-02
   0.646113      0.293869E-02
   0.659802      0.292997E-02
   0.673482      0.292298E-02
   0.687152      0.291958E-02
   0.700816      0.292162E-02
   0.714478      0.292815E-02
   0.728138      0.293692E-02
   0.741793      0.294578E-02
   0.755436      0.295206E-02
   0.769059      0.295919E-02
   0.782661      0.297144E-02
   0.796244      0.299206E-02
   0.809818      0.302259E-02
   0.823384      0.305978E-02
   0.836936      0.310017E-02
