#      x          Cp  
     1.00000   -0.17459
     0.99284   -0.17619
     0.98183   -0.17797
     0.97069   -0.17972
     0.95912   -0.18162
     0.94693   -0.18375
     0.93425   -0.18606
     0.92129   -0.18849
     0.90820   -0.19100
     0.89504   -0.19355
     0.88182   -0.19615
     0.86854   -0.19880
     0.85518   -0.20152
     0.84178   -0.20440
     0.82835   -0.20762
     0.81491   -0.21162
     0.80143   -0.21699
     0.78792   -0.22326
     0.77438   -0.23013
     0.76083   -0.23758
     0.74728   -0.24562
     0.73372   -0.25422
     0.72014   -0.26337
     0.70654   -0.27309
     0.69292   -0.28336
     0.67929   -0.29419
     0.66566   -0.30555
     0.65204   -0.31743
     0.63840   -0.32982
     0.62476   -0.34272
     0.61111   -0.35613
     0.59744   -0.37007
     0.58377   -0.38451
     0.57010   -0.39946
     0.55644   -0.41490
     0.54277   -0.43083
     0.52910   -0.44725
     0.51542   -0.46421
     0.50173   -0.48171
     0.48804   -0.49979
     0.47436   -0.51844
     0.46070   -0.53766
     0.44703   -0.55748
     0.43336   -0.57795
     0.41969   -0.59915
     0.40601   -0.62117
     0.39234   -0.64409
     0.37867   -0.66798
     0.36502   -0.69295
     0.35138   -0.71911
     0.33775   -0.74665
     0.32411   -0.77582
     0.31048   -0.80688
     0.29687   -0.84014
     0.28328   -0.87598
     0.26971   -0.91487
     0.25615   -0.95742
     0.24261   -1.00446
     0.22909   -1.05694
     0.21558   -1.11600
     0.20212   -1.18576
     0.18870   -1.26423
     0.17532   -1.34942
     0.16197   -1.44260
     0.14867   -1.54641
     0.13544   -1.66478
     0.12228   -1.80555
     0.10925   -1.98234
     0.09635   -2.26773
     0.08355   -2.32829
     0.07087   -2.34174
     0.05855   -2.35621
     0.04676   -2.37240
     0.03507   -2.39251
     0.02407   -2.41756
     0.01545   -2.44757
     0.00819   -2.50197
     0.00349   -2.59173
     0.00135   -2.82128
     0.00047   -3.32010
     0.00029   -3.93898
     0.00074   -2.91219
     0.00189   -0.07057
     0.00406    0.82658
     0.01023    0.99837
     0.01915    0.93407
     0.02623    0.88387
     0.03675    0.81875
     0.04770    0.77162
     0.06023    0.72912
     0.07249    0.69767
     0.08564    0.67056
     0.09895    0.64827
     0.11234    0.62971
     0.12596    0.61374
     0.13948    0.60010
     0.15307    0.58814
     0.16678    0.57748
     0.18051    0.56793
     0.19422    0.55939
     0.20789    0.55172
     0.22155    0.54477
     0.23520    0.53841
     0.24887    0.53248
     0.26255    0.52691
     0.27624    0.52165
     0.28993    0.51673
     0.30362    0.51215
     0.31732    0.50789
     0.33100    0.50390
     0.34469    0.50009
     0.35838    0.49640
     0.37207    0.49279
     0.38577    0.48929
     0.39947    0.48591
     0.41318    0.48268
     0.42689    0.47961
     0.44059    0.47666
     0.45429    0.47377
     0.46799    0.47092
     0.48169    0.46805
     0.49540    0.46520
     0.50911    0.46237
     0.52282    0.45961
     0.53653    0.45692
     0.55024    0.45428
     0.56394    0.45167
     0.57763    0.44903
     0.59133    0.44632
     0.60502    0.44355
     0.61872    0.44074
     0.63242    0.43791
     0.64611    0.43511
     0.65980    0.43231
     0.67348    0.42950
     0.68715    0.42664
     0.70082    0.42368
     0.71448    0.42063
     0.72814    0.41750
     0.74179    0.41431
     0.75544    0.41112
     0.76906    0.40789
     0.78266    0.40453
     0.79624    0.40100
     0.80982    0.39722
     0.82338    0.39322
     0.83694    0.38903
     0.85045    0.38473
     0.86392    0.38022
     0.87733    0.37533
     0.89072    0.36992
     0.90409    0.36383
     0.91739    0.35693
     0.93047    0.34915
     0.94330    0.33891
     0.95604    0.32373
     0.96870    0.29987
     0.98064    0.26252
     0.99222    0.20297
     1.00000   -0.17459
