#  RDEF xfoil_parameters.def                       
#  alpha =  -4.0000
#  Mach  =   0.2000
#  Reyn  =  2000000
#  Ncrit =   9.0000
#
#    x           rt
   0.272899E-02   1.46302    
   0.375479E-02   8.48423    
   0.498320E-02   15.6049    
   0.644308E-02   23.1389    
   0.814162E-02   30.9228    
   0.100789E-01   38.9772    
   0.122521E-01   47.2353    
   0.146557E-01   55.5736    
   0.172968E-01   64.1814    
   0.201870E-01   73.1091    
   0.233364E-01   82.3054    
   0.267527E-01   91.3196    
   0.304514E-01   100.252    
   0.344630E-01   109.787    
   0.388275E-01   120.441    
   0.435945E-01   132.669    
   0.488135E-01   145.645    
   0.545323E-01   158.631    
   0.608072E-01   172.100    
   0.677015E-01   186.425    
   0.752759E-01   201.199    
   0.835850E-01   215.446    
   0.926897E-01   230.389    
   0.102658       246.806    
   0.113579       265.095    
   0.125533       284.230    
   0.138551       303.089    
   0.152573       321.044    
   0.167420       336.828    
   0.182988       356.159    
   0.199362       378.457    
   0.216463       397.530    
   0.234042       415.453    
   0.251928       433.429    
   0.270097       451.906    
   0.288570       470.204    
   0.307293       487.446    
   0.326144       503.467    
   0.345042       519.399    
   0.363991       536.101    
   0.383038       553.059    
   0.402182       569.297    
   0.421363       584.136    
   0.440499       598.314    
   0.459532       611.938    
   0.478422       625.322    
   0.497163       639.120    
   0.515780       653.938    
   0.534288       669.301    
   0.552658       684.166    
   0.570822       698.222    
   0.588774       716.122    
   0.606645       741.523    
   0.624650       772.376    
   0.642775       799.990    
   0.660944       828.198    
   0.679284       851.774    
   0.697860       869.885    
   0.716644       886.097    
   0.735636       902.570    
   0.754936       1123.04    
   0.774554       1270.42    
   0.794292       1355.56    
   0.814087       1470.62    
   0.834121       1604.77    
   0.854259       1742.74    
   0.874340       1887.35    
   0.894162       2034.23    
   0.913404       2176.60    
   0.931707       2317.91    
   0.948740       2465.26    
   0.964293       2624.61    
   0.978234       2787.34    
   0.990533       2946.59    
    1.00000       3084.28    
    1.00010       8766.39    
    1.00944       10051.4    
    1.02006       10583.0    
    1.03210       10126.1    
    1.04573       9727.76    
    1.06113       9387.48    
    1.07856       9098.24    
    1.09825       8852.52    
    1.12050       8642.94    
    1.14565       8463.10    
    1.17406       8307.78    
    1.20616       8172.88    
    1.24243       8055.24    
    1.28340       7952.37    
    1.32968       7862.28    
    1.38196       7783.38    
    1.44101       7714.34    
    1.50771       7654.05    
    1.58304       7601.57    
    1.66813       7556.05    
    1.76423       7516.75    
    1.87277       7483.07    
    1.99535       7451.59    

   0.187803E-02   5.39454    
   0.118529E-02   11.9851    
   0.650730E-03   18.4942    
   0.273970E-03   24.8541    
   0.545870E-04   31.1671    
  -0.534063E-05   37.4549    
   0.102285E-03   43.6829    
   0.400674E-03   50.0563    
   0.923872E-03   56.8514    
   0.171354E-02   64.4543    
   0.281407E-02   74.2448    
   0.423448E-02   85.5147    
   0.596425E-02   99.4579    
   0.799071E-02   116.914    
   0.102930E-01   136.090    
   0.128388E-01   155.109    
   0.155955E-01   171.520    
   0.185694E-01   187.359    
   0.217741E-01   202.981    
   0.252197E-01   217.127    
   0.289159E-01   226.824    
   0.328892E-01   234.980    
   0.371844E-01   246.167    
   0.418720E-01   265.976    
   0.470288E-01   288.618    
   0.527159E-01   308.076    
   0.589683E-01   323.358    
   0.658157E-01   335.160    
   0.732922E-01   346.060    
   0.814767E-01   361.268    
   0.905129E-01   380.987    
   0.100572       403.741    
   0.111814       428.553    
   0.124319       452.619    
   0.137976       469.388    
   0.152577       484.268    
   0.168138       505.041    
   0.184716       558.544    
   0.202122       628.687    
   0.220073       718.066    
   0.238341       815.903    
   0.256852       917.578    
   0.275690       1023.07    
   0.294914       1129.27    
   0.314453       1232.45    
   0.334154       1332.72    
   0.353908       1431.43    
   0.373683       1528.99    
   0.393465       1625.72    
   0.413223       1721.54    
   0.432916       1816.41    
   0.452510       1909.82    
   0.471974       2000.93    
   0.491243       2091.29    
   0.510203       2179.01    
   0.528759       2268.28    
   0.547003       2370.51    
   0.565209       2504.63    
   0.583591       2651.63    
   0.602090       2810.57    
   0.620878       3009.69    
   0.640070       3217.61    
   0.659493       3437.02    
   0.679039       3675.08    
   0.698521       3921.34    
   0.717534       4145.64    
   0.735764       4447.67    
   0.753371       4744.00    
   0.770759       4937.86    
   0.788017       5248.42    
   0.805087       5587.40    
   0.822078       5861.53    
   0.838990       6114.32    
   0.855661       6362.33    
   0.871857       6606.70    
   0.887415       6830.24    
   0.902308       7009.63    
   0.916639       7130.43    
   0.930501       7202.00    
   0.943910       7231.68    
   0.956708       7240.18    
   0.968717       7195.05    
   0.980015       7003.12    
   0.990836       6618.17    
    1.00000       5682.11    
    1.00010       8766.39    
    1.00944       10051.4    
    1.02006       10583.0    
    1.03210       10126.1    
    1.04573       9727.76    
    1.06113       9387.48    
    1.07856       9098.24    
    1.09825       8852.52    
    1.12050       8642.94    
    1.14565       8463.10    
    1.17406       8307.78    
    1.20616       8172.88    
    1.24243       8055.24    
    1.28340       7952.37    
    1.32968       7862.28    
    1.38196       7783.38    
    1.44101       7714.34    
    1.50771       7654.05    
    1.58304       7601.57    
    1.66813       7556.05    
    1.76423       7516.75    
    1.87277       7483.07    
    1.99535       7451.59    

