#  RDEF xfoil_parameters.def                       
#  alpha =  -4.0000
#  Mach  =   0.2000
#  Reyn  =  2000000
#  Ncrit =   9.0000
#
#    x           dB
   0.187803E-02  0.743819E-04
   0.118529E-02  0.716086E-04
   0.650730E-03  0.698405E-04
   0.273970E-03  0.677230E-04
   0.545870E-04  0.660466E-04
  -0.534063E-05  0.642905E-04
   0.102285E-03  0.622439E-04
   0.400674E-03  0.604625E-04
   0.923872E-03  0.594418E-04
   0.171354E-02  0.598094E-04
   0.281407E-02  0.642430E-04
   0.423448E-02  0.706557E-04
   0.596425E-02  0.827444E-04
   0.799071E-02  0.103518E-03
   0.102930E-01  0.130442E-03
   0.128388E-01  0.159287E-03
   0.155955E-01  0.177544E-03
   0.185694E-01  0.196948E-03
   0.217741E-01  0.217680E-03
   0.252197E-01  0.231382E-03
   0.289159E-01  0.226239E-03
   0.328892E-01  0.222198E-03
   0.371844E-01  0.231921E-03
   0.418720E-01  0.274828E-03
   0.470288E-01  0.341374E-03
   0.527159E-01  0.387341E-03
   0.589683E-01  0.384274E-03
   0.658157E-01  0.368316E-03
   0.732922E-01  0.360169E-03
   0.814767E-01  0.375140E-03
   0.905129E-01  0.408269E-03
   0.100572      0.453154E-03
   0.111814      0.506327E-03
   0.124319      0.547833E-03
   0.137976      0.535931E-03
   0.152577      0.526882E-03
   0.168138      0.551723E-03
   0.184716      0.456578E-03
   0.202122      0.416204E-03
   0.220073      0.438988E-03
   0.238341      0.489831E-03
   0.256852      0.551736E-03
   0.275690      0.620016E-03
   0.294914      0.689468E-03
   0.314453      0.755535E-03
   0.334154      0.818678E-03
   0.353908      0.880763E-03
   0.373683      0.942295E-03
   0.393465      0.100363E-02
   0.413223      0.106469E-02
   0.432916      0.112549E-02
   0.452510      0.118548E-02
   0.471974      0.124370E-02
   0.491243      0.130209E-02
   0.510203      0.135866E-02
   0.528759      0.141846E-02
   0.547003      0.149454E-02
   0.565209      0.160927E-02
   0.583591      0.174070E-02
   0.602090      0.188878E-02
   0.620878      0.209185E-02
   0.640070      0.231126E-02
   0.659493      0.255239E-02
   0.679039      0.282831E-02
   0.698521      0.312629E-02
   0.717534      0.339830E-02
   0.735764      0.382096E-02
   0.753371      0.425835E-02
   0.770759      0.450803E-02
   0.788017      0.500602E-02
   0.805087      0.559678E-02
   0.822078      0.606230E-02
   0.838990      0.648840E-02
   0.855661      0.691431E-02
   0.871857      0.734547E-02
   0.887415      0.773532E-02
   0.902308      0.801250E-02
   0.916639      0.812995E-02
   0.930501      0.811727E-02
   0.943910      0.800407E-02
   0.956708      0.785563E-02
   0.968717      0.759892E-02
   0.980015      0.704062E-02
   0.990836      0.616115E-02
    1.00000      0.451817E-02
    1.00010      0.140229E-01
    1.00944      0.128379E-01
    1.02006      0.111994E-01
    1.03210      0.988032E-02
    1.04573      0.885242E-02
    1.06113      0.803989E-02
    1.07856      0.738507E-02
    1.09825      0.684823E-02
    1.12050      0.640089E-02
    1.14565      0.602286E-02
    1.17406      0.569979E-02
    1.20616      0.542146E-02
    1.24243      0.518041E-02
    1.28340      0.497115E-02
    1.32968      0.478950E-02
    1.38196      0.463216E-02
    1.44101      0.449636E-02
    1.50771      0.437967E-02
    1.58304      0.427989E-02
    1.66813      0.419499E-02
    1.76423      0.412312E-02
    1.87277      0.406262E-02
    1.99535      0.400962E-02

   0.187803E-02  0.333608E-04
   0.118529E-02  0.322204E-04
   0.650730E-03  0.313625E-04
   0.273970E-03  0.304911E-04
   0.545870E-04  0.296914E-04
  -0.534063E-05  0.289197E-04
   0.102285E-03  0.280195E-04
   0.400674E-03  0.271654E-04
   0.923872E-03  0.265757E-04
   0.171354E-02  0.264924E-04
   0.281407E-02  0.277381E-04
   0.423448E-02  0.299331E-04
   0.596425E-02  0.336562E-04
   0.799071E-02  0.394088E-04
   0.102930E-01  0.464372E-04
   0.128388E-01  0.538274E-04
   0.155955E-01  0.603295E-04
   0.185694E-01  0.666957E-04
   0.217741E-01  0.730792E-04
   0.252197E-01  0.788729E-04
   0.289159E-01  0.825677E-04
   0.328892E-01  0.853210E-04
   0.371844E-01  0.893146E-04
   0.418720E-01  0.974306E-04
   0.470288E-01  0.107219E-03
   0.527159E-01  0.115815E-03
   0.589683E-01  0.122550E-03
   0.658157E-01  0.127511E-03
   0.732922E-01  0.131779E-03
   0.814767E-01  0.137938E-03
   0.905129E-01  0.146291E-03
   0.100572      0.156255E-03
   0.111814      0.167409E-03
   0.124319      0.178368E-03
   0.137976      0.185712E-03
   0.152577      0.191842E-03
   0.168138      0.200750E-03
   0.184716      0.225367E-03
   0.202122      0.255477E-03
   0.220073      0.292420E-03
   0.238341      0.332816E-03
   0.256852      0.375550E-03
   0.275690      0.421022E-03
   0.294914      0.467512E-03
   0.314453      0.512801E-03
   0.334154      0.556874E-03
   0.353908      0.600494E-03
   0.373683      0.643868E-03
   0.393465      0.687163E-03
   0.413223      0.730322E-03
   0.432916      0.773326E-03
   0.452510      0.815883E-03
   0.471974      0.857457E-03
   0.491243      0.898999E-03
   0.510203      0.939419E-03
   0.528759      0.981315E-03
   0.547003      0.103166E-02
   0.565209      0.110231E-02
   0.583591      0.118214E-02
   0.602090      0.127093E-02
   0.620878      0.138709E-02
   0.640070      0.151150E-02
   0.659493      0.164625E-02
   0.679039      0.179658E-02
   0.698521      0.195597E-02
   0.717534      0.210365E-02
   0.735764      0.230961E-02
   0.753371      0.251629E-02
   0.770759      0.265198E-02
   0.788017      0.287619E-02
   0.805087      0.312606E-02
   0.822078      0.333075E-02
   0.838990      0.352185E-02
   0.855661      0.371171E-02
   0.871857      0.390105E-02
   0.887415      0.407599E-02
   0.902308      0.421726E-02
   0.916639      0.431231E-02
   0.930501      0.436788E-02
   0.943910      0.438942E-02
   0.956708      0.439361E-02
   0.968717      0.435370E-02
   0.980015      0.419323E-02
   0.990836      0.387660E-02
    1.00000      0.313236E-02
    1.00010      0.483261E-02
    1.00944      0.575341E-02
    1.02006      0.615988E-02
    1.03210      0.580214E-02
    1.04573      0.549180E-02
    1.06113      0.522824E-02
    1.07856      0.500544E-02
    1.09825      0.481713E-02
    1.12050      0.465724E-02
    1.14565      0.452056E-02
    1.17406      0.440291E-02
    1.20616      0.430102E-02
    1.24243      0.421238E-02
    1.28340      0.413503E-02
    1.32968      0.406741E-02
    1.38196      0.400828E-02
    1.44101      0.395661E-02
    1.50771      0.391155E-02
    1.58304      0.387237E-02
    1.66813      0.383842E-02
    1.76423      0.380913E-02
    1.87277      0.378406E-02
    1.99535      0.376063E-02

