#  RDEF xfoil_parameters.def                       
#  alpha =  -4.0000
#  Mach  =   0.2000
#  Reyn  =  2000000
#  Ncrit =   9.0000
#
#    x           dT
   0.272899E-02  0.743749E-04
   0.375479E-02  0.762033E-04
   0.498320E-02  0.774325E-04
   0.644308E-02  0.815650E-04
   0.814162E-02  0.861006E-04
   0.100789E-01  0.917093E-04
   0.122521E-01  0.974930E-04
   0.146557E-01  0.103147E-03
   0.172968E-01  0.109476E-03
   0.201870E-01  0.116376E-03
   0.233364E-01  0.123589E-03
   0.267527E-01  0.129399E-03
   0.304514E-01  0.134600E-03
   0.344630E-01  0.141392E-03
   0.388275E-01  0.150859E-03
   0.435945E-01  0.164133E-03
   0.488135E-01  0.177979E-03
   0.545323E-01  0.190310E-03
   0.608072E-01  0.203394E-03
   0.677015E-01  0.218247E-03
   0.752759E-01  0.233060E-03
   0.835850E-01  0.244587E-03
   0.926897E-01  0.257822E-03
   0.102658      0.274745E-03
   0.113579      0.296043E-03
   0.125533      0.317684E-03
   0.138551      0.336204E-03
   0.152573      0.350724E-03
   0.167420      0.358473E-03
   0.182988      0.379817E-03
   0.199362      0.410231E-03
   0.216463      0.427050E-03
   0.234042      0.441112E-03
   0.251928      0.457138E-03
   0.270097      0.476016E-03
   0.288570      0.494751E-03
   0.307293      0.510348E-03
   0.326144      0.522846E-03
   0.345042      0.536564E-03
   0.363991      0.554060E-03
   0.383038      0.572957E-03
   0.402182      0.589654E-03
   0.421363      0.602056E-03
   0.440499      0.613324E-03
   0.459532      0.623909E-03
   0.478422      0.634876E-03
   0.497163      0.648322E-03
   0.515780      0.666064E-03
   0.534288      0.686182E-03
   0.552658      0.704876E-03
   0.570822      0.721187E-03
   0.588774      0.753226E-03
   0.606645      0.819103E-03
   0.624650      0.923496E-03
   0.642775      0.102850E-02
   0.660944      0.118668E-02
   0.679284      0.142107E-02
   0.697860      0.168220E-02
   0.716644      0.188690E-02
   0.735636      0.195239E-02
   0.754936      0.149061E-02
   0.774554      0.108103E-02
   0.794292      0.973017E-03
   0.814087      0.100083E-02
   0.834121      0.108321E-02
   0.854259      0.118449E-02
   0.874340      0.130316E-02
   0.894162      0.143197E-02
   0.913404      0.156171E-02
   0.931707      0.169714E-02
   0.948740      0.184894E-02
   0.964293      0.202758E-02
   0.978234      0.222295E-02
   0.990533      0.242595E-02
    1.00000      0.261227E-02
    1.00010      0.140229E-01
    1.00944      0.128379E-01
    1.02006      0.111994E-01
    1.03210      0.988032E-02
    1.04573      0.885242E-02
    1.06113      0.803989E-02
    1.07856      0.738507E-02
    1.09825      0.684823E-02
    1.12050      0.640089E-02
    1.14565      0.602286E-02
    1.17406      0.569979E-02
    1.20616      0.542146E-02
    1.24243      0.518041E-02
    1.28340      0.497115E-02
    1.32968      0.478950E-02
    1.38196      0.463216E-02
    1.44101      0.449636E-02
    1.50771      0.437967E-02
    1.58304      0.427989E-02
    1.66813      0.419499E-02
    1.76423      0.412312E-02
    1.87277      0.406262E-02
    1.99535      0.400962E-02

   0.272899E-02  0.333592E-04
   0.375479E-02  0.341419E-04
   0.498320E-02  0.346786E-04
   0.644308E-02  0.362466E-04
   0.814162E-02  0.382089E-04
   0.100789E-01  0.404569E-04
   0.122521E-01  0.428781E-04
   0.146557E-01  0.452584E-04
   0.172968E-01  0.478097E-04
   0.201870E-01  0.505832E-04
   0.233364E-01  0.535052E-04
   0.267527E-01  0.561170E-04
   0.304514E-01  0.584492E-04
   0.344630E-01  0.610756E-04
   0.388275E-01  0.644514E-04
   0.435945E-01  0.689576E-04
   0.488135E-01  0.740090E-04
   0.545323E-01  0.790036E-04
   0.608072E-01  0.841819E-04
   0.677015E-01  0.897954E-04
   0.752759E-01  0.955855E-04
   0.835850E-01  0.100869E-03
   0.926897E-01  0.106349E-03
   0.102658      0.112564E-03
   0.113579      0.119833E-03
   0.125533      0.127578E-03
   0.138551      0.135084E-03
   0.152573      0.141912E-03
   0.167420      0.147268E-03
   0.182988      0.154508E-03
   0.199362      0.163551E-03
   0.216463      0.170905E-03
   0.234042      0.177578E-03
   0.251928      0.184266E-03
   0.270097      0.191272E-03
   0.288570      0.198245E-03
   0.307293      0.204693E-03
   0.326144      0.210501E-03
   0.345042      0.216281E-03
   0.363991      0.222528E-03
   0.383038      0.228993E-03
   0.402182      0.235150E-03
   0.421363      0.240609E-03
   0.440499      0.245742E-03
   0.459532      0.250605E-03
   0.478422      0.255372E-03
   0.497163      0.260399E-03
   0.515780      0.266030E-03
   0.534288      0.272038E-03
   0.552658      0.277885E-03
   0.570822      0.283393E-03
   0.588774      0.291006E-03
   0.606645      0.302722E-03
   0.624650      0.317570E-03
   0.642775      0.331057E-03
   0.660944      0.345070E-03
   0.679284      0.356865E-03
   0.697860      0.365932E-03
   0.716644      0.374010E-03
   0.735636      0.382197E-03
   0.754936      0.496091E-03
   0.774554      0.578396E-03
   0.794292      0.622443E-03
   0.814087      0.683186E-03
   0.834121      0.756242E-03
   0.854259      0.832950E-03
   0.874340      0.915806E-03
   0.894162      0.100231E-02
   0.913404      0.108800E-02
   0.931707      0.117539E-02
   0.948740      0.126979E-02
   0.964293      0.137594E-02
   0.978234      0.148791E-02
   0.990533      0.160052E-02
    1.00000      0.170026E-02
    1.00010      0.483261E-02
    1.00944      0.575341E-02
    1.02006      0.615988E-02
    1.03210      0.580214E-02
    1.04573      0.549180E-02
    1.06113      0.522824E-02
    1.07856      0.500544E-02
    1.09825      0.481713E-02
    1.12050      0.465724E-02
    1.14565      0.452056E-02
    1.17406      0.440291E-02
    1.20616      0.430102E-02
    1.24243      0.421238E-02
    1.28340      0.413503E-02
    1.32968      0.406741E-02
    1.38196      0.400828E-02
    1.44101      0.395661E-02
    1.50771      0.391155E-02
    1.58304      0.387237E-02
    1.66813      0.383842E-02
    1.76423      0.380913E-02
    1.87277      0.378406E-02
    1.99535      0.376063E-02

