#  RDEF xfoil_parameters.def                       
#  alpha =  -4.0000
#  Mach  =   0.2000
#  Reyn  =  2000000
#  Ncrit =   9.0000
#
#    x           cd
   0.272899E-02  0.145152E-05
   0.375479E-02  0.454836E-04
   0.498320E-02  0.146938E-03
   0.644308E-02  0.280206E-03
   0.814162E-02  0.427331E-03
   0.100789E-01  0.568439E-03
   0.122521E-01  0.700033E-03
   0.146557E-01  0.823498E-03
   0.172968E-01  0.928060E-03
   0.201870E-01  0.101278E-02
   0.233364E-01  0.108142E-02
   0.267527E-01  0.115968E-02
   0.304514E-01  0.124260E-02
   0.344630E-01  0.130014E-02
   0.388275E-01  0.131511E-02
   0.435945E-01  0.127769E-02
   0.488135E-01  0.123201E-02
   0.545323E-01  0.120081E-02
   0.608072E-01  0.116569E-02
   0.677015E-01  0.112061E-02
   0.752759E-01  0.107941E-02
   0.835850E-01  0.106111E-02
   0.926897E-01  0.103681E-02
   0.102658      0.996714E-03
   0.113579      0.941260E-03
   0.125533      0.889840E-03
   0.138551      0.853338E-03
   0.152573      0.832501E-03
   0.167420      0.834736E-03
   0.182988      0.799874E-03
   0.199362      0.745853E-03
   0.216463      0.724315E-03
   0.234042      0.709929E-03
   0.251928      0.692870E-03
   0.270097      0.671512E-03
   0.288570      0.651314E-03
   0.307293      0.636756E-03
   0.326144      0.627349E-03
   0.345042      0.616599E-03
   0.363991      0.601026E-03
   0.383038      0.584193E-03
   0.402182      0.570515E-03
   0.421363      0.562053E-03
   0.440499      0.555108E-03
   0.459532      0.549101E-03
   0.478422      0.542837E-03
   0.497163      0.534159E-03
   0.515780      0.521521E-03
   0.534288      0.507190E-03
   0.552658      0.494572E-03
   0.570822      0.484196E-03
   0.588774      0.463277E-03
   0.606645      0.426637E-03
   0.624650      0.386276E-03
   0.642775      0.358724E-03
   0.660944      0.335069E-03
   0.679284      0.318981E-03
   0.697860      0.307737E-03
   0.716644      0.297658E-03
   0.735636      0.289103E-03
   0.754936      0.665148E-02
   0.774554      0.401623E-02
   0.794292      0.297039E-02
   0.814087      0.254050E-02
   0.834121      0.226600E-02
   0.854259      0.206237E-02
   0.874340      0.189157E-02
