#  RDEF xfoil_parameters.def                       
#  alpha =  -4.0000
#  Mach  =   0.2000
#  Reyn  =  2000000
#  Ncrit =   9.0000
#
#    x           ue
   0.272899E-02  0.216262E-01
   0.375479E-02  0.122563    
   0.498320E-02  0.222044    
   0.644308E-02  0.315221    
   0.814162E-02  0.399962    
   0.100789E-01  0.476569    
   0.122521E-01  0.545460    
   0.146557E-01  0.608612    
   0.172968E-01  0.666047    
   0.201870E-01  0.717808    
   0.233364E-01  0.764707    
   0.267527E-01  0.809767    
   0.304514E-01  0.854384    
   0.344630E-01  0.896325    
   0.388275E-01  0.932661    
   0.435945E-01  0.960932    
   0.488135E-01  0.983517    
   0.545323E-01   1.00406    
   0.608072E-01   1.02285    
   0.677015E-01   1.03921    
   0.752759E-01   1.05409    
   0.835850E-01   1.07011    
   0.926897E-01   1.08588    
   0.102658       1.09949    
   0.113579       1.10968    
   0.125533       1.11783    
   0.138551       1.12605    
   0.152573       1.13571    
   0.167420       1.14869    
   0.182988       1.15806    
   0.199362       1.16269    
   0.216463       1.16897    
   0.234042       1.17604    
   0.251928       1.18265    
   0.270097       1.18812    
   0.288570       1.19294    
   0.307293       1.19792    
   0.326144       1.20337    
   0.345042       1.20849    
   0.363991       1.21250    
   0.383038       1.21567    
   0.402182       1.21872    
   0.421363       1.22226    
   0.440499       1.22594    
   0.459532       1.22967    
   0.478422       1.23327    
   0.497163       1.23627    
   0.515780       1.23825    
   0.534288       1.23939    
   0.552658       1.24031    
   0.570822       1.24122    
   0.588774       1.23967    
   0.606645       1.23371    
   0.624650       1.22458    
   0.642775       1.21635    
   0.660944       1.20775    
   0.679284       1.20079    
   0.697860       1.19574    
   0.716644       1.19155    
   0.735636       1.18754    
   0.754936       1.13649    
   0.774554       1.10150    
   0.794292       1.09182    
   0.814087       1.07875    
   0.834121       1.06294    
   0.854259       1.04755    
   0.874340       1.03135    
   0.894162       1.01521    
   0.913404       1.00028    
   0.931707      0.985624    
   0.948740      0.969932    
   0.964293      0.952519    
   0.978234      0.935026    
   0.990533      0.918510    
    1.00000      0.904715    
    1.00010      0.904715    
    1.00944      0.870583    
    1.02006      0.855833    
    1.03210      0.869669    
    1.04573      0.882951    
    1.06113      0.895292    
    1.07856      0.906585    
    1.09825      0.916821    
    1.12050      0.926067    
    1.14565      0.934416    
    1.17406      0.941963    
    1.20616      0.948790    
    1.24243      0.954968    
    1.28340      0.960551    
    1.32968      0.965587    
    1.38196      0.970117    
    1.44101      0.974174    
    1.50771      0.977792    
    1.58304      0.981000    
    1.66813      0.983827    
    1.76423      0.986301    
    1.87277      0.988447    
    1.99535      0.990474    

   0.187803E-02  0.797442E-01
   0.118529E-02  0.183508    
   0.650730E-03  0.291124    
   0.273970E-03  0.402849    
   0.545870E-04  0.519555    
  -0.534063E-05  0.642302    
   0.102285E-03  0.775195    
   0.400674E-03  0.919342    
   0.923872E-03   1.07183    
   0.171354E-02   1.22499    
   0.281407E-02   1.35398    
   0.423448E-02   1.45066    
   0.596425E-02   1.50386    
   0.799071E-02   1.51016    
   0.102930E-01   1.49056    
   0.128388E-01   1.46402    
   0.155955E-01   1.44321    
   0.185694E-01   1.42496    
   0.217741E-01   1.40797    
   0.252197E-01   1.39474    
   0.289159E-01   1.39166    
   0.328892E-01   1.39538    
   0.371844E-01   1.39651    
   0.418720E-01   1.38244    
   0.470288E-01   1.36210    
   0.527159E-01   1.34516    
   0.589683E-01   1.33372    
   0.658157E-01   1.32835    
   0.732922E-01   1.32705    
   0.814767E-01   1.32333    
   0.905129E-01   1.31550    
   0.100572       1.30466    
   0.111814       1.29197    
   0.124319       1.28014    
   0.137976       1.27483    
   0.152577       1.27314    
   0.168138       1.26863    
   0.184716       1.24890    
   0.202122       1.23967    
   0.220073       1.23691    
   0.238341       1.23476    
   0.256852       1.23044    
   0.275690       1.22343    
   0.294914       1.21582    
   0.314453       1.20947    
   0.334154       1.20414    
   0.353908       1.19918    
   0.373683       1.19443    
   0.393465       1.18980    
   0.413223       1.18529    
   0.432916       1.18089    
   0.452510       1.17670    
   0.471974       1.17291    
   0.491243       1.16909    
   0.510203       1.16558    
   0.528759       1.16137    
   0.547003       1.15421    
   0.565209       1.14086    
   0.583591       1.12572    
   0.602090       1.10927    
   0.620878       1.08766    
   0.640070       1.06642    
   0.659493       1.04524    
   0.679039       1.02348    
   0.698521       1.00247    
   0.717534      0.984935    
   0.735764      0.961858    
   0.753371      0.941160    
   0.770759      0.929207    
   0.788017      0.910216    
   0.805087      0.891123    
   0.822078      0.877092    
   0.838990      0.865020    
   0.855661      0.853838    
   0.871857      0.843391    
   0.887415      0.834327    
   0.902308      0.827425    
   0.916639      0.823052    
   0.930501      0.820692    
   0.943910      0.820017    
   0.956708      0.820202    
   0.968717      0.822608    
   0.980015      0.831474    
   0.990836      0.850322    
    1.00000      0.904715    
    1.00010      0.904715    
    1.00944      0.870583    
    1.02006      0.855833    
    1.03210      0.869669    
    1.04573      0.882951    
    1.06113      0.895292    
    1.07856      0.906585    
    1.09825      0.916821    
    1.12050      0.926067    
    1.14565      0.934416    
    1.17406      0.941963    
    1.20616      0.948790    
    1.24243      0.954968    
    1.28340      0.960551    
    1.32968      0.965587    
    1.38196      0.970117    
    1.44101      0.974174    
    1.50771      0.977792    
    1.58304      0.981000    
    1.66813      0.983827    
    1.76423      0.986301    
    1.87277      0.988447    
    1.99535      0.990474    

