#  RDEF xfoil_parameters.def                       
#  alpha =  -4.0000
#  Mach  =   0.2000
#  Reyn  =  2000000
#  Ncrit =   9.0000
#
#    x           hk
   0.272899E-02   2.22951    
   0.375479E-02   2.23163    
   0.498320E-02   2.23180    
   0.644308E-02   2.24813    
   0.814162E-02   2.24996    
   0.100789E-01   2.26191    
   0.122521E-01   2.26726    
   0.146557E-01   2.27100    
   0.172968E-01   2.28016    
   0.201870E-01   2.28943    
   0.233364E-01   2.29703    
   0.267527E-01   2.29151    
   0.304514E-01   2.28687    
   0.344630E-01   2.29740    
   0.388275E-01   2.32146    
   0.435945E-01   2.35965    
   0.488135E-01   2.38320    
   0.545323E-01   2.38631    
   0.608072E-01   2.39267    
   0.677015E-01   2.40621    
   0.752759E-01   2.41320    
   0.835850E-01   2.39906    
   0.926897E-01   2.39780    
   0.102658       2.41353    
   0.113579       2.44253    
   0.125533       2.46167    
   0.138551       2.45998    
   0.152573       2.44214    
   0.167420       2.40443    
   0.182988       2.42789    
   0.199362       2.47737    
   0.216463       2.46757    
   0.234042       2.45257    
   0.251928       2.44905    
   0.270097       2.45654    
   0.288570       2.46319    
   0.307293       2.46052    
   0.326144       2.45086    
   0.345042       2.44764    
   0.363991       2.45635    
   0.383038       2.46831    
   0.402182       2.47360    
   0.421363       2.46808    
   0.440499       2.46152    
   0.459532       2.45515    
   0.478422       2.45145    
   0.497163       2.45489    
   0.515780       2.46867    
   0.534288       2.48713    
   0.552658       2.50119    
   0.570822       2.50933    
   0.588774       2.55264    
   0.606645       2.66962    
   0.624650       2.87100    
   0.642775       3.06888    
   0.660944       3.39946    
   0.679284       3.93954    
   0.697860       4.55087    
   0.716644       4.99635    
   0.735636       5.05956    
   0.754936       2.97230    
   0.774554       1.84477    
   0.794292       1.54106    
   0.814087       1.44383    
   0.834121       1.41202    
   0.854259       1.40234    
   0.874340       1.40387    
   0.894162       1.41014    
   0.913404       1.41738    
   0.931707       1.42636    
   0.948740       1.43907    
   0.964293       1.45710    
   0.978234       1.47804    
   0.990533       1.50024    
    1.00000       1.52129    
    1.00010       2.88159    
    1.00944       2.21500    
    1.02006       1.80368    
    1.03210       1.68836    
    1.04573       1.59729    
    1.06113       1.52299    
    1.07856       1.46047    
    1.09825       1.40657    
    1.12050       1.35920    
    1.14565       1.31701    
    1.17406       1.27914    
    1.20616       1.24501    
    1.24243       1.21423    
    1.28340       1.18656    
    1.32968       1.16183    
    1.38196       1.13989    
    1.44101       1.12061    
    1.50771       1.10382    
    1.58304       1.08934    
    1.66813       1.07696    
    1.76423       1.06646    
    1.87277       1.05761    
    1.99535       1.05018    

   0.187803E-02   2.22948    
   0.118529E-02   2.22174    
   0.650730E-03   2.22506    
   0.273970E-03   2.21759    
   0.545870E-04   2.21863    
  -0.534063E-05   2.21419    
   0.102285E-03   2.20852    
   0.400674E-03   2.20750    
   0.923872E-03   2.21186    
   0.171354E-02   2.22498    
   0.281407E-02   2.27566    
   0.423448E-02   2.31362    
   0.596425E-02   2.40716    
   0.799071E-02   2.57323    
   0.102930E-01   2.75503    
   0.128388E-01   2.90571    
   0.155955E-01   2.89107    
   0.185694E-01   2.90233    
   0.217741E-01   2.92905    
   0.252197E-01   2.88531    
   0.289159E-01   2.69365    
   0.328892E-01   2.55881    
   0.371844E-01   2.55122    
   0.418720E-01   2.77428    
   0.470288E-01   3.13574    
   0.527159E-01   3.29623    
   0.589683E-01   3.08989    
   0.658157E-01   2.84509    
   0.732922E-01   2.69101    
   0.814767E-01   2.67785    
   0.905129E-01   2.74897    
   0.100572       2.85813    
   0.111814       2.98240    
   0.124319       3.02971    
   0.137976       2.84585    
   0.152577       2.70761    
   0.168138       2.70974    
   0.184716       1.99364    
   0.202122       1.60006    
   0.220073       1.47317    
   0.238341       1.44402    
   0.256852       1.44160    
   0.275690       1.44539    
   0.294914       1.44784    
   0.314453       1.44672    
   0.334154       1.44376    
   0.353908       1.44059    
   0.373683       1.43758    
   0.393465       1.43486    
   0.413223       1.43237    
   0.432916       1.43011    
   0.452510       1.42792    
   0.471974       1.42556    
   0.491243       1.42366    
   0.510203       1.42172    
   0.528759       1.42109    
   0.547003       1.42458    
   0.565209       1.43629    
   0.583591       1.44944    
   0.602090       1.46368    
   0.620878       1.48638    
   0.640070       1.50815    
   0.659493       1.53018    
   0.679039       1.55476    
   0.698521       1.57950    
   0.717534       1.59718    
   0.735764       1.63681    
   0.753371       1.67534    
   0.770759       1.68330    
   0.788017       1.72446    
   0.805087       1.77480    
   0.822078       1.80493    
   0.838990       1.82750    
   0.855661       1.84832    
   0.871857       1.86872    
   0.887415       1.88381    
   0.902308       1.88619    
   0.916639       1.87174    
   0.930501       1.84501    
   0.943910       1.81022    
   0.956708       1.77480    
   0.968717       1.73228    
   0.980015       1.66585    
   0.990836       1.57581    
    1.00000       1.42766    
    1.00010       2.88159    
    1.00944       2.21500    
    1.02006       1.80368    
    1.03210       1.68836    
    1.04573       1.59729    
    1.06113       1.52299    
    1.07856       1.46047    
    1.09825       1.40657    
    1.12050       1.35920    
    1.14565       1.31701    
    1.17406       1.27914    
    1.20616       1.24501    
    1.24243       1.21423    
    1.28340       1.18656    
    1.32968       1.16183    
    1.38196       1.13989    
    1.44101       1.12061    
    1.50771       1.10382    
    1.58304       1.08934    
    1.66813       1.07696    
    1.76423       1.06646    
    1.87277       1.05761    
    1.99535       1.05018    

