#  RDEF xfoil_parameters.def                       
#  alpha =  -4.0000
#  Mach  =   0.2000
#  Reyn  =  2000000
#  Ncrit =   9.0000
#
#    x           cf
   0.272899E-02  0.233493E-03
   0.375479E-02  0.128916E-02
   0.498320E-02  0.229858E-02
   0.644308E-02  0.305326E-02
   0.814162E-02  0.366515E-02
   0.100789E-01  0.405708E-02
   0.122521E-01  0.434839E-02
   0.146557E-01  0.457198E-02
   0.172968E-01  0.467624E-02
   0.201870E-01  0.470203E-02
   0.233364E-01  0.468524E-02
   0.267527E-01  0.476500E-02
   0.304514E-01  0.485629E-02
   0.344630E-01  0.480435E-02
   0.388275E-01  0.458160E-02
   0.435945E-01  0.418289E-02
   0.488135E-01  0.385856E-02
   0.545323E-01  0.367339E-02
   0.608072E-01  0.347999E-02
   0.677015E-01  0.325117E-02
   0.752759E-01  0.306690E-02
   0.835850E-01  0.300988E-02
   0.926897E-01  0.290165E-02
   0.102658      0.271415E-02
   0.113579      0.246828E-02
   0.125533      0.227170E-02
   0.138551      0.216638E-02
   0.152573      0.213386E-02
   0.167420      0.219465E-02
   0.182988      0.203934E-02
   0.199362      0.180084E-02
   0.216463      0.175742E-02
   0.234042      0.173885E-02
   0.251928      0.169363E-02
   0.270097      0.162143E-02
   0.288570      0.155561E-02
   0.307293      0.151871E-02
   0.326144      0.150430E-02
   0.345042      0.147708E-02
   0.363991      0.142234E-02
   0.383038      0.136194E-02
   0.402182      0.131939E-02
   0.421363      0.130357E-02
   0.440499      0.129238E-02
   0.459532      0.128288E-02
   0.478422      0.126934E-02
   0.497163      0.124165E-02
   0.515780      0.119321E-02
   0.534288      0.113693E-02
   0.552658      0.109111E-02
   0.570822      0.105793E-02
   0.588774      0.964808E-03
   0.606645      0.771094E-03
   0.624650      0.521948E-03
   0.642775      0.342381E-03
   0.660944      0.145250E-03
   0.679284     -0.236373E-04
   0.697860     -0.959065E-04
   0.716644     -0.108855E-03
   0.735636     -0.106982E-03
   0.754936      0.314159E-03
   0.774554      0.225914E-02
   0.794292      0.363303E-02
   0.814087      0.407947E-02
   0.834121      0.407545E-02
   0.854259      0.393029E-02
   0.874340      0.371570E-02
   0.894162      0.348875E-02
   0.913404      0.328377E-02
   0.931707      0.308632E-02
   0.948740      0.287632E-02
   0.964293      0.264493E-02
   0.978234      0.241976E-02
   0.990533      0.221488E-02
    1.00000      0.204761E-02
    1.00010       0.00000    
    1.00944       0.00000    
    1.02006       0.00000    
    1.03210       0.00000    
    1.04573       0.00000    
    1.06113       0.00000    
    1.07856       0.00000    
    1.09825       0.00000    
    1.12050       0.00000    
    1.14565       0.00000    
    1.17406       0.00000    
    1.20616       0.00000    
    1.24243       0.00000    
    1.28340       0.00000    
    1.32968       0.00000    
    1.38196       0.00000    
    1.44101       0.00000    
    1.50771       0.00000    
    1.58304       0.00000    
    1.66813       0.00000    
    1.76423       0.00000    
    1.87277       0.00000    
    1.99535       0.00000    

   0.187803E-02  0.860943E-03
   0.118529E-02  0.207260E-02
   0.650730E-03  0.336224E-02
   0.273970E-03  0.483235E-02
   0.545870E-04  0.638844E-02
  -0.534063E-05  0.815227E-02
   0.102285E-03  0.102249E-01
   0.400674E-03  0.125124E-01
   0.923872E-03  0.148068E-01
   0.171354E-02  0.166558E-01
   0.281407E-02  0.163944E-01
   0.423448E-02  0.154343E-01
   0.596425E-02  0.124762E-01
   0.799071E-02  0.838867E-02
   0.102930E-01  0.527730E-02
   0.128388E-01  0.345197E-02
   0.155955E-01  0.311761E-02
   0.185694E-01  0.272937E-02
   0.217741E-01  0.234539E-02
   0.252197E-01  0.232959E-02
   0.289159E-01  0.306455E-02
   0.328892E-01  0.366378E-02
   0.371844E-01  0.354290E-02
   0.418720E-01  0.226244E-02
   0.470288E-01  0.102746E-02
   0.527159E-01  0.643180E-03
   0.589683E-01  0.970165E-03
   0.658157E-01  0.147381E-02
   0.732922E-01  0.184002E-02
   0.814767E-01  0.179006E-02
   0.905129E-01  0.149618E-02
   0.100572      0.115504E-02
   0.111814      0.851667E-03
   0.124319      0.722886E-03
   0.137976      0.970411E-03
   0.152577      0.118147E-02
   0.168138      0.112125E-02
   0.184716      0.299126E-02
   0.202122      0.541532E-02
   0.220073      0.635676E-02
   0.238341      0.637450E-02
   0.256852      0.611971E-02
   0.275690      0.580931E-02
   0.294914      0.554168E-02
   0.314453      0.534918E-02
   0.334154      0.520400E-02
   0.353908      0.507906E-02
   0.373683      0.496672E-02
   0.393465      0.486279E-02
   0.413223      0.476646E-02
   0.432916      0.467641E-02
   0.452510      0.459421E-02
   0.471974      0.452284E-02
   0.491243      0.445211E-02
   0.510203      0.438924E-02
   0.528759      0.431387E-02
   0.547003      0.418477E-02
   0.565209      0.394879E-02
   0.583591      0.370258E-02
   0.602090      0.345504E-02
   0.620878      0.313827E-02
   0.640070      0.285605E-02
   0.659493      0.259695E-02
   0.679039      0.234578E-02
   0.698521      0.212070E-02
   0.717534      0.195739E-02
   0.735764      0.171179E-02
   0.753371      0.150773E-02
   0.770759      0.143473E-02
   0.788017      0.126161E-02
   0.805087      0.108984E-02
   0.822078      0.989331E-03
   0.838990      0.914994E-03
   0.855661      0.850761E-03
   0.871857      0.793109E-03
   0.887415      0.749385E-03
   0.902308      0.729124E-03
   0.916639      0.736892E-03
   0.930501      0.766155E-03
   0.943910      0.812461E-03
   0.956708      0.864924E-03
   0.968717      0.939058E-03
   0.980015      0.108536E-02
   0.990836      0.134758E-02
    1.00000      0.204953E-02
    1.00010       0.00000    
    1.00944       0.00000    
    1.02006       0.00000    
    1.03210       0.00000    
    1.04573       0.00000    
    1.06113       0.00000    
    1.07856       0.00000    
    1.09825       0.00000    
    1.12050       0.00000    
    1.14565       0.00000    
    1.17406       0.00000    
    1.20616       0.00000    
    1.24243       0.00000    
    1.28340       0.00000    
    1.32968       0.00000    
    1.38196       0.00000    
    1.44101       0.00000    
    1.50771       0.00000    
    1.58304       0.00000    
    1.66813       0.00000    
    1.76423       0.00000    
    1.87277       0.00000    
    1.99535       0.00000    

