#      x          Cp  
     1.00000    0.18182
     0.99053    0.15659
     0.97823    0.12588
     0.96429    0.09279
     0.94874    0.05927
     0.93171    0.02855
     0.91340   -0.00057
     0.89416   -0.03063
     0.87434   -0.06364
     0.85426   -0.09726
     0.83412   -0.12967
     0.81409   -0.16344
     0.79429   -0.19170
     0.77455   -0.21285
     0.75494   -0.29077
     0.73564   -0.40858
     0.71664   -0.41803
     0.69786   -0.42795
     0.67928   -0.43996
     0.66094   -0.45657
     0.64278   -0.47722
     0.62465   -0.49711
     0.60664   -0.51935
     0.58877   -0.53394
     0.57082   -0.53774
     0.55266   -0.53549
     0.53429   -0.53325
     0.51578   -0.53044
     0.49716   -0.52561
     0.47842   -0.51826
     0.45953   -0.50950
     0.44050   -0.50041
     0.42136   -0.49151
     0.40218   -0.48295
     0.38304   -0.47558
     0.36399   -0.46796
     0.34504   -0.45834
     0.32614   -0.44612
     0.30729   -0.43314
     0.28857   -0.42132
     0.27010   -0.40995
     0.25193   -0.39709
     0.23404   -0.38161
     0.21646   -0.36516
     0.19936   -0.35062
     0.18299   -0.33994
     0.16742   -0.31848
     0.15257   -0.28901
     0.13855   -0.26728
     0.12553   -0.24892
     0.11358   -0.23085
     0.10266   -0.20844
     0.09269   -0.17882
     0.08358   -0.14492
     0.07528   -0.11097
     0.06770   -0.07990
     0.06081   -0.04621
     0.05453   -0.00814
     0.04881    0.03270
     0.04359    0.07667
     0.03883    0.13031
     0.03446    0.19699
     0.03045    0.27076
     0.02675    0.34547
     0.02334    0.41696
     0.02019    0.48712
     0.01730    0.55951
     0.01466    0.63361
     0.01225    0.70748
     0.01008    0.77895
     0.00814    0.84721
     0.00644    0.90890
     0.00498    0.95991
     0.00375    0.99488
     0.00273    1.00973
     0.00188    1.00372
     0.00119    0.97585
     0.00065    0.92378
     0.00027    0.84485
     0.00005    0.73547
    -0.00001    0.59094
     0.00010    0.40068
     0.00040    0.15505
     0.00092   -0.14860
     0.00171   -0.49813
     0.00281   -0.82644
     0.00423   -1.09247
     0.00596   -1.24608
     0.00799   -1.26458
     0.01029   -1.20721
     0.01284   -1.13058
     0.01560   -1.07138
     0.01857   -1.02010
     0.02177   -0.97292
     0.02522   -0.93652
     0.02892   -0.92809
     0.03289   -0.93827
     0.03718   -0.94138
     0.04187   -0.90297
     0.04703   -0.84813
     0.05272   -0.80301
     0.05897   -0.77284
     0.06582   -0.75876
     0.07329   -0.75537
     0.08148   -0.74565
     0.09051   -0.72529
     0.10057   -0.69728
     0.11181   -0.66477
     0.12432   -0.63474
     0.13798   -0.62132
     0.15258   -0.61707
     0.16814   -0.60575
     0.18472   -0.55666
     0.20212   -0.53392
     0.22007   -0.52717
     0.23834   -0.52192
     0.25685   -0.51136
     0.27569   -0.49433
     0.29491   -0.47596
     0.31445   -0.46069
     0.33415   -0.44794
     0.35391   -0.43613
     0.37368   -0.42487
     0.39346   -0.41391
     0.41322   -0.40329
     0.43292   -0.39296
     0.45251   -0.38315
     0.47197   -0.37432
     0.49124   -0.36543
     0.51020   -0.35729
     0.52876   -0.34757
     0.54700   -0.33111
     0.56521   -0.30067
     0.58359   -0.26654
     0.60209   -0.22995
     0.62088   -0.18268
     0.64007   -0.13705
     0.65949   -0.09244
     0.67904   -0.04748
     0.69852   -0.00495
     0.71753    0.02991
     0.73576    0.07488
     0.75337    0.11435
     0.77076    0.13676
     0.78802    0.17180
     0.80509    0.20633
     0.82208    0.23125
     0.83899    0.25238
     0.85566    0.27170
     0.87186    0.28953
     0.88741    0.30483
     0.90231    0.31637
     0.91664    0.32363
     0.93050    0.32754
     0.94391    0.32865
     0.95671    0.32835
     0.96872    0.32437
     0.98002    0.30961
     0.99084    0.27772
     1.00000    0.18182
