#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126      NaN       NaN       NaN       NaN       NaN
   0.00395  0.99609  0.00181      NaN       NaN       NaN       NaN       NaN
   0.01050  0.98960  0.00271      NaN       NaN       NaN       NaN       NaN
   0.01781  0.98236  0.00371      NaN       NaN       NaN       NaN       NaN
   0.02589  0.97436  0.00480      NaN       NaN       NaN       NaN       NaN
   0.03465  0.96568  0.00598      NaN       NaN       NaN       NaN       NaN
   0.04398  0.95642  0.00721      NaN       NaN       NaN       NaN       NaN
   0.05377  0.94672  0.00850      NaN       NaN       NaN       NaN       NaN
   0.06388  0.93670  0.00981      NaN       NaN       NaN       NaN       NaN
   0.07421  0.92645  0.01113      NaN       NaN       NaN       NaN       NaN
   0.08469  0.91606  0.01246      NaN       NaN       NaN       NaN       NaN
   0.09526  0.90556  0.01378      NaN       NaN       NaN       NaN       NaN
   0.10590  0.89501  0.01510      NaN       NaN       NaN       NaN       NaN
   0.11658  0.88441  0.01640      NaN       NaN       NaN       NaN       NaN
   0.12728  0.87378  0.01769      NaN       NaN       NaN       NaN       NaN
   0.13800  0.86314  0.01897      NaN       NaN       NaN       NaN       NaN
   0.14873  0.85249  0.02023      NaN       NaN       NaN       NaN       NaN
   0.15947  0.84182  0.02148      NaN       NaN       NaN       NaN       NaN
   0.17021  0.83115  0.02272      NaN       NaN       NaN       NaN       NaN
   0.18095  0.82048  0.02394      NaN       NaN       NaN       NaN       NaN
   0.19170  0.80980  0.02514      NaN       NaN       NaN       NaN       NaN
   0.20245  0.79912  0.02633      NaN       NaN       NaN       NaN       NaN
   0.21320  0.78843  0.02750      NaN       NaN       NaN       NaN       NaN
   0.22395  0.77775  0.02866      NaN       NaN       NaN       NaN       NaN
   0.23470  0.76706  0.02981      NaN       NaN       NaN       NaN       NaN
   0.24544  0.75637  0.03094      NaN       NaN       NaN       NaN       NaN
   0.25619  0.74568  0.03205      NaN       NaN       NaN       NaN       NaN
   0.26694  0.73499  0.03315      NaN       NaN       NaN       NaN       NaN
   0.27768  0.72430  0.03423      NaN       NaN       NaN       NaN       NaN
   0.28843  0.71361  0.03530      NaN       NaN       NaN       NaN       NaN
   0.29917  0.70292  0.03635      NaN       NaN       NaN       NaN       NaN
