#  NACA 0012                                       
#  alpha = -12.0000
#  Mach  =   0.1600
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           rt
   0.33459E-01   1.5802    
   0.39294E-01   8.9988    
   0.46033E-01   16.690    
   0.53802E-01   25.483    
   0.62705E-01   34.902    
   0.72782E-01   45.268    
   0.83993E-01   56.053    
   0.96218E-01   67.397    
   0.10929       78.950    
   0.12303       90.592    
   0.13730       102.20    
   0.15196       113.68    
   0.16693       125.01    
   0.18214       136.16    
   0.19755       147.11    
   0.21313       157.93    
   0.22884       168.41    
   0.24467       178.84    
   0.26060       189.07    
   0.27662       199.09    
   0.29272       208.95    
   0.30888       218.71    
   0.32511       228.28    
   0.34140       237.70    
   0.35774       247.04    
   0.37412       256.16    
   0.39055       265.16    
   0.40701       274.12    
   0.42351       282.83    
   0.44004       291.53    
   0.45660       300.05    
   0.47319       308.52    
   0.48980       316.80    
   0.50644       324.98    
   0.52309       333.06    
   0.53976       341.06    
   0.55645       348.98    
   0.57315       356.70    
   0.58987       364.39    
   0.60659       371.92    
   0.62333       379.49    
   0.64008       386.81    
   0.65683       394.15    
   0.67359       401.33    
   0.69035       408.50    
   0.70712       415.57    
   0.72389       422.37    
   0.74066       429.55    
   0.75742       436.31    
   0.77419       443.03    
   0.79095       449.98    
   0.80771       456.68    
   0.82446       463.41    
   0.84120       470.12    
   0.85793       476.75    
   0.87462       483.93    
   0.89128       490.61    
   0.90784       497.71    
   0.92422       504.89    
   0.94026       512.07    
   0.95567       519.71    
   0.96999       526.93    
   0.98277       534.12    
   0.99372       541.85    
    1.0000       537.95    
    1.0001       11501.    
    1.0064       11629.    
    1.0139       11728.    
    1.0226       11823.    
    1.0328       11909.    
    1.0448       11978.    
    1.0588       12024.    
    1.0752       12038.    
    1.0945       12017.    
    1.1171       11958.    
    1.1435       11864.    
    1.1745       11742.    
    1.2109       11602.    
    1.2534       11456.    
    1.3033       11313.    
    1.3618       11178.    
    1.4302       11056.    
    1.5105       10947.    
    1.6044       10851.    
    1.7145       10768.    
    1.8434       10697.    
    1.9944       10612.    

   0.28396E-01   5.0835    
   0.23986E-01   10.774    
   0.20129E-01   16.364    
   0.16743E-01   21.397    
   0.13763E-01   26.163    
   0.11140E-01   30.574    
   0.88340E-02   34.793    
   0.68196E-02   38.821    
   0.50781E-02   42.820    
   0.35991E-02   46.704    
   0.23779E-02   50.851    
   0.14132E-02   55.107    
   0.70408E-03   59.885    
   0.24572E-03   65.222    
   0.26206E-04   71.141    
   0.26213E-04   77.526    
   0.24574E-03   84.915    
   0.70408E-03   94.021    
   0.14133E-02   105.01    
   0.23780E-02   118.07    
   0.35992E-02   133.24    
   0.50782E-02   150.34    
   0.68196E-02   167.03    
   0.88341E-02   180.83    
   0.11140E-01   192.01    
   0.13763E-01   201.32    
   0.16743E-01   210.74    
   0.20129E-01   323.25    
   0.23986E-01   478.54    
   0.28396E-01   549.60    
   0.33459E-01   611.14    
   0.39295E-01   682.03    
   0.46033E-01   763.45    
   0.53802E-01   855.27    
   0.62705E-01   956.33    
   0.72782E-01   1065.7    
   0.83993E-01   1182.0    
   0.96218E-01   1303.0    
   0.10929       1426.9    
   0.12303       1552.7    
   0.13730       1678.3    
   0.15196       1804.2    
   0.16693       1929.4    
   0.18214       2054.0    
   0.19755       2178.3    
   0.21313       2302.1    
   0.22884       2425.5    
   0.24467       2548.7    
   0.26060       2672.0    
   0.27662       2795.6    
   0.29272       2919.2    
   0.30888       3043.5    
   0.32511       3168.1    
   0.34140       3293.7    
   0.35774       3419.7    
   0.37412       3546.7    
   0.39055       3675.0    
   0.40701       3804.5    
   0.42351       3934.9    
   0.44004       4066.9    
   0.45660       4201.0    
   0.47319       4336.1    
   0.48980       4473.6    
   0.50644       4613.0    
   0.52309       4754.9    
   0.53976       4899.4    
   0.55645       5047.0    
   0.57315       5197.5    
   0.58987       5351.4    
   0.60659       5510.0    
   0.62333       5672.0    
   0.64008       5839.6    
   0.65683       6012.0    
   0.67359       6190.3    
   0.69035       6375.7    
   0.70712       6567.7    
   0.72389       6767.2    
   0.74066       6975.8    
   0.75742       7192.7    
   0.77419       7419.8    
   0.79095       7656.3    
   0.80771       7903.5    
   0.82446       8160.1    
   0.84120       8426.8    
   0.85793       8702.4    
   0.87462       8983.6    
   0.89128       9269.4    
   0.90784       9555.8    
   0.92422       9836.7    
   0.94026       10106.    
   0.95567       10354.    
   0.96999       10571.    
   0.98277       10750.    
   0.99372       10890.    
    1.0000       10963.    
    1.0001       11501.    
    1.0064       11629.    
    1.0139       11728.    
    1.0226       11823.    
    1.0328       11909.    
    1.0448       11978.    
    1.0588       12024.    
    1.0752       12038.    
    1.0945       12017.    
    1.1171       11958.    
    1.1435       11864.    
    1.1745       11742.    
    1.2109       11602.    
    1.2534       11456.    
    1.3033       11313.    
    1.3618       11178.    
    1.4302       11056.    
    1.5105       10947.    
    1.6044       10851.    
    1.7145       10768.    
    1.8434       10697.    
    1.9944       10612.    

