#  NACA 0012                                       
#  alpha = -12.0000
#  Mach  =   0.1600
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           dB
   0.28396E-01  0.15578E-03
   0.23986E-01  0.13584E-03
   0.20129E-01  0.12704E-03
   0.16743E-01  0.11543E-03
   0.13763E-01  0.10687E-03
   0.11140E-01  0.97869E-04
   0.88340E-02  0.90346E-04
   0.68196E-02  0.83340E-04
   0.50781E-02  0.77612E-04
   0.35991E-02  0.72372E-04
   0.23779E-02  0.68892E-04
   0.14132E-02  0.66155E-04
   0.70408E-03  0.65330E-04
   0.24572E-03  0.66031E-04
   0.26206E-04  0.68252E-04
   0.26213E-04  0.71594E-04
   0.24574E-03  0.76695E-04
   0.70408E-03  0.85182E-04
   0.14133E-02  0.97597E-04
   0.23780E-02  0.11546E-03
   0.35992E-02  0.14137E-03
   0.50782E-02  0.18221E-03
   0.68196E-02  0.24846E-03
   0.88341E-02  0.35071E-03
   0.11140E-01  0.48093E-03
   0.13763E-01  0.61742E-03
   0.16743E-01  0.71941E-03
   0.20129E-01  0.68478E-03
   0.23986E-01  0.54067E-03
   0.28396E-01  0.46871E-03
   0.33459E-01  0.46662E-03
   0.39295E-01  0.50432E-03
   0.46033E-01  0.56632E-03
   0.53802E-01  0.64732E-03
   0.62705E-01  0.74433E-03
   0.72782E-01  0.85599E-03
   0.83993E-01  0.98077E-03
   0.96218E-01  0.11159E-02
   0.10929      0.12590E-02
   0.12303      0.14089E-02
   0.13730      0.15621E-02
   0.15196      0.17194E-02
   0.16693      0.18790E-02
   0.18214      0.20411E-02
   0.19755      0.22057E-02
   0.21313      0.23728E-02
   0.22884      0.25422E-02
   0.24467      0.27142E-02
   0.26060      0.28895E-02
   0.27662      0.30682E-02
   0.29272      0.32500E-02
   0.30888      0.34363E-02
   0.32511      0.36263E-02
   0.34140      0.38213E-02
   0.35774      0.40201E-02
   0.37412      0.42245E-02
   0.39055      0.44347E-02
   0.40701      0.46511E-02
   0.42351      0.48730E-02
   0.44004      0.51016E-02
   0.45660      0.53392E-02
   0.47319      0.55828E-02
   0.48980      0.58362E-02
   0.50644      0.60985E-02
   0.52309      0.63714E-02
   0.53976      0.66556E-02
   0.55645      0.69530E-02
   0.57315      0.72634E-02
   0.58987      0.75888E-02
   0.60659      0.79339E-02
   0.62333      0.82955E-02
   0.64008      0.86813E-02
   0.65683      0.90903E-02
   0.67359      0.95269E-02
   0.69035      0.99976E-02
   0.70712      0.10503E-01
   0.72389      0.11048E-01
   0.74066      0.11643E-01
   0.75742      0.12288E-01
   0.77419      0.12997E-01
   0.79095      0.13772E-01
   0.80771      0.14628E-01
   0.82446      0.15569E-01
   0.84120      0.16610E-01
   0.85793      0.17762E-01
   0.87462      0.19025E-01
   0.89128      0.20418E-01
   0.90784      0.21945E-01
   0.92422      0.23594E-01
   0.94026      0.25357E-01
   0.95567      0.27184E-01
   0.96999      0.28994E-01
   0.98277      0.30700E-01
   0.99372      0.32214E-01
    1.0000      0.33068E-01
    1.0001      0.37012E-01
    1.0064      0.36364E-01
    1.0139      0.35451E-01
    1.0226      0.34378E-01
    1.0328      0.33143E-01
    1.0448      0.31751E-01
    1.0588      0.30210E-01
    1.0752      0.28544E-01
    1.0945      0.26787E-01
    1.1171      0.24989E-01
    1.1435      0.23204E-01
    1.1745      0.21489E-01
    1.2109      0.19891E-01
    1.2534      0.18443E-01
    1.3033      0.17159E-01
    1.3618      0.16039E-01
    1.4302      0.15075E-01
    1.5105      0.14253E-01
    1.6044      0.13557E-01
    1.7145      0.12973E-01
    1.8434      0.12490E-01
    1.9944      0.12049E-01

   0.28396E-01  0.69871E-04
   0.23986E-01  0.61598E-04
   0.20129E-01  0.57150E-04
   0.16743E-01  0.52538E-04
   0.13763E-01  0.48458E-04
   0.11140E-01  0.44615E-04
   0.88340E-02  0.41143E-04
   0.68196E-02  0.37987E-04
   0.50781E-02  0.35283E-04
   0.35991E-02  0.32856E-04
   0.23779E-02  0.31036E-04
   0.14132E-02  0.29628E-04
   0.70408E-03  0.28887E-04
   0.24572E-03  0.28791E-04
   0.26206E-04  0.29292E-04
   0.26213E-04  0.30257E-04
   0.24574E-03  0.31800E-04
   0.70408E-03  0.34280E-04
   0.14133E-02  0.37811E-04
   0.23780E-02  0.42519E-04
   0.35992E-02  0.48470E-04
   0.50782E-02  0.55629E-04
   0.68196E-02  0.62907E-04
   0.88341E-02  0.69008E-04
   0.11140E-01  0.73907E-04
   0.13763E-01  0.77937E-04
   0.16743E-01  0.81983E-04
   0.20129E-01  0.13206E-03
   0.23986E-01  0.21004E-03
   0.28396E-01  0.24962E-03
   0.33459E-01  0.28450E-03
   0.39295E-01  0.32551E-03
   0.46033E-01  0.37394E-03
   0.53802E-01  0.43028E-03
   0.62705E-01  0.49426E-03
   0.72782E-01  0.56567E-03
   0.83993E-01  0.64393E-03
   0.96218E-01  0.72775E-03
   0.10929      0.81590E-03
   0.12303      0.90774E-03
   0.13730      0.10016E-02
   0.15196      0.10979E-02
   0.16693      0.11956E-02
   0.18214      0.12949E-02
   0.19755      0.13957E-02
   0.21313      0.14980E-02
   0.22884      0.16016E-02
   0.24467      0.17068E-02
   0.26060      0.18138E-02
   0.27662      0.19226E-02
   0.29272      0.20330E-02
   0.30888      0.21457E-02
   0.32511      0.22602E-02
   0.34140      0.23772E-02
   0.35774      0.24960E-02
   0.37412      0.26174E-02
   0.39055      0.27415E-02
   0.40701      0.28683E-02
   0.42351      0.29977E-02
   0.44004      0.31300E-02
   0.45660      0.32661E-02
   0.47319      0.34048E-02
   0.48980      0.35475E-02
   0.50644      0.36939E-02
   0.52309      0.38445E-02
   0.53976      0.39995E-02
   0.55645      0.41596E-02
   0.57315      0.43245E-02
   0.58987      0.44949E-02
   0.60659      0.46724E-02
   0.62333      0.48556E-02
   0.64008      0.50471E-02
   0.65683      0.52461E-02
   0.67359      0.54539E-02
   0.69035      0.56722E-02
   0.70712      0.59006E-02
   0.72389      0.61402E-02
   0.74066      0.63933E-02
   0.75742      0.66589E-02
   0.77419      0.69396E-02
   0.79095      0.72345E-02
   0.80771      0.75455E-02
   0.82446      0.78710E-02
   0.84120      0.82120E-02
   0.85793      0.85670E-02
   0.87462      0.89317E-02
   0.89128      0.93044E-02
   0.90784      0.96799E-02
   0.92422      0.10050E-01
   0.94026      0.10405E-01
   0.95567      0.10733E-01
   0.96999      0.11020E-01
   0.98277      0.11257E-01
   0.99372      0.11442E-01
    1.0000      0.11539E-01
    1.0001      0.12105E-01
    1.0064      0.12273E-01
    1.0139      0.12403E-01
    1.0226      0.12530E-01
    1.0328      0.12645E-01
    1.0448      0.12740E-01
    1.0588      0.12802E-01
    1.0752      0.12823E-01
    1.0945      0.12793E-01
    1.1171      0.12709E-01
    1.1435      0.12575E-01
    1.1745      0.12401E-01
    1.2109      0.12200E-01
    1.2534      0.11988E-01
    1.3033      0.11779E-01
    1.3618      0.11582E-01
    1.4302      0.11402E-01
    1.5105      0.11242E-01
    1.6044      0.11101E-01
    1.7145      0.10978E-01
    1.8434      0.10873E-01
    1.9944      0.10747E-01

