#  NACA 0012                                       
#  alpha = -12.0000
#  Mach  =   0.1600
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           dT
   0.33459E-01  0.15577E-03
   0.39294E-01  0.18245E-03
   0.46033E-01  0.19285E-03
   0.53802E-01  0.21461E-03
   0.62705E-01  0.23128E-03
   0.72782E-01  0.25554E-03
   0.83993E-01  0.27611E-03
   0.96218E-01  0.30075E-03
   0.10929      0.32451E-03
   0.12303      0.34893E-03
   0.13730      0.37331E-03
   0.15196      0.39742E-03
   0.16693      0.42149E-03
   0.18214      0.44529E-03
   0.19755      0.46875E-03
   0.21313      0.49252E-03
   0.22884      0.51459E-03
   0.24467      0.53793E-03
   0.26060      0.56065E-03
   0.27662      0.58272E-03
   0.29272      0.60476E-03
   0.30888      0.62702E-03
   0.32511      0.64878E-03
   0.34140      0.67022E-03
   0.35774      0.69207E-03
   0.37412      0.71291E-03
   0.39055      0.73374E-03
   0.40701      0.75514E-03
   0.42351      0.77510E-03
   0.44004      0.79600E-03
   0.45660      0.81608E-03
   0.47319      0.83650E-03
   0.48980      0.85603E-03
   0.50644      0.87549E-03
   0.52309      0.89474E-03
   0.53976      0.91404E-03
   0.55645      0.93333E-03
   0.57315      0.95147E-03
   0.58987      0.97006E-03
   0.60659      0.98777E-03
   0.62333      0.10066E-02
   0.64008      0.10237E-02
   0.65683      0.10417E-02
   0.67359      0.10587E-02
   0.69035      0.10763E-02
   0.70712      0.10934E-02
   0.72389      0.11087E-02
   0.74066      0.11280E-02
   0.75742      0.11439E-02
   0.77419      0.11600E-02
   0.79095      0.11786E-02
   0.80771      0.11954E-02
   0.82446      0.12128E-02
   0.84120      0.12306E-02
   0.85793      0.12478E-02
   0.87462      0.12709E-02
   0.89128      0.12894E-02
   0.90784      0.13124E-02
   0.92422      0.13371E-02
   0.94026      0.13627E-02
   0.95567      0.13951E-02
   0.96999      0.14266E-02
   0.98277      0.14630E-02
   0.99372      0.15125E-02
    1.0000      0.14479E-02
    1.0001      0.37012E-01
    1.0064      0.36364E-01
    1.0139      0.35451E-01
    1.0226      0.34378E-01
    1.0328      0.33143E-01
    1.0448      0.31751E-01
    1.0588      0.30210E-01
    1.0752      0.28544E-01
    1.0945      0.26787E-01
    1.1171      0.24989E-01
    1.1435      0.23204E-01
    1.1745      0.21489E-01
    1.2109      0.19891E-01
    1.2534      0.18443E-01
    1.3033      0.17159E-01
    1.3618      0.16039E-01
    1.4302      0.15075E-01
    1.5105      0.14253E-01
    1.6044      0.13557E-01
    1.7145      0.12973E-01
    1.8434      0.12490E-01
    1.9944      0.12049E-01

   0.33459E-01  0.69869E-04
   0.39294E-01  0.81175E-04
   0.46033E-01  0.86402E-04
   0.53802E-01  0.94502E-04
   0.62705E-01  0.10257E-03
   0.72782E-01  0.11188E-03
   0.83993E-01  0.12117E-03
   0.96218E-01  0.13102E-03
   0.10929      0.14103E-03
   0.12303      0.15107E-03
   0.13730      0.16109E-03
   0.15196      0.17098E-03
   0.16693      0.18077E-03
   0.18214      0.19043E-03
   0.19755      0.19993E-03
   0.21313      0.20941E-03
   0.22884      0.21849E-03
   0.24467      0.22768E-03
   0.26060      0.23671E-03
   0.27662      0.24556E-03
   0.29272      0.25430E-03
   0.30888      0.26302E-03
   0.32511      0.27160E-03
   0.34140      0.28006E-03
   0.35774      0.28853E-03
   0.37412      0.29677E-03
   0.39055      0.30494E-03
   0.40701      0.31315E-03
   0.42351      0.32108E-03
   0.44004      0.32909E-03
   0.45660      0.33692E-03
   0.47319      0.34476E-03
   0.48980      0.35240E-03
   0.50644      0.35998E-03
   0.52309      0.36746E-03
   0.53976      0.37491E-03
   0.55645      0.38230E-03
   0.57315      0.38947E-03
   0.58987      0.39665E-03
   0.60659      0.40364E-03
   0.62333      0.41075E-03
   0.64008      0.41757E-03
   0.65683      0.42445E-03
   0.67359      0.43115E-03
   0.69035      0.43789E-03
   0.70712      0.44451E-03
   0.72389      0.45082E-03
   0.74066      0.45767E-03
   0.75742      0.46400E-03
   0.77419      0.47031E-03
   0.79095      0.47697E-03
   0.80771      0.48333E-03
   0.82446      0.48976E-03
   0.84120      0.49622E-03
   0.85793      0.50260E-03
   0.87462      0.50979E-03
   0.89128      0.51636E-03
   0.90784      0.52356E-03
   0.92422      0.53096E-03
   0.94026      0.53847E-03
   0.95567      0.54677E-03
   0.96999      0.55472E-03
   0.98277      0.56291E-03
   0.99372      0.57211E-03
    1.0000      0.56618E-03
    1.0001      0.12105E-01
    1.0064      0.12273E-01
    1.0139      0.12403E-01
    1.0226      0.12530E-01
    1.0328      0.12645E-01
    1.0448      0.12740E-01
    1.0588      0.12802E-01
    1.0752      0.12823E-01
    1.0945      0.12793E-01
    1.1171      0.12709E-01
    1.1435      0.12575E-01
    1.1745      0.12401E-01
    1.2109      0.12200E-01
    1.2534      0.11988E-01
    1.3033      0.11779E-01
    1.3618      0.11582E-01
    1.4302      0.11402E-01
    1.5105      0.11242E-01
    1.6044      0.11101E-01
    1.7145      0.10978E-01
    1.8434      0.10873E-01
    1.9944      0.10747E-01
   0.90784       2.2535    
   0.92422       2.3342    
   0.94026       2.4234    
   0.95567       2.5191    
   0.96999       2.6173    
   0.98277       2.7133    
   0.99372       2.8014    
    1.0000       2.8517    
    1.0001       3.0430    
    1.0064       2.9487    
    1.0139       2.8443    
    1.0226       2.7300    
    1.0328       2.6078    
    1.0448       2.4794    
    1.0588       2.3472    
    1.0752       2.2139    
    1.0945       2.0821    
    1.1171       1.9546    
    1.1435       1.8339    
    1.1745       1.7218    
    1.2109       1.6196    
    1.2534       1.5277    
    1.3033       1.4461    
    1.3618       1.3742    
    1.4302       1.3116    
    1.5105       1.2573    
    1.6044       1.2108    
    1.7145       1.1713    
    1.8434       1.1383    
    1.9944       1.1108    

