#  NACA 0012                                       
#  alpha = -12.0000
#  Mach  =   0.1600
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           cd
   0.33459E-01  0.14870E-05
   0.39294E-01  0.30424E-04
   0.46033E-01  0.87748E-04
   0.53802E-01  0.15256E-03
   0.62705E-01  0.22635E-03
   0.72782E-01  0.28837E-03
   0.83993E-01  0.34959E-03
   0.96218E-01  0.39616E-03
   0.10929      0.43493E-03
   0.12303      0.46395E-03
   0.13730      0.48528E-03
   0.15196      0.50057E-03
   0.16693      0.51052E-03
   0.18214      0.51653E-03
   0.19755      0.51956E-03
   0.21313      0.51931E-03
   0.22884      0.51928E-03
   0.24467      0.51576E-03
   0.26060      0.51161E-03
   0.27662      0.50715E-03
   0.29272      0.50185E-03
   0.30888      0.49562E-03
   0.32511      0.48937E-03
   0.34140      0.48301E-03
   0.35774      0.47597E-03
   0.37412      0.46957E-03
   0.39055      0.46301E-03
   0.40701      0.45587E-03
   0.42351      0.44975E-03
   0.44004      0.44289E-03
   0.45660      0.43658E-03
   0.47319      0.43004E-03
   0.48980      0.42408E-03
   0.50644      0.41819E-03
   0.52309      0.41245E-03
   0.53976      0.40673E-03
   0.55645      0.40107E-03
   0.57315      0.39605E-03
   0.58987      0.39086E-03
   0.60659      0.38615E-03
   0.62333      0.38095E-03
   0.64008      0.37660E-03
   0.65683      0.37195E-03
   0.67359      0.36774E-03
   0.69035      0.36333E-03
   0.70712      0.35918E-03
   0.72389      0.35578E-03
   0.74066      0.35091E-03
   0.75742      0.34736E-03
   0.77419      0.34379E-03
   0.79095      0.33937E-03
   0.80771      0.33565E-03
   0.82446      0.33175E-03
   0.84120      0.32782E-03
   0.85793      0.32408E-03
   0.87462      0.31870E-03
   0.89128      0.31471E-03
   0.90784      0.30954E-03
   0.92422      0.30408E-03
   0.94026      0.29850E-03
   0.95567      0.29153E-03
   0.96999      0.28505E-03
   0.98277      0.27789E-03
   0.99372      0.26893E-03
    1.0000      0.40910E-03
    1.0001      0.53295E-02
