#  NACA 0012                                       
#  alpha = -12.0000
#  Mach  =   0.1600
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           ue
   0.33459E-01  0.22417E-01
   0.39294E-01  0.10989    
   0.46033E-01  0.19152    
   0.53802E-01  0.26744    
   0.62705E-01  0.33760    
   0.72782E-01  0.40160    
   0.83993E-01  0.45937    
   0.96218E-01  0.51105    
   0.10929      0.55640    
   0.12303      0.59624    
   0.13730      0.63104    
   0.15196      0.66155    
   0.16693      0.68831    
   0.18214      0.71189    
   0.19755      0.73278    
   0.21313      0.75123    
   0.22884      0.76796    
   0.24467      0.78280    
   0.26060      0.79615    
   0.27662      0.80827    
   0.29272      0.81927    
   0.30888      0.82921    
   0.32511      0.83828    
   0.34140      0.84660    
   0.35774      0.85415    
   0.37412      0.86117    
   0.39055      0.86764    
   0.40701      0.87352    
   0.42351      0.87909    
   0.44004      0.88415    
   0.45660      0.88890    
   0.47319      0.89327    
   0.48980      0.89741    
   0.50644      0.90128    
   0.52309      0.90492    
   0.53976      0.90831    
   0.55645      0.91148    
   0.57315      0.91454    
   0.58987      0.91739    
   0.60659      0.92015    
   0.62333      0.92266    
   0.64008      0.92516    
   0.65683      0.92747    
   0.67359      0.92972    
   0.69035      0.93181    
   0.70712      0.93382    
   0.72389      0.93587    
   0.74066      0.93754    
   0.75742      0.93934    
   0.77419      0.94104    
   0.79095      0.94249    
   0.80771      0.94395    
   0.82446      0.94529    
   0.84120      0.94653    
   0.85793      0.94771    
   0.87462      0.94843    
   0.89128      0.94930    
   0.90784      0.94980    
   0.92422      0.95008    
   0.94026      0.95014    
   0.95567      0.94968    
   0.96999      0.94905    
   0.98277      0.94800    
   0.99372      0.94622    
    1.0000      0.94930    
    1.0001      0.94930    
    1.0064      0.94668    
    1.0139      0.94464    
    1.0226      0.94263    
    1.0328      0.94078    
    1.0448      0.93923    
    1.0588      0.93819    
    1.0752      0.93784    
    1.0945      0.93837    
    1.1171      0.93990    
    1.1435      0.94247    
    1.1745      0.94598    
    1.2109      0.95021    
    1.2534      0.95490    
    1.3033      0.95974    
    1.3618      0.96451    
    1.4302      0.96905    
    1.5105      0.97326    
    1.6044      0.97709    
    1.7145      0.98050    
    1.8434      0.98351    
    1.9944      0.98721    

   0.28396E-01  0.72115E-01
   0.23986E-01  0.17341    
   0.20129E-01  0.28401    
   0.16743E-01  0.40425    
   0.13763E-01  0.53650    
   0.11140E-01  0.68203    
   0.88340E-02  0.84351    
   0.68196E-02   1.0224    
   0.50781E-02   1.2189    
   0.35991E-02   1.4350    
   0.23779E-02   1.6647    
   0.14132E-02   1.9043    
   0.70408E-03   2.1410    
   0.24572E-03   2.3606    
   0.26206E-04   2.5526    
   0.26213E-04   2.7141    
   0.24574E-03   2.8480    
   0.70408E-03   2.9397    
   0.14133E-02   2.9838    
   0.23780E-02   2.9834    
   0.35992E-02   2.9474    
   0.50782E-02   2.8885    
   0.68196E-02   2.8291    
   0.88341E-02   2.7858    
   0.11140E-01   2.7580    
   0.13763E-01   2.7397    
   0.16743E-01   2.7243    
   0.20129E-01   2.5755    
   0.23986E-01   2.3757    
   0.28396E-01   2.2872    
   0.33459E-01   2.2259    
   0.39295E-01   2.1660    
   0.46033E-01   2.1056    
   0.53802E-01   2.0453    
   0.62705E-01   1.9867    
   0.72782E-01   1.9306    
   0.83993E-01   1.8776    
   0.96218E-01   1.8285    
   0.10929       1.7834    
   0.12303       1.7420    
   0.13730       1.7044    
   0.15196       1.6699    
   0.16693       1.6382    
   0.18214       1.6090    
   0.19755       1.5818    
   0.21313       1.5565    
   0.22884       1.5328    
   0.24467       1.5105    
   0.26060       1.4893    
   0.27662       1.4692    
   0.29272       1.4501    
   0.30888       1.4318    
   0.32511       1.4143    
   0.34140       1.3974    
   0.35774       1.3812    
   0.37412       1.3656    
   0.39055       1.3504    
   0.40701       1.3357    
   0.42351       1.3214    
   0.44004       1.3076    
   0.45660       1.2940    
   0.47319       1.2808    
   0.48980       1.2679    
   0.50644       1.2553    
   0.52309       1.2428    
   0.53976       1.2306    
   0.55645       1.2186    
   0.57315       1.2068    
   0.58987       1.1951    
   0.60659       1.1835    
   0.62333       1.1720    
   0.64008       1.1606    
   0.65683       1.1493    
   0.67359       1.1380    
   0.69035       1.1267    
   0.70712       1.1155    
   0.72389       1.1043    
   0.74066       1.0930    
   0.75742       1.0818    
   0.77419       1.0706    
   0.79095       1.0595    
   0.80771       1.0484    
   0.82446       1.0374    
   0.84120       1.0267    
   0.85793       1.0161    
   0.87462       1.0059    
   0.89128      0.99617    
   0.90784      0.98695    
   0.92422      0.97844    
   0.94026      0.97075    
   0.95567      0.96408    
   0.96999      0.95855    
   0.98277      0.95421    
   0.99372      0.95095    
    1.0000      0.94930    
    1.0001      0.94930    
    1.0064      0.94668    
    1.0139      0.94464    
    1.0226      0.94263    
    1.0328      0.94078    
    1.0448      0.93923    
    1.0588      0.93819    
    1.0752      0.93784    
    1.0945      0.93837    
    1.1171      0.93990    
    1.1435      0.94247    
    1.1745      0.94598    
    1.2109      0.95021    
    1.2534      0.95490    
    1.3033      0.95974    
    1.3618      0.96451    
    1.4302      0.96905    
    1.5105      0.97326    
    1.6044      0.97709    
    1.7145      0.98050    
    1.8434      0.98351    
    1.9944      0.98721    

