#  NACA 0012                                       
#  alpha = -12.0000
#  Mach  =   0.1600
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           hk
   0.33459E-01   2.2295    
   0.39294E-01   2.2474    
   0.46033E-01   2.2315    
   0.53802E-01   2.2700    
   0.62705E-01   2.2533    
   0.72782E-01   2.2818    
   0.83993E-01   2.2758    
   0.96218E-01   2.2919    
   0.10929       2.2967    
   0.12303       2.3047    
   0.13730       2.3118    
   0.15196       2.3182    
   0.16693       2.3249    
   0.18214       2.3312    
   0.19755       2.3369    
   0.21313       2.3439    
   0.22884       2.3468    
   0.24467       2.3540    
   0.26060       2.3595    
   0.27662       2.3638    
   0.29272       2.3685    
   0.30888       2.3741    
   0.32511       2.3787    
   0.34140       2.3829    
   0.35774       2.3882    
   0.37412       2.3916    
   0.39055       2.3954    
   0.40701       2.4005    
   0.42351       2.4030    
   0.44004       2.4076    
   0.45660       2.4108    
   0.47319       2.4149    
   0.48980       2.4175    
   0.50644       2.4204    
   0.52309       2.4231    
   0.53976       2.4262    
   0.55645       2.4294    
   0.57315       2.4309    
   0.58987       2.4335    
   0.60659       2.4349    
   0.62333       2.4383    
   0.64008       2.4393    
   0.65683       2.4417    
   0.67359       2.4430    
   0.69035       2.4454    
   0.70712       2.4472    
   0.72389       2.4467    
   0.74066       2.4520    
   0.75742       2.4525    
   0.77419       2.4536    
   0.79095       2.4582    
   0.80771       2.4603    
   0.82446       2.4633    
   0.84120       2.4668    
   0.85793       2.4697    
   0.87462       2.4798    
   0.89128       2.4839    
   0.90784       2.4936    
   0.92422       2.5050    
   0.94026       2.5175    
   0.95567       2.5383    
   0.96999       2.5584    
   0.98277       2.5857    
   0.99372       2.6303    
    1.0000       2.5440    
    1.0001       3.0430    
    1.0064       2.9487    
    1.0139       2.8443    
    1.0226       2.7300    
    1.0328       2.6078    
    1.0448       2.4794    
    1.0588       2.3472    
    1.0752       2.2139    
    1.0945       2.0821    
    1.1171       1.9546    
    1.1435       1.8339    
    1.1745       1.7218    
    1.2109       1.6196    
    1.2534       1.5277    
    1.3033       1.4461    
    1.3618       1.3742    
    1.4302       1.3116    
    1.5105       1.2573    
    1.6044       1.2108    
    1.7145       1.1713    
    1.8434       1.1383    
    1.9944       1.1108    

   0.28396E-01   2.2295    
   0.23986E-01   2.2048    
   0.20129E-01   2.2218    
   0.16743E-01   2.1948    
   0.13763E-01   2.2014    
   0.11140E-01   2.1873    
   0.88340E-02   2.1862    
   0.68196E-02   2.1795    
   0.50781E-02   2.1792    
   0.35991E-02   2.1743    
   0.23779E-02   2.1814    
   0.14132E-02   2.1824    
   0.70408E-03   2.1973    
   0.24572E-03   2.2145    
   0.26206E-04   2.2369    
   0.26213E-04   2.2599    
   0.24574E-03   2.2934    
   0.70408E-03   2.3568    
   0.14133E-02   2.4466    
   0.23780E-02   2.5776    
   0.35992E-02   2.7769    
   0.50782E-02   3.1326    
   0.68196E-02   3.7967    
   0.88341E-02   4.9084    
   0.11140E-01   6.3051    
   0.13763E-01   7.6916    
   0.16743E-01   8.5288    
   0.20129E-01   5.0354    
   0.23986E-01   2.4896    
   0.28396E-01   1.8100    
   0.33459E-01   1.5795    
   0.39295E-01   1.4932    
   0.46033E-01   1.4619    
   0.53802E-01   1.4549    
   0.62705E-01   1.4593    
   0.72782E-01   1.4691    
   0.83993E-01   1.4813    
   0.96218E-01   1.4937    
   0.10929       1.5052    
   0.12303       1.5159    
   0.13730       1.5248    
   0.15196       1.5327    
   0.16693       1.5394    
   0.18214       1.5452    
   0.19755       1.5504    
   0.21313       1.5549    
   0.22884       1.5590    
   0.24467       1.5628    
   0.26060       1.5664    
   0.27662       1.5699    
   0.29272       1.5733    
   0.30888       1.5768    
   0.32511       1.5803    
   0.34140       1.5839    
   0.35774       1.5876    
   0.37412       1.5915    
   0.39055       1.5956    
   0.40701       1.5999    
   0.42351       1.6044    
   0.44004       1.6092    
   0.45660       1.6144    
   0.47319       1.6197    
   0.48980       1.6256    
   0.50644       1.6318    
   0.52309       1.6384    
   0.53976       1.6456    
   0.55645       1.6534    
   0.57315       1.6617    
   0.58987       1.6708    
   0.60659       1.6808    
   0.62333       1.6915    
   0.64008       1.7034    
   0.65683       1.7164    
   0.67359       1.7307    
   0.69035       1.7467    
   0.70712       1.7643    
   0.72389       1.7839    
   0.74066       1.8060    
   0.75742       1.8305    
   0.77419       1.8582    
   0.79095       1.8892    
   0.80771       1.9244    
   0.82446       1.9639    
   0.84120       2.0087    
   0.85793       2.0595    
   0.87462       2.1164    
   0.89128       2.1809    
   0.90784       2.2535    
   0.92422       2.3342    
   0.94026       2.4234    
   0.95567       2.5191    
   0.96999       2.6173    
   0.98277       2.7133    
   0.99372       2.8014    
    1.0000       2.8517    
    1.0001       3.0430    
    1.0064       2.9487    
    1.0139       2.8443    
    1.0226       2.7300    
    1.0328       2.6078    
    1.0448       2.4794    
    1.0588       2.3472    
    1.0752       2.2139    
    1.0945       2.0821    
    1.1171       1.9546    
    1.1435       1.8339    
    1.1745       1.7218    
    1.2109       1.6196    
    1.2534       1.5277    
    1.3033       1.4461    
    1.3618       1.3742    
    1.4302       1.3116    
    1.5105       1.2573    
    1.6044       1.2108    
    1.7145       1.1713    
    1.8434       1.1383    
    1.9944       1.1108    

