#  NACA 0012                                       
#  alpha = -12.0000
#  Mach  =   0.1600
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           ct
    1.0000      0.16157E-01
    1.0001      0.59057E-01
    1.0064      0.59500E-01
    1.0139      0.59950E-01
    1.0226      0.60404E-01
    1.0328      0.60840E-01
    1.0448      0.61230E-01
    1.0588      0.61536E-01
    1.0752      0.61713E-01
    1.0945      0.61713E-01
    1.1171      0.61489E-01
    1.1435      0.61000E-01
    1.1745      0.60220E-01
    1.2109      0.59141E-01
    1.2534      0.57772E-01
    1.3033      0.56143E-01
    1.3618      0.54293E-01
    1.4302      0.52275E-01
    1.5105      0.50149E-01
    1.6044      0.47943E-01
    1.7145      0.45603E-01
    1.8434      0.43080E-01
    1.9944      0.40349E-01

   0.20129E-01  0.10536    
   0.23986E-01  0.90410E-01
   0.28396E-01  0.75323E-01
   0.33459E-01  0.65109E-01
   0.39295E-01  0.58646E-01
   0.46033E-01  0.54414E-01
   0.53802E-01  0.51528E-01
   0.62705E-01  0.49497E-01
   0.72782E-01  0.48062E-01
   0.83993E-01  0.47061E-01
   0.96218E-01  0.46374E-01
   0.10929      0.45914E-01
   0.12303      0.45623E-01
   0.13730      0.45439E-01
   0.15196      0.45339E-01
   0.16693      0.45291E-01
   0.18214      0.45280E-01
   0.19755      0.45297E-01
   0.21313      0.45333E-01
   0.22884      0.45382E-01
   0.24467      0.45441E-01
   0.26060      0.45510E-01
   0.27662      0.45587E-01
   0.29272      0.45668E-01
   0.30888      0.45758E-01
   0.32511      0.45852E-01
   0.34140      0.45953E-01
   0.35774      0.46058E-01
   0.37412      0.46170E-01
   0.39055      0.46289E-01
   0.40701      0.46414E-01
   0.42351      0.46544E-01
   0.44004      0.46681E-01
   0.45660      0.46829E-01
   0.47319      0.46980E-01
   0.48980      0.47142E-01
   0.50644      0.47311E-01
   0.52309      0.47491E-01
   0.53976      0.47680E-01
   0.55645      0.47881E-01
   0.57315      0.48093E-01
   0.58987      0.48318E-01
   0.60659      0.48558E-01
   0.62333      0.48812E-01
   0.64008      0.49083E-01
   0.65683      0.49372E-01
   0.67359      0.49680E-01
   0.69035      0.50011E-01
   0.70712      0.50364E-01
   0.72389      0.50741E-01
   0.74066      0.51147E-01
   0.75742      0.51579E-01
   0.77419      0.52043E-01
   0.79095      0.52537E-01
   0.80771      0.53064E-01
   0.82446      0.53624E-01
   0.84120      0.54217E-01
   0.85793      0.54844E-01
   0.87462      0.55499E-01
   0.89128      0.56183E-01
   0.90784      0.56890E-01
   0.92422      0.57612E-01
   0.94026      0.58339E-01
   0.95567      0.59052E-01
   0.96999      0.59725E-01
   0.98277      0.60334E-01
   0.99372      0.60860E-01
    1.0000      0.61162E-01
    1.0001      0.59057E-01
    1.0064      0.59500E-01
    1.0139      0.59950E-01
    1.0226      0.60404E-01
    1.0328      0.60840E-01
    1.0448      0.61230E-01
    1.0588      0.61536E-01
    1.0752      0.61713E-01
    1.0945      0.61713E-01
    1.1171      0.61489E-01
    1.1435      0.61000E-01
    1.1745      0.60220E-01
    1.2109      0.59141E-01
    1.2534      0.57772E-01
    1.3033      0.56143E-01
    1.3618      0.54293E-01
    1.4302      0.52275E-01
    1.5105      0.50149E-01
    1.6044      0.47943E-01
    1.7145      0.45603E-01
    1.8434      0.43080E-01
    1.9944      0.40349E-01

