#  NACA 0012                                       
#  alpha = -12.0000
#  Mach  =   0.1600
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           cf
   0.33459E-01  0.23093E-03
   0.39294E-01  0.95161E-03
   0.46033E-01  0.15919E-02
   0.53802E-01  0.19291E-02
   0.62705E-01  0.22946E-02
   0.72782E-01  0.24070E-02
   0.83993E-01  0.25624E-02
   0.96218E-01  0.25786E-02
   0.10929      0.25905E-02
   0.12303      0.25625E-02
   0.13730      0.25183E-02
   0.15196      0.24651E-02
   0.16693      0.24032E-02
   0.18214      0.23388E-02
   0.19755      0.22745E-02
   0.21313      0.22045E-02
   0.22884      0.21510E-02
   0.24467      0.20830E-02
   0.26060      0.20219E-02
   0.27662      0.19667E-02
   0.29272      0.19120E-02
   0.30888      0.18564E-02
   0.32511      0.18057E-02
   0.34140      0.17579E-02
   0.35774      0.17087E-02
   0.37412      0.16667E-02
   0.39055      0.16254E-02
   0.40701      0.15820E-02
   0.42351      0.15473E-02
   0.44004      0.15083E-02
   0.45660      0.14743E-02
   0.47319      0.14395E-02
   0.48980      0.14094E-02
   0.50644      0.13801E-02
   0.52309      0.13521E-02
   0.53976      0.13244E-02
   0.55645      0.12973E-02
   0.57315      0.12748E-02
   0.58987      0.12510E-02
   0.60659      0.12305E-02
   0.62333      0.12065E-02
   0.64008      0.11884E-02
   0.65683      0.11680E-02
   0.67359      0.11504E-02
   0.69035      0.11314E-02
   0.70712      0.11141E-02
   0.72389      0.11016E-02
   0.74066      0.10788E-02
   0.75742      0.10652E-02
   0.77419      0.10513E-02
   0.79095      0.10312E-02
   0.80771      0.10162E-02
   0.82446      0.99981E-03
   0.84120      0.98311E-03
   0.85793      0.96776E-03
   0.87462      0.94091E-03
   0.89128      0.92424E-03
   0.90784      0.89914E-03
   0.92422      0.87217E-03
   0.94026      0.84431E-03
   0.95567      0.80581E-03
   0.96999      0.77020E-03
   0.98277      0.72757E-03
   0.99372      0.66721E-03
    1.0000      0.77129E-03
    1.0001       0.0000    
    1.0064       0.0000    
    1.0139       0.0000    
    1.0226       0.0000    
    1.0328       0.0000    
    1.0448       0.0000    
    1.0588       0.0000    
    1.0752       0.0000    
    1.0945       0.0000    
    1.1171       0.0000    
    1.1435       0.0000    
    1.1745       0.0000    
    1.2109       0.0000    
    1.2534       0.0000    
    1.3033       0.0000    
    1.3618       0.0000    
    1.4302       0.0000    
    1.5105       0.0000    
    1.6044       0.0000    
    1.7145       0.0000    
    1.8434       0.0000    
    1.9944       0.0000    

   0.28396E-01  0.74358E-03
   0.23986E-01  0.20959E-02
   0.20129E-01  0.36158E-02
   0.16743E-01  0.58027E-02
   0.13763E-01  0.82716E-02
   0.11140E-01  0.11631E-01
   0.88340E-02  0.15607E-01
   0.68196E-02  0.20641E-01
   0.50781E-02  0.26461E-01
   0.35991E-02  0.33597E-01
   0.23779E-02  0.40761E-01
   0.14132E-02  0.48614E-01
   0.70408E-03  0.54750E-01
   0.24572E-03  0.58947E-01
   0.26206E-04  0.60568E-01
