#  RDEF xfoil_parameters.def                       
#  alpha =  16.0000
#  Mach  =   0.2000
#  Reyn  =  4000000
#  Ncrit =   9.0000
#
#    x           rt
   0.467809E-01   16.2641    
   0.398340E-01   29.9874    
   0.338308E-01   43.3419    
   0.286378E-01   54.9402    
   0.241306E-01   65.6544    
   0.202029E-01   75.1983    
   0.167666E-01   84.0007    
   0.137530E-01   92.0770    
   0.111083E-01   99.5233    
   0.879156E-02   106.630    
   0.677155E-02   113.229    
   0.503136E-02   119.948    
   0.355855E-02   126.379    
   0.234691E-02   133.465    
   0.138886E-02   141.249    
   0.686104E-03   149.788    
   0.239128E-03   160.768    
   0.261695E-04   172.308    
   0.261695E-04   185.876    
   0.239128E-03   202.328    
   0.686104E-03   222.579    
   0.138886E-02   250.557    
   0.234691E-02   284.059    
   0.355855E-02   322.521    
   0.503136E-02   354.352    
   0.677155E-02   379.765    
   0.879156E-02   524.100    
   0.111083E-01   728.802    
   0.137530E-01   866.246    
   0.167666E-01   1027.10    
   0.202029E-01   1214.68    
   0.241306E-01   1425.31    
   0.286378E-01   1661.97    
   0.338308E-01   1925.21    
   0.398340E-01   2220.02    
   0.467809E-01   2549.19    
   0.547964E-01   2915.00    
   0.639676E-01   3318.49    
   0.743122E-01   3756.91    
   0.857614E-01   4224.82    
   0.981746E-01   4715.24    
   0.111376       5220.59    
   0.125196       5735.46    
   0.139490       6255.33    
   0.154149       6778.00    
   0.169091       7302.21    
   0.184260       7827.41    
   0.199611       8353.79    
   0.215116       8881.86    
   0.230749       9411.95    
   0.246492       9944.75    
   0.262332       10481.0    
   0.278256       11021.6    
   0.294255       11567.0    
   0.310320       12118.0    
   0.326445       12675.7    
   0.342624       13240.7    
   0.358851       13813.9    
   0.375123       14396.3    
   0.391434       14988.8    
   0.407782       15592.7    
   0.424163       16209.1    
   0.440575       16839.3    
   0.457014       17484.7    
   0.473479       18146.9    
   0.489967       18827.8    
   0.506476       19529.3    
   0.523004       20253.4    
   0.539550       21002.5    
   0.556111       21779.1    
   0.572687       22585.6    
   0.589274       23424.6    
   0.605873       24298.8    
   0.622482       25210.3    
   0.639098       26161.0    
   0.655722       27151.8    
   0.672351       28182.6    
   0.688984       29251.4    
   0.705621       30354.3    
   0.722259       31484.7    
   0.738898       32632.7    
   0.755536       33784.8    
   0.772172       34923.7    
   0.788806       36028.0    
   0.805434       37072.8    
   0.822056       38029.9    
   0.838669       38868.1    
   0.855268       39525.0    
   0.871844       39483.4    
   0.888382       39510.1    
   0.904847       39719.5    
   0.921170       40038.7    
   0.937210       40424.3    
   0.952711       40847.0    
   0.967266       41280.9    
   0.980385       41699.1    
   0.991697       42080.5    
    1.00000       42373.4    
    1.00010       43214.6    
    1.00848       43860.2    
    1.01803       44867.7    
    1.02891       46089.4    
    1.04129       47596.2    
    1.05540       49520.4    
    1.07146       52199.5    
    1.08975       55884.6    
    1.11058       57867.7    
    1.13430       59183.3    
    1.16130       59823.5    
    1.19204       59859.8    
    1.22703       59432.5    
    1.26686       58714.7    
    1.31219       57867.1    
    1.36379       57006.7    
    1.42251       56200.7    
    1.48933       55477.8    
    1.56537       54843.6    
    1.65188       54292.8    
    1.75032       53815.9    
    1.86231       53405.3    
    1.98973       52886.3    

   0.547964E-01  0.369303    
   0.639676E-01   18.3380    
   0.743122E-01   36.9769    
   0.857614E-01   57.2777    
   0.981746E-01   78.2822    
   0.111376       99.7655    
   0.125196       121.363    
   0.139490       142.920    
   0.154149       164.265    
   0.169091       185.340    
   0.184260       206.092    
   0.199611       226.509    
   0.215116       246.590    
   0.230749       266.330    
   0.246492       285.741    
   0.262332       304.838    
   0.278256       323.629    
   0.294255       342.118    
   0.310320       360.321    
   0.326445       378.249    
   0.342624       395.909    
   0.358851       413.307    
   0.375123       430.450    
   0.391434       447.341    
   0.407782       463.994    
   0.424163       480.410    
   0.440575       496.592    
   0.457014       512.539    
   0.473479       528.260    
   0.489967       543.758    
   0.506476       559.030    
   0.523004       574.082    
   0.539550       588.916    
   0.556111       603.534    
   0.572687       617.925    
   0.589274       632.101    
   0.605873       646.068    
   0.622482       659.816    
   0.639098       673.349    
   0.655722       686.668    
   0.672351       699.776    
   0.688984       712.656    
   0.705621       725.322    
   0.722259       737.782    
   0.738898       750.015    
   0.755536       762.034    
   0.772172       773.831    
   0.788806       785.383    
   0.805434       796.687    
   0.822056       807.778    
   0.838669       818.565    
   0.855268       829.061    
   0.871844       839.225    
   0.888382       849.003    
   0.904847       858.255    
   0.921170       866.853    
   0.937210       874.549    
   0.952711       880.903    
   0.967266       885.668    
   0.980385       886.704    
   0.991697       891.825    
    1.00000       841.154    
    1.00010       43214.6    
    1.00848       43860.2    
    1.01803       44867.7    
    1.02891       46089.4    
    1.04129       47596.2    
    1.05540       49520.4    
    1.07146       52199.5    
    1.08975       55884.6    
    1.11058       57867.7    
    1.13430       59183.3    
    1.16130       59823.5    
    1.19204       59859.8    
    1.22703       59432.5    
    1.26686       58714.7    
    1.31219       57867.1    
    1.36379       57006.7    
    1.42251       56200.7    
    1.48933       55477.8    
    1.56537       54843.6    
    1.65188       54292.8    
    1.75032       53815.9    
    1.86231       53405.3    
    1.98973       52886.3    

