#  RDEF xfoil_parameters.def                       
#  alpha =  16.0000
#  Mach  =   0.2000
#  Reyn  =  4000000
#  Ncrit =   9.0000
#
#    x           dB
   0.547964E-01  0.949424E-04
   0.639676E-01  0.110853E-03
   0.743122E-01  0.119057E-03
   0.857614E-01  0.130179E-03
   0.981746E-01  0.141006E-03
   0.111376      0.152400E-03
   0.125196      0.163558E-03
   0.139490      0.174837E-03
   0.154149      0.185927E-03
   0.169091      0.196926E-03
   0.184260      0.207757E-03
   0.199611      0.218452E-03
   0.215116      0.229010E-03
   0.230749      0.239413E-03
   0.246492      0.249683E-03
   0.262332      0.259831E-03
   0.278256      0.269856E-03
   0.294255      0.279744E-03
   0.310320      0.289517E-03
   0.326445      0.299177E-03
   0.342624      0.308717E-03
   0.358851      0.318138E-03
   0.375123      0.327434E-03
   0.391434      0.336601E-03
   0.407782      0.345654E-03
   0.424163      0.354582E-03
   0.440575      0.363375E-03
   0.457014      0.372023E-03
   0.473479      0.380535E-03
   0.489967      0.388905E-03
   0.506476      0.397120E-03
   0.523004      0.405180E-03
   0.539550      0.413087E-03
   0.556111      0.420834E-03
   0.572687      0.428391E-03
   0.589274      0.435777E-03
   0.605873      0.443002E-03
   0.622482      0.450036E-03
   0.639098      0.456882E-03
   0.655722      0.463540E-03
   0.672351      0.470010E-03
   0.688984      0.476251E-03
   0.705621      0.482294E-03
   0.722259      0.488150E-03
   0.738898      0.493771E-03
   0.755536      0.499184E-03
   0.772172      0.504372E-03
   0.788806      0.509281E-03
   0.805434      0.513913E-03
   0.822056      0.518342E-03
   0.838669      0.522380E-03
   0.855268      0.526070E-03
   0.871844      0.529340E-03
   0.888382      0.532116E-03
   0.904847      0.534167E-03
   0.921170      0.535346E-03
   0.937210      0.535346E-03
   0.952711      0.533630E-03
   0.967266      0.530185E-03
   0.980385      0.521643E-03
   0.991697      0.522415E-03
    1.00000      0.438008E-03
    1.00010      0.562946E-01
    1.00848      0.555129E-01
    1.01803      0.543934E-01
    1.02891      0.529956E-01
    1.04129      0.512875E-01
    1.05540      0.492370E-01
    1.07146      0.468378E-01
    1.08975      0.441097E-01
    1.11058      0.409364E-01
    1.13430      0.375782E-01
    1.16130      0.341885E-01
    1.19204      0.309286E-01
    1.22703      0.279389E-01
    1.26686      0.253114E-01
    1.31219      0.230788E-01
    1.36379      0.212246E-01
    1.42251      0.197037E-01
    1.48933      0.184618E-01
    1.56537      0.174481E-01
    1.65188      0.166201E-01
    1.75032      0.159447E-01
    1.86231      0.153960E-01
    1.98973      0.148790E-01

   0.547964E-01  0.425845E-04
   0.639676E-01  0.497107E-04
   0.743122E-01  0.530319E-04
   0.857614E-01  0.576828E-04
   0.981746E-01  0.623379E-04
   0.111376      0.670706E-04
   0.125196      0.717823E-04
   0.139490      0.764665E-04
   0.154149      0.810842E-04
   0.169091      0.856342E-04
   0.184260      0.901058E-04
   0.199611      0.945033E-04
   0.215116      0.988302E-04
   0.230749      0.103084E-03
   0.246492      0.107271E-03
   0.262332      0.111395E-03
   0.278256      0.115460E-03
   0.294255      0.119463E-03
   0.310320      0.123409E-03
   0.326445      0.127302E-03
   0.342624      0.131141E-03
   0.358851      0.134927E-03
   0.375123      0.138660E-03
   0.391434      0.142339E-03
   0.407782      0.145968E-03
   0.424163      0.149546E-03
   0.440575      0.153071E-03
   0.457014      0.156542E-03
   0.473479      0.159960E-03
   0.489967      0.163325E-03
   0.506476      0.166633E-03
   0.523004      0.169886E-03
   0.539550      0.173084E-03
   0.556111      0.176224E-03
   0.572687      0.179303E-03
   0.589274      0.182322E-03
   0.605873      0.185283E-03
   0.622482      0.188182E-03
   0.639098      0.191019E-03
   0.655722      0.193792E-03
   0.672351      0.196502E-03
   0.688984      0.199143E-03
   0.705621      0.201717E-03
   0.722259      0.204227E-03
   0.738898      0.206664E-03
   0.755536      0.209033E-03
   0.772172      0.211330E-03
   0.788806      0.213545E-03
   0.805434      0.215677E-03
   0.822056      0.217737E-03
   0.838669      0.219693E-03
   0.855268      0.221547E-03
   0.871844      0.223286E-03
   0.888382      0.224889E-03
   0.904847      0.226311E-03
   0.921170      0.227510E-03
   0.937210      0.228413E-03
   0.952711      0.228893E-03
   0.967266      0.228905E-03
   0.980385      0.227775E-03
   0.991697      0.228181E-03
    1.00000      0.210267E-03
    1.00010      0.108025E-01
    1.00848      0.109898E-01
    1.01803      0.112842E-01
    1.02891      0.116450E-01
    1.04129      0.120958E-01
    1.05540      0.126813E-01
    1.07146      0.135153E-01
    1.08975      0.146990E-01
    1.11058      0.153566E-01
    1.13430      0.158042E-01
    1.16130      0.160269E-01
    1.19204      0.160397E-01
    1.22703      0.158860E-01
    1.26686      0.156248E-01
    1.31219      0.153140E-01
    1.36379      0.149966E-01
    1.42251      0.146981E-01
    1.48933      0.144296E-01
    1.56537      0.141937E-01
    1.65188      0.139884E-01
    1.75032      0.138105E-01
    1.86231      0.136572E-01
    1.98973      0.134635E-01

