#  RDEF xfoil_parameters.def                       
#  alpha =  16.0000
#  Mach  =   0.2000
#  Reyn  =  4000000
#  Ncrit =   9.0000
#
#    x           dT
   0.467809E-01  0.949558E-04
   0.398340E-01  0.823914E-04
   0.338308E-01  0.770148E-04
   0.286378E-01  0.696158E-04
   0.241306E-01  0.643606E-04
   0.202029E-01  0.587919E-04
   0.167666E-01  0.541252E-04
   0.137530E-01  0.497715E-04
   0.111083E-01  0.458318E-04
   0.879156E-02  0.424318E-04
   0.677155E-02  0.392836E-04
   0.503136E-02  0.368558E-04
   0.355855E-02  0.346954E-04
   0.234691E-02  0.334043E-04
   0.138886E-02  0.327625E-04
   0.686104E-03  0.327885E-04
   0.239128E-03  0.342388E-04
   0.261695E-04  0.359540E-04
   0.261695E-04  0.387220E-04
   0.239128E-03  0.426479E-04
   0.686104E-03  0.480854E-04
   0.138886E-02  0.577404E-04
   0.234691E-02  0.716910E-04
   0.355855E-02  0.974220E-04
   0.503136E-02  0.145902E-03
   0.677155E-02  0.200759E-03
   0.879156E-02  0.196811E-03
   0.111083E-01  0.144688E-03
   0.137530E-01  0.140049E-03
   0.167666E-01  0.158031E-03
   0.202029E-01  0.188411E-03
   0.241306E-01  0.227092E-03
   0.286378E-01  0.274121E-03
   0.338308E-01  0.329413E-03
   0.398340E-01  0.394368E-03
   0.467809E-01  0.469778E-03
   0.547964E-01  0.556383E-03
   0.639676E-01  0.654758E-03
   0.743122E-01  0.764486E-03
   0.857614E-01  0.884502E-03
   0.981746E-01  0.101336E-02
   0.111376      0.114932E-02
   0.125196      0.129124E-02
   0.139490      0.143805E-02
   0.154149      0.158932E-02
   0.169091      0.174481E-02
   0.184260      0.190448E-02
   0.199611      0.206851E-02
   0.215116      0.223719E-02
   0.230749      0.241073E-02
   0.246492      0.258950E-02
   0.262332      0.277396E-02
   0.278256      0.296454E-02
   0.294255      0.316165E-02
   0.310320      0.336585E-02
   0.326445      0.357776E-02
   0.342624      0.379799E-02
   0.358851      0.402727E-02
   0.375123      0.426637E-02
   0.391434      0.451619E-02
   0.407782      0.477783E-02
   0.424163      0.505247E-02
   0.440575      0.534144E-02
   0.457014      0.564629E-02
   0.473479      0.596888E-02
   0.489967      0.631133E-02
   0.506476      0.667609E-02
   0.523004      0.706605E-02
   0.539550      0.748459E-02
   0.556111      0.793562E-02
   0.572687      0.842362E-02
   0.589274      0.895392E-02
   0.605873      0.953264E-02
   0.622482      0.101667E-01
   0.639098      0.108639E-01
   0.655722      0.116332E-01
   0.672351      0.124840E-01
   0.688984      0.134268E-01
   0.705621      0.144725E-01
   0.722259      0.156323E-01
   0.738898      0.169170E-01
   0.755536      0.183366E-01
   0.772172      0.198999E-01
   0.788806      0.216133E-01
   0.805434      0.234807E-01
   0.822056      0.255031E-01
   0.838669      0.276775E-01
   0.855268      0.299940E-01
   0.871844      0.323643E-01
   0.888382      0.348480E-01
   0.904847      0.374281E-01
   0.921170      0.400672E-01
   0.937210      0.427235E-01
   0.952711      0.453367E-01
   0.967266      0.478184E-01
   0.980385      0.500657E-01
   0.991697      0.519858E-01
    1.00000      0.533611E-01
    1.00010      0.562946E-01
    1.00848      0.555129E-01
    1.01803      0.543934E-01
    1.02891      0.529956E-01
    1.04129      0.512875E-01
    1.05540      0.492370E-01
    1.07146      0.468378E-01
    1.08975      0.441097E-01
    1.11058      0.409364E-01
    1.13430      0.375782E-01
    1.16130      0.341885E-01
    1.19204      0.309286E-01
    1.22703      0.279389E-01
    1.26686      0.253114E-01
    1.31219      0.230788E-01
    1.36379      0.212246E-01
    1.42251      0.197037E-01
    1.48933      0.184618E-01
    1.56537      0.174481E-01
    1.65188      0.166201E-01
    1.75032      0.159447E-01
    1.86231      0.153960E-01
    1.98973      0.148790E-01

   0.467809E-01  0.425875E-04
   0.398340E-01  0.374405E-04
   0.338308E-01  0.346487E-04
   0.286378E-01  0.317318E-04
   0.241306E-01  0.291988E-04
   0.202029E-01  0.268192E-04
   0.167666E-01  0.246618E-04
   0.137530E-01  0.226909E-04
   0.111083E-01  0.208709E-04
   0.879156E-02  0.192553E-04
   0.677155E-02  0.177633E-04
   0.503136E-02  0.165162E-04
   0.355855E-02  0.154155E-04
   0.234691E-02  0.146016E-04
   0.138886E-02  0.140566E-04
   0.686104E-03  0.137664E-04
   0.239128E-03  0.139229E-04
   0.261695E-04  0.142803E-04
   0.261695E-04  0.149317E-04
   0.239128E-03  0.159199E-04
   0.686104E-03  0.173051E-04
   0.138886E-02  0.194513E-04
   0.234691E-02  0.221881E-04
   0.355855E-02  0.254810E-04
   0.503136E-02  0.282655E-04
   0.677155E-02  0.304882E-04
   0.879156E-02  0.433749E-04
   0.111083E-01  0.632494E-04
   0.137530E-01  0.773193E-04
   0.167666E-01  0.942060E-04
   0.202029E-01  0.114682E-03
   0.241306E-01  0.138655E-03
   0.286378E-01  0.166773E-03
   0.338308E-01  0.199373E-03
   0.398340E-01  0.237419E-03
   0.467809E-01  0.281644E-03
   0.547964E-01  0.332768E-03
   0.639676E-01  0.391376E-03
   0.743122E-01  0.457488E-03
   0.857614E-01  0.530631E-03
   0.981746E-01  0.609957E-03
   0.111376      0.694368E-03
   0.125196      0.782997E-03
   0.139490      0.875038E-03
   0.154149      0.970038E-03
   0.169091      0.106769E-02
   0.184260      0.116782E-02
   0.199611      0.127040E-02
   0.215116      0.137548E-02
   0.230749      0.148306E-02
   0.246492      0.159326E-02
