#  RDEF xfoil_parameters.def                       
#  alpha =  16.0000
#  Mach  =   0.2000
#  Reyn  =  4000000
#  Ncrit =   9.0000
#
#    x           cd
   0.467809E-01  0.107788E-04
   0.398340E-01  0.550973E-04
   0.338308E-01  0.143294E-03
   0.286378E-01  0.306998E-03
   0.241306E-01  0.561285E-03
   0.202029E-01  0.965222E-03
   0.167666E-01  0.156054E-02
   0.137530E-01  0.243957E-02
   0.111083E-01  0.371626E-02
   0.879156E-02  0.551815E-02
   0.677155E-02  0.810373E-02
   0.503136E-02  0.115535E-01
   0.355855E-02  0.162843E-01
   0.234691E-02  0.220066E-01
   0.138886E-02  0.286412E-01
   0.686104E-03  0.356936E-01
   0.239128E-03  0.406237E-01
   0.261695E-04  0.446775E-01
   0.261695E-04  0.461430E-01
   0.239128E-03  0.450473E-01
   0.686104E-03  0.415862E-01
   0.138886E-02  0.345821E-01
   0.234691E-02  0.278303E-01
   0.355855E-02  0.222983E-01
   0.503136E-02  0.192933E-01
   0.677155E-02  0.171385E-01
   0.879156E-02  0.238519    
   0.111083E-01  0.108958    
   0.137530E-01  0.670132E-01
   0.167666E-01  0.520431E-01
   0.202029E-01  0.428218E-01
   0.241306E-01  0.360870E-01
   0.286378E-01  0.308854E-01
   0.338308E-01  0.268172E-01
   0.398340E-01  0.235407E-01
   0.467809E-01  0.208499E-01
   0.547964E-01  0.185898E-01
   0.639676E-01  0.166530E-01
   0.743122E-01  0.149772E-01
   0.857614E-01  0.135234E-01
   0.981746E-01  0.122648E-01
   0.111376      0.111793E-01
   0.125196      0.102441E-01
   0.139490      0.943780E-02
   0.154149      0.873998E-02
   0.169091      0.813299E-02
   0.184260      0.760192E-02
   0.199611      0.713435E-02
   0.215116      0.672014E-02
   0.230749      0.635117E-02
   0.246492      0.602073E-02
   0.262332      0.572332E-02
   0.278256      0.545445E-02
   0.294255      0.521047E-02
   0.310320      0.498826E-02
   0.326445      0.478525E-02
   0.342624      0.459928E-02
   0.358851      0.442855E-02
   0.375123      0.427152E-02
   0.391434      0.412688E-02
   0.407782      0.399351E-02
   0.424163      0.387048E-02
   0.440575      0.375699E-02
   0.457014      0.365239E-02
   0.473479      0.355612E-02
   0.489967      0.346773E-02
   0.506476      0.338687E-02
   0.523004      0.331331E-02
   0.539550      0.324686E-02
   0.556111      0.318746E-02
   0.572687      0.313512E-02
   0.589274      0.308993E-02
   0.605873      0.305210E-02
   0.622482      0.302189E-02
   0.639098      0.299965E-02
   0.655722      0.298583E-02
   0.672351      0.298094E-02
   0.688984      0.298551E-02
   0.705621      0.300018E-02
   0.722259      0.302557E-02
   0.738898      0.306237E-02
   0.755536      0.311128E-02
   0.772172      0.317304E-02
   0.788806      0.324847E-02
   0.805434      0.333851E-02
   0.822056      0.344434E-02
   0.838669      0.356739E-02
   0.855268      0.371141E-02
   0.871844      0.390852E-02
   0.888382      0.412172E-02
   0.904847      0.434049E-02
   0.921170      0.456302E-02
   0.937210      0.478591E-02
   0.952711      0.500377E-02
   0.967266      0.520910E-02
   0.980385      0.539367E-02
   0.991697      0.555121E-02
    1.00000      0.566501E-02
    1.00010      0.108888E-01
    1.00848      0.111291E-01
    1.01803      0.112320E-01
    1.02891      0.112953E-01
    1.04129      0.112904E-01
    1.05540      0.111707E-01
    1.07146      0.108510E-01
    1.08975      0.102430E-01
    1.11058      0.963165E-02
    1.13430      0.891458E-02
    1.16130      0.810680E-02
    1.19204      0.723334E-02
    1.22703      0.632785E-02
    1.26686      0.542784E-02
    1.31219      0.456850E-02
    1.36379      0.377755E-02
    1.42251      0.307285E-02
    1.48933      0.246250E-02
    1.56537      0.194443E-02
    1.65188      0.150780E-02
    1.75032      0.114516E-02
    1.86231      0.852850E-03
    1.98973      0.622330E-03

   0.547964E-01  0.556651E-08
   0.639676E-01  0.861479E-05
   0.743122E-01  0.285836E-04
   0.857614E-01  0.529481E-04
   0.981746E-01  0.782064E-04
   0.111376      0.101469E-03
   0.125196      0.122187E-03
   0.139490      0.139694E-03
   0.154149      0.154369E-03
   0.169091      0.166388E-03
   0.184260      0.176178E-03
   0.199611      0.184043E-03
   0.215116      0.190291E-03
   0.230749      0.195216E-03
   0.246492      0.199022E-03
   0.262332      0.201890E-03
   0.278256      0.203981E-03
   0.294255      0.205448E-03
   0.310320      0.206379E-03
   0.326445      0.206867E-03
   0.342624      0.206996E-03
   0.358851      0.206830E-03
   0.375123      0.206431E-03
   0.391434      0.205846E-03
   0.407782      0.205100E-03
   0.424163      0.204235E-03
   0.440575      0.203283E-03
   0.457014      0.202276E-03
   0.473479      0.201223E-03
   0.489967      0.200145E-03
   0.506476      0.199063E-03
   0.523004      0.197985E-03
   0.539550      0.196921E-03
   0.556111      0.195881E-03
   0.572687      0.194889E-03
   0.589274      0.193938E-03
   0.605873      0.193026E-03
   0.622482      0.192172E-03
   0.639098      0.191376E-03
   0.655722      0.190642E-03
   0.672351      0.189970E-03
   0.688984      0.189382E-03
   0.705621      0.188865E-03
   0.722259      0.188411E-03
   0.738898      0.188048E-03
   0.755536      0.187760E-03
   0.772172      0.187558E-03
