#  RDEF xfoil_parameters.def                       
#  alpha =  16.0000
#  Mach  =   0.2000
#  Reyn  =  4000000
#  Ncrit =   9.0000
#
#    x           ue
   0.467809E-01  0.941701E-01
   0.398340E-01  0.197581    
   0.338308E-01  0.308822    
   0.286378E-01  0.427966    
   0.241306E-01  0.556769    
   0.202029E-01  0.695967    
   0.167666E-01  0.848210    
   0.137530E-01   1.01489    
   0.111083E-01   1.19945    
   0.879156E-02   1.40331    
   0.677155E-02   1.63109    
   0.503136E-02   1.88161    
   0.355855E-02   2.15809    
   0.234691E-02   2.45376    
   0.138886E-02   2.76108    
   0.686104E-03   3.07004    
   0.239128E-03   3.34487    
   0.261695E-04   3.58378    
   0.261695E-04   3.77990    
   0.239128E-03   3.92752    
   0.686104E-03   4.02109    
   0.138886E-02   4.03326    
   0.234691E-02   3.98381    
   0.355855E-02   3.89709    
   0.503136E-02   3.82835    
   0.677155E-02   3.78410    
   0.879156E-02   3.59203    
   0.111083E-01   3.33426    
   0.137530E-01   3.19948    
   0.167666E-01   3.07866    
   0.202029E-01   2.95912    
   0.241306E-01   2.84377    
   0.286378E-01   2.73183    
   0.338308E-01   2.62513    
   0.398340E-01   2.52265    
   0.467809E-01   2.42482    
   0.547964E-01   2.33191    
   0.639676E-01   2.24417    
   0.743122E-01   2.16230    
   0.857614E-01   2.08686    
   0.981746E-01   2.01806    
   0.111376       1.95583    
   0.125196       1.89965    
   0.139490       1.84892    
   0.154149       1.80291    
   0.169091       1.76097    
   0.184260       1.72251    
   0.199611       1.68702    
   0.215116       1.65408    
   0.230749       1.62334    
   0.246492       1.59451    
   0.262332       1.56734    
   0.278256       1.54162    
   0.294255       1.51720    
   0.310320       1.49391    
   0.326445       1.47164    
   0.342624       1.45027    
   0.358851       1.42971    
   0.375123       1.40989    
   0.391434       1.39072    
   0.407782       1.37213    
   0.424163       1.35408    
   0.440575       1.33650    
   0.457014       1.31935    
   0.473479       1.30259    
   0.489967       1.28616    
   0.506476       1.27004    
   0.523004       1.25419    
   0.539550       1.23858    
   0.556111       1.22319    
   0.572687       1.20800    
   0.589274       1.19299    
   0.605873       1.17816    
   0.622482       1.16352    
   0.639098       1.14908    
   0.655722       1.13488    
   0.672351       1.12096    
   0.688984       1.10738    
   0.705621       1.09423    
   0.722259       1.08160    
   0.738898       1.06959    
   0.755536       1.05834    
   0.772172       1.04794    
   0.788806       1.03854    
   0.805434       1.03023    
   0.822056       1.02312    
   0.838669       1.01730    
   0.855268       1.01303    
   0.871844       1.01329    
   0.888382       1.01314    
   0.904847       1.01199    
   0.921170       1.01035    
   0.937210       1.00846    
   0.952711       1.00651    
   0.967266       1.00459    
   0.980385       1.00282    
   0.991697       1.00127    
    1.00000       1.00011    
    1.00010       1.00011    
    1.00848      0.997686    
    1.01803      0.993869    
    1.02891      0.989174    
    1.04129      0.983281    
    1.05540      0.975594    
    1.07146      0.964632    
    1.08975      0.949171    
    1.11058      0.940552    
    1.13430      0.934549    
    1.16130      0.931456    
    1.19204      0.931269    
    1.22703      0.933627    
    1.26686      0.937871    
    1.31219      0.943229    
    1.36379      0.949013    
    1.42251      0.954740    
    1.48933      0.960132    
    1.56537      0.965065    
    1.65188      0.969509    
    1.75032      0.973477    
    1.86231      0.976984    
    1.98973      0.981529    

   0.547964E-01  0.213818E-02
   0.639676E-01  0.909630E-01
   0.743122E-01  0.171982    
   0.857614E-01  0.245027    
   0.981746E-01  0.310029    
   0.111376      0.367429    
   0.125196      0.417859    
   0.139490      0.462188    
   0.154149      0.501224    
   0.169091      0.535750    
   0.184260      0.566435    
   0.199611      0.593843    
   0.215116      0.618442    
   0.230749      0.640633    
   0.246492      0.660740    
   0.262332      0.679031    
   0.278256      0.695733    
   0.294255      0.711048    
   0.310320      0.725135    
   0.326445      0.738134    
   0.342624      0.750166    
   0.358851      0.761336    
   0.375123      0.771738    
   0.391434      0.781454    
   0.407782      0.790549    
   0.424163      0.799087    
   0.440575      0.807124    
   0.457014      0.814712    
   0.473479      0.821894    
   0.489967      0.828708    
   0.506476      0.835191    
   0.523004      0.841377    
   0.539550      0.847292    
   0.556111      0.852963    
   0.572687      0.858419    
   0.589274      0.863679    
   0.605873      0.868759    
   0.622482      0.873683    
   0.639098      0.878466    
   0.655722      0.883122    
   0.672351      0.887666    
   0.688984      0.892118    
   0.705621      0.896484    
   0.722259      0.900774    
   0.738898      0.905004    
   0.755536      0.909182    
   0.772172      0.913319    
   0.788806      0.917433    
   0.805434      0.921535    
   0.822056      0.925621    
   0.838669      0.929731    
   0.855268      0.933871    
   0.871844      0.938063    
   0.888382      0.942331    
   0.904847      0.946727    
   0.921170      0.951285    
   0.937210      0.956056    
   0.952711      0.961114    
   0.967266      0.966400    
   0.980385      0.972488    
   0.991697      0.976469    
    1.00000       1.00011    
    1.00010       1.00011    
    1.00848      0.997686    
    1.01803      0.993869    
    1.02891      0.989174    
    1.04129      0.983281    
    1.05540      0.975594    
    1.07146      0.964632    
    1.08975      0.949171    
    1.11058      0.940552    
    1.13430      0.934549    
    1.16130      0.931456    
    1.19204      0.931269    
    1.22703      0.933627    
    1.26686      0.937871    
    1.31219      0.943229    
    1.36379      0.949013    
    1.42251      0.954740    
    1.48933      0.960132    
    1.56537      0.965065    
    1.65188      0.969509    
    1.75032      0.973477    
    1.86231      0.976984    
    1.98973      0.981529    

