#  RDEF xfoil_parameters.def                       
#  alpha =  16.0000
#  Mach  =   0.2000
#  Reyn  =  4000000
#  Ncrit =   9.0000
#
#    x           hk
   0.467809E-01   2.22947    
   0.398340E-01   2.19976    
   0.338308E-01   2.22068    
   0.286378E-01   2.18997    
   0.241306E-01   2.19758    
   0.202029E-01   2.18180    
   0.167666E-01   2.17930    
   0.137530E-01   2.17139    
   0.111083E-01   2.16509    
   0.879156E-02   2.16124    
   0.677155E-02   2.15398    
   0.503136E-02   2.15438    
   0.355855E-02   2.14844    
   0.234691E-02   2.15389    
   0.138886E-02   2.15882    
   0.686104E-03   2.16561    
   0.239128E-03   2.19692    
   0.261695E-04   2.21135    
   0.261695E-04   2.24555    
   0.239128E-03   2.29568    
   0.686104E-03   2.36823    
   0.138886E-02   2.54070    
   0.234691E-02   2.79456    
   0.355855E-02   3.36409    
   0.503136E-02   4.62688    
   0.677155E-02   5.96664    
   0.879156E-02   4.10726    
   0.111083E-01   2.03594    
   0.137530E-01   1.60300    
   0.167666E-01   1.49103    
   0.202029E-01   1.47247    
   0.241306E-01   1.48098    
   0.286378E-01   1.49906    
   0.338308E-01   1.51871    
   0.398340E-01   1.53772    
   0.467809E-01   1.55403    
   0.547964E-01   1.56666    
   0.639676E-01   1.57553    
   0.743122E-01   1.58075    
   0.857614E-01   1.58296    
   0.981746E-01   1.58306    
   0.111376       1.58181    
   0.125196       1.58003    
   0.139490       1.57811    
   0.154149       1.57643    
   0.169091       1.57515    
   0.184260       1.57437    
   0.199611       1.57416    
   0.215116       1.57455    
   0.230749       1.57552    
   0.246492       1.57707    
   0.262332       1.57921    
   0.278256       1.58193    
   0.294255       1.58521    
   0.310320       1.58908    
   0.326445       1.59353    
   0.342624       1.59858    
   0.358851       1.60424    
   0.375123       1.61055    
   0.391434       1.61753    
   0.407782       1.62523    
   0.424163       1.63372    
   0.440575       1.64304    
   0.457014       1.65329    
   0.473479       1.66457    
   0.489967       1.67698    
   0.506476       1.69067    
   0.523004       1.70580    
   0.539550       1.72258    
   0.556111       1.74122    
   0.572687       1.76200    
   0.589274       1.78523    
   0.605873       1.81128    
   0.622482       1.84059    
   0.639098       1.87365    
   0.655722       1.91103    
   0.672351       1.95338    
   0.688984       2.00145    
   0.705621       2.05607    
   0.722259       2.11819    
   0.738898       2.18887    
   0.755536       2.26929    
   0.772172       2.36077    
   0.788806       2.46481    
   0.805434       2.58310    
   0.822056       2.71765    
   0.838669       2.87079    
   0.855268       3.04784    
   0.871844       3.29391    
   0.888382       3.54467    
   0.904847       3.78377    
   0.921170       4.01272    
   0.937210       4.23103    
   0.952711       4.43566    
   0.967266       4.62135    
   0.980385       4.78233    
   0.991697       4.91375    
    1.00000       5.00353    
    1.00010       5.17625    
    1.00848       5.01720    
    1.01803       4.78748    
    1.02891       4.51961    
    1.04129       4.21051    
    1.05540       3.85503    
    1.07146       3.44030    
    1.08975       2.97830    
    1.11058       2.64490    
    1.13430       2.35832    
    1.16130       2.11486    
    1.19204       1.91071    
    1.22703       1.74176    
    1.26686       1.60338    
    1.31219       1.49074    
    1.36379       1.39916    
    1.42251       1.32454    
    1.48933       1.26349    
    1.56537       1.21339    
    1.65188       1.17226    
    1.75032       1.13867    
    1.86231       1.11146    
    1.98973       1.08922    

   0.547964E-01   2.22951    
   0.639676E-01   2.22979    
   0.743122E-01   2.24437    
   0.857614E-01   2.25552    
   0.981746E-01   2.25987    
   0.111376       2.26931    
   0.125196       2.27473    
   0.139490       2.28181    
   0.154149       2.28753    
   0.169091       2.29335    
   0.184260       2.29868    
   0.199611       2.30385    
   0.215116       2.30882    
   0.230749       2.31349    
   0.246492       2.31800    
   0.262332       2.32237    
   0.278256       2.32657    
   0.294255       2.33054    
   0.310320       2.33439    
   0.326445       2.33810    
   0.342624       2.34165    
   0.358851       2.34503    
   0.375123       2.34824    
   0.391434       2.35126    
   0.407782       2.35415    
   0.424163       2.35689    
   0.440575       2.35943    
   0.457014       2.36176    
   0.473479       2.36392    
   0.489967       2.36590    
   0.506476       2.36768    
   0.523004       2.36925    
   0.539550       2.37065    
   0.556111       2.37186    
   0.572687       2.37279    
   0.589274       2.37353    
   0.605873       2.37412    
   0.622482       2.37447    
   0.639098       2.37462    
   0.655722       2.37456    
   0.672351       2.37431    
   0.688984       2.37376    
   0.705621       2.37303    
   0.722259       2.37215    
   0.738898       2.37099    
   0.755536       2.36965    
   0.772172       2.36807    
   0.788806       2.36614    
   0.805434       2.36389    
   0.822056       2.36152    
   0.838669       2.35855    
   0.855268       2.35514    
   0.871844       2.35115    
   0.888382       2.34642    
   0.904847       2.34046    
   0.921170       2.33304    
   0.937210       2.32357    
   0.952711       2.31100    
   0.967266       2.29567    
   0.980385       2.26950    
   0.991697       2.26864    
    1.00000       2.06218    
    1.00010       5.17625    
    1.00848       5.01720    
    1.01803       4.78748    
    1.02891       4.51961    
    1.04129       4.21051    
    1.05540       3.85503    
    1.07146       3.44030    
    1.08975       2.97830    
    1.11058       2.64490    
    1.13430       2.35832    
    1.16130       2.11486    
    1.19204       1.91071    
    1.22703       1.74176    
    1.26686       1.60338    
    1.31219       1.49074    
    1.36379       1.39916    
    1.42251       1.32454    
    1.48933       1.26349    
    1.56537       1.21339    
    1.65188       1.17226    
    1.75032       1.13867    
    1.86231       1.11146    
    1.98973       1.08922    

